"","Network AE","Application entity that provides services on a network"
"dicomAETitle","AE Title","Unique AE title for this Network AE"
"dicomNetworkConnectionReference","Network Connection Reference","JSON Pointers to the Network Connection objects for this AE"
"dicomAssociationInitiator","Association Initiator","True if the Network AE can initiate associations."
"dicomAssociationAcceptor","Association Acceptor","True if the Network AE can accept associations."
"dicomDescription","AE Description","Unconstrained text description of the application entity"
"dicomApplicationCluster","Application Cluster","Locally defined names for a subset of related applications"
"dicomPreferredCalledAETitle","Preferred Called AE Title","AE Title(s) that are preferred for initiating associations"
"dicomPreferredCallingAETitle","Preferred Calling AE Title","AE Title(s) that are preferred for accepting associations"
"dicomSupportedCharacterSet","Supported Character Set","Character Set(s) supported by the Network AE for data sets it receives"
"dicomInstalled","installed","True if the AE is installed on network. If not present, information about the installed status of the AE is inherited from the device"
"dicomTransferCapability","Transfer Capabilities","Transfer capabilities provided by the application entity"
"dcmNetworkAE","Network AE Extension","dcm4che proprietary Attributes of Network AE"
