"property","title","description"
"","UI Configuration","UI Configuration"
"dcmuiConfigName","UI Configuration Name","UI Configuration Name"
"dcmuiModalities","Statistic Modalities","Preselected Modalities that should show in the Statistic page"
"dcmuiLanguageConfig","Language Config","Config the languages of the UI"
"dcmuiWidgetAets","Widget AETs","Select the AETs that you wan't to see in the AET widget, where you can select in which of them the newly added AET should be as `Accepted Calling AE Title`"
"dcmuiXDSInterfaceURL","XDS Interface URL","Base URL used for the XDS Services. E.g. http(s)://<xds-server-host>:<xds-server-port>"
"dcmuiBackgroundURL","Background URL","Background URL for changing the background of the UI, it can be relative or absolute URL, the image should have the width of at least of 1024px "
"dcmuiLogoURL","Logo URL","Logo URL for changing the logo of the UI, it can be relative or absolute URL, the image should have the width of 140px"
"dcmuiDefaultWidgetAets","Default Widget AETs","Select the AETs that should be preselected on Widget AETs"
"dcmuiAetConfig","AET drop-down list","Define which AETs should be visible in the drop-down lists in the UI"
"dcmuiWebAppConfig","Web App drop-down list","Define which WebApps should be visible on the top of the drop-down list in the UI"
"dcmuiPermission","Permission","Permission"
"dcmuiFilterTemplateObject","UI Filter Template","Defined filter template"
"dcmuiDiffConfig","Study Diff Configuration","Study Diff Configuration"
"dcmuiDashboardConfig","UI Dashboard Configuration","UI Dashboard Configuration"
"dcmuiStudyTableConfig","UI Study Table Configuration","Configuration of table"
"dcmuiElasticsearchConfig","UI Elasticsearch Configuration","Elasticsearch Configuration for the pro version"
"dcmuiDeviceURLObject","UI Device URLs","Other UI Device URLs"
"dcmuiDeviceClusterObject","UI Cluster Configuration","Group Devices in Clusters"
