"property","title","description"
"","Archive Device","DICOM Archive Device related information"
"dcmFuzzyAlgorithmClass","Fuzzy Algorithm Class","Specifies Fuzzy Algorithm Implementation Class."
"dcmBulkDataDescriptorID","Bulk Data Descriptor ID","ID of Bulk Data Descriptor applied by all services providing Metadata of archived instances. If absent, only Attributes specified by the Composite Instance Retrieve Without Bulk Data Service Class are treated as Bulk Data. May be overwritten by configured values for particular Archive Network AEs."
"dcmSeriesMetadataStorageID","Series Metadata Storage ID","ID of Storage on which ZIP archives with aggregated Metadata of all instances of a Series is stored. Multiple Storage Systems may be configured. If absent, no aggregated Series Metadata will be stored."
"dcmSeriesMetadataDelay","Aggregate Series Metadata Delay","Delay in ISO-8601 duration format PnDTnHnMnS for storing aggregated Series Metadata on storage. If absent, no aggregated Series Metadata will be stored. May be overwritten by configured values for particular Archive Network AEs."
"dcmSeriesMetadataPollingInterval","Update Series Metadata Polling Interval","Polling Interval for Series scheduled for Metadata update in ISO-8601 duration format PnDTnHnMnS. If absent, no aggregated Series Metadata will be stored."
"dcmSeriesMetadataFetchSize","Update Series Metadata Fetch Size","Maximal number of Series scheduled for Metadata update fetched by one query."
"dcmSeriesMetadataThreads","Update Series Metadata Threads","Number of Threads used for creation and update of Series Metadata."
"dcmSeriesMetadataMaxRetries","Update Series Metadata Maximum Number of Retries","Maximum number of retries to create/update aggregated Series Metadata. Only effective if Update Series Metadata Retry Interval is specified. -1 = forever."
"dcmSeriesMetadataRetryInterval","Update Series Metadata Retry Interval","Interval in ISO-8601 duration format PnDTnHnMnS in which failed attempts to create/update aggregated Series Metadata will be retried. Only effective if Update Series Metadata Maximum Number of Retries != 0. If absent, failed attempts will not be retried."
"dcmPurgeInstanceRecords","Purge Instance Records","Indicates that Instance Records may be purged from the DB."
"dcmPurgeInstanceRecordsDelay","Purge Instance Records Delay","Delay in ISO-8601 duration format PnDTnHnMnS for purging Instance Records from the DB. May be overwritten by configured values for particular Archive Network AEs. Only effective, if Purge Instance Records = true."
