"property","title","description"
"","Archive Network AE","DICOM Archive Network AE related information"
"dcmObjectStorageID","Object Storage ID","ID of Storage System on which received DICOM composite objects are stored. Multiple Storage Systems may be configured."
"dcmObjectStorageCount","Object Storage Count","Number of Storage Systems which are filled in parallel."
"dcmMetadataStorageID","Metadata Storage ID","ID of Storage on which Metadata is stored in JSON format - additionally to the complete DICOM composite object. Multiple Storage Systems may be configured. If absent, metadata is not stored additionally."
"dcmBulkDataDescriptorID","Bulk Data Descriptor ID","ID of Bulk Data Descriptor applied by all services of this Archive Network AE providing Metadata of archived instances. Overwrites value specified on Device level."
"dcmSeriesMetadataDelay","Aggregate Series Metadata Delay","Delay in ISO-8601 duration format PnDTnHnMn.nS for storing aggregated Series Metadata on storage of objects received by this AE. Overwrites value specified on Device level."
"dcmPurgeInstanceRecordsDelay","Purge Instance Records Delay","Delay in ISO-8601 duration format PnDTnHnMn.nS for purging Instance Records from the DB received by this AE. Overwrites value specified on Device level. Only effective, if Purge Instance Records on Device Level = true."
"dcmStoreAccessControlID","Store Access Control ID","Access Control ID assigned to Studies received by this AE"
"dcmAccessControlID","Access Control ID","Access Control IDs assigned to Query/Retrieve requests received by this AE."
"dcmAcceptedMoveDestination","Accepted Move Destination","Accepted Move Destination in C-MOVE requests; any if absent."
"dcmOverwritePolicy","Overwrite Policy","Overwrite Policy for Objects received by this AE. Overwrites value specified on Device level."
"dcmRecordAttributeModification","Record Attribute Modification","Indicates if modifications of attributes of stored objects by this AE are recorded in Items of the Original Attributes Sequence. Overwrites value specified on Device level."
"dcmAcceptMissingPatientID","Accept Missing Patient ID","Indicates if objects without Patient IDs shall be accepted and if a Patient ID shall be created. Overwrites value specified on Device level."
"dcmAcceptConflictingPatientID","Accept Conflicting Patient ID","Indicates if objects with a Patient IDs which differs from the Patient ID in previous received objects of the Study shall be accepted. Overwrites value specified on Device level."
"dcmQueryRetrieveViewID","Query/Retrieve View ID","Query/Retrieve View Identifier."
"dcmBulkDataSpoolDirectory","Bulk Data Spool Directory","Path to Bulk Data Spool Directory. Overwrites value specified on Device level."
"dcmHideSPSWithStatusFromMWL","Hide SPS with Status","Scheduled Procedure Step Status codes of MWL items which shall not be returned by the MWL SCP. Overwrites value specified on Device level."
"dcmEncodeAsJSONNumber","Encode as JSON Number","VR encoded as JSON Number. If not listed, IS, DS, SV and UV values are encoded as JSON Strings. Supplements values specified on Device level."
"dcmValidateCallingAEHostname","Validate Calling AE Hostname","Validate Calling AE Hostname or IP Address of Association requestors for this AE. Overwrites value specified on Device level."
"dcmUserIdentityNegotiation","User Identity Negotiation","Specifies to ignore User Identity Negotiation Sub-Item in Association requests (=NOT_SUPPORTED), to verify passed Username and password or JSON Web Token are against a Keycloak server (=SUPPORTS), or to reject Association requests without a valid Username and password or JSON Web Token in its Identity Negotiation Sub-Item (=REQUIRED). Overwrites value specified on Device level."
"dcmUserIdentityNegotiationRole","User Identity Negotiation Role","Constrain accepted User Identity Negotiation requests to users with specified role. Overwrites value specified on Device level."
"dcmUserIdentityNegotiationKeycloakClientID","User Identity Negotiation Keycloak Client ID","Keycloak Client ID referring Keycloak connection configuration for verifying passed username and password or JSON Web Token. Overwrites value specified on Device level."
"dcmPersonNameComponentOrderInsensitiveMatching","Person Name Component Order Insensitive Matching","Indicates if name component order insensitive matching is performed on fuzzy semantic matching of person names by this AE. Overwrites value specified on Device level."
"dcmSendPendingCGet","Send Pending C-Get","Enables pending C-GET responses. Overwrites value specified on Device level."
"dcmSendPendingCMoveInterval","Send Pending C-Move Interval","Interval of pending C-MOVE responses in ISO-8601 duration format PnDTnHnMn.nS. Overwrites value specified on Device level."
"dcmWadoSR2HtmlTemplateURI","Wado SR2Html Template URI","Specifies URI for the style sheet used to render structured reports to html. Overwrites value specified on Device level."
"dcmWadoSR2TextTemplateURI","Wado SR2Text Template URI","Specifies URI for the style sheet used to render structured reports to plain text. Overwrites value specified on Device level."
