"property","title","description"
"","Audit Suppress Criteria","Audit Suppress Criteria"
"cn","Name","Arbitrary/Meaningful name of the Audit Suppress Criteria"
"dcmAuditEventID","Audit Event ID","DICOM PS 3.15 A.5 Audit Event ID code and codeSystemName in format (CV, CSD, ""CM"")"
"dcmAuditEventTypeCode","Audit Event Type Code","DICOM PS 3.15 A.5 Audit Event Type code in format (CV, CSD, ""CM"")"
"dcmAuditEventActionCode","Event Action Code","DICOM PS 3.15 A.5 Audit Event Action Type code."
"dcmAuditEventOutcomeIndicator","Event Outcome Indicator","DICOM PS 3.15 A.5 Audit Event Outcome Indicator."
"dcmAuditUserID","User ID","DICOM PS 3.15 A.5 Audit Active Participant User ID"
"dcmAuditAlternativeUserID","Alternative User ID","DICOM PS 3.15 A.5 Audit Active Participant Alternative User ID"
"dcmAuditUserRoleIDCode","User Role ID Code","DICOM PS 3.15 A.5 Audit Active Participant User Role ID code in format (CV, CSD, ""CM"")"
"dcmAuditNetworkAccessPointID","Network Access Point ID","DICOM PS 3.15 A.5 Audit Active Participant Network Access Point ID"
"dcmAuditUserIsRequestor","User is Requestor","Indicates if Active Participant is initiator/requestor of the Audit Event as specified by DICOM PS 3.15 A.5"
"dcmParticipantObjectTypeCode","Participant Object Type Code","DICOM PS 3.15 A.5 Participant Object Type Code"
"dcmParticipantObjectTypeCodeRole","Participant Object Type Code Role","DICOM PS 3.15 A.5 Participant Object Type Code Role"
"dcmParticipantObjectDataLifeCycle","Participant Object Data Life Cycle","DICOM PS 3.15 A.5 Participant Object Data Life Cycle"
