"property","title","description"
"","Export Rule","Export Rule"
"cn","Name","Arbitrary/Meaningful name of the Export Rule"
"dcmEntity","Export Entity","Entity of Export"
"dcmExporterID","Exporter ID","Exporter ID"
"dicomDeviceName","Exporter Device Name","Specifies Device on which the Export Task(s) shall be scheduled. If not specified, the Export Task(s) is/are scheduled on the Device which received the objects. Attention: the specified Device must (also) have Exporters with the specified IDs configured!"
"dcmExportPreviousEntity","Export Previous Entity","Specifies if the previous Entity of a replaced Instance shall be also exported."
"dcmProperty","Attribute Conditions","Attribute Conditions in format (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx}. More than one value can be specified for a given attribute by separating them with a | symbol. Examples: SendingApplicationEntityTitle=FORWARD or Modality=MR|CT or ProcedureCodeSequence.CodeValue=MRProcedure or 00180015=KNEE or 00321034.00080100=RequestingServiceCode or ImageType[3]=LOCALIZER."
"dcmSchedule","Time Conditions","Apply this rule only within specified time ranges."
"dcmDuration","Export Delay","Delay export of entities to accumulate multiple trigger events to one export task."
"dcmExportReoccurredInstances","Export Reoccurred Instances","Indicates if the entity shall be exported on subsequent occurrence of instances"
