"property","title","description"
"","आर्काइव गुण नियंत्रण","प्राप्त किये या भेजे हुए डिमसे का आर्काइव गुण नियंत्रण"
"cn","नाम","आर्काइव गुण नियंत्रण का मनमाना/सार्थक नाम"
"dcmRulePriority","नियम प्राथमिकता","नियम प्राथमिकता."
"dcmDIMSE","डिमसे","डाइकोम सन्देश तत्त्व जिसपे ये गुण नियंत्रण लागू होगा"
"dicomTransferRole","डाइकोम स्थानांतरण भूमिका","समान पदस्थ डाइकोम एइ का डाइकोम स्थानांतरण भूमिका"
"dcmSOPClass","सोप क्लास यूआईडी","सोप क्लास की यूआईडी जिसपे ये गुण नियंत्रण लागू किया जाएगा. अगर कॉन्फ़िगर ना किया हो तो, किसी सोप क्लास पे लागू करें"
"dcmProperty","नियम","नियम इस फॉर्मेट में (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{attributeID})[!]={regEx}"
"dcmRetrieveAsReceived","प्राप्त हुए रूप में पुनःप्राप्त करें","पुनःप्राप्त हुए मिश्र ऑब्जेक्ट में डेटाबेस के जानकारी के विलीन को असमर्थ करता है, प्राप्त हुए रूप में ऑब्जेक्ट्स को वापस करता है. सिर्फ प्रभावशाली अगर डिमसे = C_STORE_RQ और डाइकोम स्थानांतरण भूमिका = SCP"
"dcmDeIdentification","पहचान हटाना","डाइकोम पी एस ३.१५ में निर्दिष्ट किए गए मूल अनुप्रयोग स्तर गोपनीयता रुपरेखा के अनुसार ऑब्जेक्ट्स की पहचान हटाए. किसी भी विकल्प को चुनने से मूल अनुप्रयोग स्तर गोपनीयता रुपरेखा हमेशा समावेश करेगा"
"dcmURI","एक्सएसएल स्टाइलशीट यूआरआई","गुण नियंत्रण का एक्सएसएल स्टाइलशीट यूआरआई निर्दिष्ट करता है"
"dcmNoKeywords","बिना गुण संकेतशब्द","गुण संकेतशब्दों को डाइकोम एक्सएम्एल (जिसे एक्सएसएलटी में भेजा जाता है) से हटाने का संकेत करता है"
"dcmMergeMWLMatchingKey","एम्डब्ल्यूएल मिलान कुंजी को विलीन करें","अनुरोधित गुणों का नियंत्रण करने के लिए इस्तमाल किए गए एम्डब्ल्यूएल आइटम जो प्राप्त हुए ऑब्जेक्ट के गुण से ढूंढा गया है उसे निर्दिष्ट करता है. अगर कॉन्फ़िगर ना किया हो तो, प्राप्त हुए ऑब्जेक्ट के अनुरोधित गुणों का नियंत्रण नहीं होगा"
"dcmMergeMWLTemplateURI","एम्डब्ल्यूएल फर्मा यूआरआइ को विलीन करें","मिलान एम्डब्ल्यूएल आइटम्स से प्राप्त हुए ऑब्जेक्ट के अनुरोधित गुणों का नियंत्रण करने के लिए इस्तमाल किए गए स्टाइलशीट यूआरआई को निर्दिष्ट करता है. सिर्फ प्रभावशाली अगर 'एम्डब्ल्यूएल मिलान कुंजी को विलीन करें' भी मौजूद है"
"dcmLeadingCFindSCP","प्रमुख सी-फाइंड एससीपी","बाहरी सी-फाइंड एससीपी के एइटी का नाम जिससे से प्राप्त किये गए मरीज़ों और स्टडीज के रेकॉर्ड्स के गुणों को इस्तमाल कर गुण नियंत्रण करें. सी-फाइंड एससीपी के लिए अगर कोई विशेष गुण सेट न निर्दिष्ट किया हो तो, मरीज़ और स्टडी गुण फ़िल्टर पे कॉन्फ़िगर किए गए सारे गुणों को प्राप्त किया जाएगा"
"dcmAttributeUpdatePolicy","गुण अपडेट नीति","प्रमुख सी-फाइंड एससीपी प्राप्त किए गए गुणों के साथ किस तरह गुणों को अपडेट किया जाएगा यह निर्दिष्ट करता है. PRESERVE (= मूल डेटासेट में अनुपलभ्य गुणों को नए डेटासेट में अमान्य करें), SUPPLEMENT (= मूल डेटासेट में अनुपलभ्य गुणों को पूरक किया जाएगा), REPLACE (= मूल डेटासेट पूरी तरह से बदला जाएगा), MERGE (= गुण के मूल्यों को नए डेटासेट से लिखा जाएगा), OVERWRITE (= अगर नए डेटासेट में गुण के मूल्य अनुपलभ्य हो तो मूल डेटासेट में अमान्य किया जाएगा)"
