"property","title","description"
"","आर्काइव डिवाइस","DICOM आर्काइव डिवाइस से सम्बंधित जानकारी ।"
"dcmFuzzyAlgorithmClass","फजी अल्गोरिथम वर्ग","फजी अल्गोरिथम कार्यान्वयन वर्ग को निर्दिष्ट करता है ।"
"dcmBulkDataDescriptorID","अधिकांश डेटा वर्णनकर्ता की ID","संगृहीत दृष्टांतों के मेटाडेटा उपलब्ध करानेवाले सारे सेवाओं द्वारा लागू की गई अधिकांश डेटा वर्णनकर्ता की ID । यदि कॉन्फ़िगर न किया हो तो, सिर्फ वही गुण अधिकांश डेटा के तौर पे माने जाएंगे जो 'बिना अधिकांश डेटा के मिश्र दृष्टांत की प्राप्ति' सेवा वर्ग द्वारा निर्दिष्ट किए है । किसी आर्काइव नेटवर्क AE पे कॉन्फ़िगर किए गए मूल्यों से अधिलेखित किया जा सकता है ।"
"dcmCalculateStudySizeDelay","स्टडी के माप की गणना का विलम्ब","स्टडी के माप की स्वचालित गणना और प्राप्ति गुणों की स्वचालित गणना में ISO-8601 कालावधि प्रारूप PnDTnHnMnS में विलम्ब । यदि कॉन्फ़िगर न किया हो तो, स्टडी के माप की स्वचालित गणना और प्राप्ति गुणों की स्वचालित गणना में कोई (कम से कम) विलम्ब लागू नहीं होगी ।"
"dcmCalculateStudySizePollingInterval","स्टडी के माप की गणना का पोलिंग अंतराल","अनजान माप के स्टडीज के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMnS में पोलिंग अंतराल । यदि कॉन्फ़िगर न किया हो तो, स्टडी के माप की स्वचालित गणना और प्राप्ति गुणों की स्वचालित गणना नहीं होगा ।"
"dcmCalculateStudySizeFetchSize","स्टडी के माप की गणना का प्राप्ति का माप","एक डेटाबेस क्वेरी में अनजान माप के स्टडीज के नतीजों की सेट को सिमित करने की संख्या ।"
"dcmCalculateQueryAttributes","प्राप्ति गुणों की गणना","कॉन्फ़िगर किए हुए 'स्टडी के माप की गणना का विलम्ब' और 'स्टडी के माप की गणना का पोलिंग अंतराल' के अनुसार प्राप्ति गुणों की स्वचालित गणना करने का संकेत करता है ।"
"dcmSeriesMetadataStorageID","सीरीज मेटाडेटा स्टोरेज ID","स्टोरेज की ID जिसमें हर एक सीरीज के सारे दृष्टांतों के कुल मेटाडेटा को ज़िप फाइल के रूप में सहेजा जाएगा । एक से ज़्यादा स्टोरेज सिस्टम्स कॉन्फ़िगर किए जा सकते है । यदि कॉन्फ़िगर न किया हो तो, कुल सीरीज मेटाडेटा नहीं सहेजा जाएगा ।"
"dcmSeriesMetadataDelay","कुल सीरीज मेटाडेटा विलम्ब","कुल सीरीज मेटाडेटा को स्टोरेज पे सहेजने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMnS में विलम्ब । यदि कॉन्फ़िगर न किया हो तो, कुल सीरीज मेटाडेटा नहीं सहेजा जाएगा । किसी आर्काइव नेटवर्क AE पे कॉन्फ़िगर किए गए मूल्यों से अधिलेखित किया जा सकता है ।"
"dcmSeriesMetadataPollingInterval","अपडेट सीरीज मेटाडेटा पोलिंग अंतराल","ISO-8601 कालावधि प्रारूप PnDTnHnMnS में अनुसूचित हुए सीरीज के मेटाडेटा अपडेट के लिए पोलिंग अंतराल । यदि कॉन्फ़िगर न किया हो तो, कुल सीरीज मेटाडेटा नहीं सहेजा जाएगा ।"
"dcmSeriesMetadataFetchSize","अपडेट सीरीज मेटाडेटा प्राप्ति का माप","एक डेटाबेस क्वेरी में प्राप्त हुए अनुसूचित सीरीज के मेटाडेटा अपडेट की अधिकतम संख्या ।"
"dcmSeriesMetadataThreads","अपडेट सीरीज मेटाडेटा थ्रेड्स","सीरीज मेटाडेटा के निर्माण और अपडेट में इस्तमाल की गई थ्रेड्स की संख्या ।"
"dcmSeriesMetadataMaxRetries","अपडेट सीरीज मेटाडेटा पुनःपरीक्षण की अधिकतम संख्या","कुल सीरीज मेटाडेटा के निर्माण या अपडेट के पुनःपरीक्षण की अधिकतम संख्या । सिर्फ प्रभावशाली यदि अपडेट सीरीज मेटाडेटा पुनःपरीक्षण अंतराल को निर्दिष्ट किया है. -1 = हमेशा ।"
"dcmSeriesMetadataRetryInterval","अपडेट सीरीज मेटाडेटा पुनःपरीक्षण अंतराल","ISO-8601 कालावधि प्रारूप PnDTnHnMnS में अंतराल जिसमें कुल सीरीज मेटाडेटा के निर्माण या अपडेट के असफल प्रयासों का पुनःपरीक्षण किया जाएगा । सिर्फ प्रभावशाली यदि अपडेट सीरीज मेटाडेटा पुनःपरीक्षण की अधिकतम संख्या != 0 । यदि कॉन्फ़िगर न किया हो तो, असफल प्रयासों का पुनःपरीक्षण नहीं होगा ।"
"dcmPurgeInstanceRecords","मिटाए गए दृष्टांतों के रेकॉर्ड्स","संकेत करता है की, डेटाबेस से दृष्टांतों के रेकॉर्ड्स शायद मिटाए गए होंगे ।"
"dcmPurgeInstanceRecordsDelay","दृष्टांतों के रेकॉर्ड्स को निकालने का विलम्ब","डेटाबेस से दृष्टांतों के रेकॉर्ड्स को निकालने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMnS में विलम्ब । किसी आर्काइव नेटवर्क AE पे कॉन्फ़िगर किए गए मूल्यों से अधिलेखित किया जा सकता है । सिर्फ प्रभावशाली यदि 'दृष्टांतों के रेकॉर्ड्स को निकाले = सही' ।"
"dcmPurgeInstanceRecordsPollingInterval","दृष्टांतों के रेकॉर्ड्स को निकालने का पोलिंग अंतराल","अनुसूचित हुए सीरीज के दृष्टांतों के रेकॉर्ड्स को डेटाबेस से निकालने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMnS में पोलिंग अंतराल । सिर्फ प्रभावशाली यदि 'दृष्टांतों के रेकॉर्ड्स को निकाले = सही' ।"
"dcmPurgeInstanceRecordsFetchSize","दृष्टांतों के रेकॉर्ड्स को निकालने के प्राप्ति का माप","एक डेटाबेस क्वेरी में प्राप्त हुए अनुसूचित हुए सीरीज के दृष्टांतों के रेकॉर्ड्स को डेटाबेस से निकालने की अधिकतम संख्या । सिर्फ प्रभावशाली यदि 'दृष्टांतों के रेकॉर्ड्स को निकाले = सही' ।"
"dcmMWLPollingInterval","MWL पोलिंग अंतराल","निष्क्रिय MWL आइटम्स के स्थिति को अपडेट या MWL आइटम्स को मिटाने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMnS में पोलिंग अंतराल । यदि कॉन्फ़िगर न किया हो तो, MWL आइटम्स नहीं अपडेट किए जाएंगे या नहीं मिटेंगे ।"
"dcmMWLFetchSize","MWL प्राप्ति का माप","एक डेटाबेस ट्रांसेक्शन में MWL आइटम्स को अपडेट या मिटाने की अधिकतम संख्या ।"
"dcmDeleteMWLDelay","MWL को मिटाने का विलम्ब","MWL आइटम्स को मिटाने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब । स्थिति विशिष्ट विलम्ब उपसर्ग द्वारा निर्दिष्ट की जा सकती है 'SCHEDULED:', 'ARRIVED:', 'READY:', 'STARTED:', 'DEPARTED:', 'CANCELED:', 'DISCONTINUED:', 'COMPLETED:' । उदाहरण के तौर पे : PT5M या CANCELED: PT10M । यदि कॉन्फ़िगर न किया हो तो, MWL आइटम्स नहीं मिटेंगे ।"
"dcmDeleteUPSPollingInterval","UPS को मिटाने का पोलिंग अंतराल","एकीकृत प्रक्रिया स्टेप्स (UPS) को मिटाने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMnS में पोलिंग अंतराल । यदि कॉन्फ़िगर न किया हो तो, एकीकृत प्रक्रिया स्टेप्स नहीं मिटेंगे ।"
"dcmDeleteUPSFetchSize","UPS को मिटाने के प्राप्ति का माप","एक डेटाबेस क्वेरी में प्राप्त हुए एकीकृत प्रक्रिया स्टेप्स (UPS) को मिटाने की अधिकतम संख्या ।"
"dcmDeleteUPSCompletedDelay","पूर्ण हुए UPS को मिटाने का विलम्ब","विलोपन ताले के बिना पूर्ण हुए एकीकृत प्रक्रिया स्टेप्स को मिटाने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब । यदि कॉन्फ़िगर न किया हो तो, विलोपन ताले के बिना पूर्ण हुए एकीकृत प्रक्रिया स्टेप्स को तुरंत ही मिटाए जाएंगे ।"
"dcmDeleteUPSCanceledDelay","रद्द हुए UPS को मिटाने का विलम्ब","विलोपन ताले के बिना रद्द हुए एकीकृत प्रक्रिया स्टेप्स को मिटाने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब । यदि कॉन्फ़िगर न किया हो तो, विलोपन ताले के बिना रद्द हुए एकीकृत प्रक्रिया स्टेप्स को तुरंत ही मिटाए जाएंगे ।"
"dcmOverwritePolicy","अधिलेखन नीति","अधिलेखन नीति । किसी आर्काइव नेटवर्क AE पे कॉन्फ़िगर किए गए मूल्यों से अधिलेखित किया जा सकता है ।"
