"property","title","description"
"","आर्काइव एच.एल.७. (HL7) अनुप्रयोग","डाइकोम (DICOM) आर्काइव एच.एल.७. (HL7) अनुप्रयोग से सम्बंधित जानकारी ।"
"dicomAETitle","ए.इ. (AE) का नाम","इस एच.एल.७. (HL7) अनुप्रयोग से सम्बंधित आर्काइव ए.इ. (AE) का नाम ।"
"dcmRecordAttributeModification","गुण के परिवर्तन को रेकॉर्ड करें","इस एच.एल.७. (HL7) अनुप्रयोग से सहेजे गए ऑब्जेक्ट्स के गुणों के परिवर्तन को मूल गुणों के क्रम के आइटम्स में रेकॉर्ड करने का संकेत करता है ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7ORUAction","एच.एल.७. (HL7) ओ.आर.यू. क्रिया","एच.एल.७. (HL7) ORU^R01 संदेश के प्राप्त होने पे की गई क्रिया को निर्दिष्ट करता है : IMPORT_REPORT (= प्राप्त हुए एच.एल.७. (HL7) ORU^R01 को डाइकोम (DICOM) एस.आर. में ट्रांसकोड करें), MWL_COMPLETED (= मिलान एम्.डब्ल्यू.एल. (MWL) आइटम्स के स्थिति को 'पूर्ण' के रूप में सेट करें) ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7PatientUpdateTemplateURI","एच.एल.७. (HL7) मरीज़ के रेकॉर्ड की अपडेट सेवा फर्मा यू.आर.आई. (URI)","एच.एल.७. (HL7) संस्करण २ मरीज़ के रेकॉर्ड की अपडेट सेवा से इस्तमाल की गई स्टाइलशीट यू.आर.आई. (URI) को निर्दिष्ट करता है ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7ImportReportTemplateURI","एच.एल.७. (HL7) आयातित रिपोर्ट फर्मा यू.आर.आई. (URI)","प्राप्त हुए एच.एल.७. (HL7) ORU^R01 को डाइकोम (DICOM) एसआर (SR) में ट्रांसकोड करनेवाले स्टाइलशीट यू.आर.आई. (URI) को निर्दिष्ट करता है ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7ImportReportTemplateParam","एच.एल.७. (HL7) आयातित रिपोर्ट फर्मा मापदण्ड","एच.एल.७. (HL7) आयातित रिपोर्ट फर्मा यू.आर.आई. (URI) से निर्दिष्ट स्टाइलशीट को भेजे गए एक्स.एस.एल.टी. (XSLT) मापदण्ड । प्रारूप: {नाम}={मूल्य} ।उदाहरण के तौर पे : 'langCodeValue=et', 'langCodingSchemeDesignator=RFC5646', 'langCodeMeaning=Estonian' ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7ScheduleProcedureTemplateURI","एच.एल.७. (HL7) अनुसूचित प्रक्रिया फर्मा यू.आर.आई. (URI)","प्राप्त हुए एच.एल.७. (HL7) ORM^O01, OMI^O23, OMG^O19 को डाइकोम (DICOM) एम्.डब्ल्यू.एल. (MWL) आइटम्स में ट्रांसकोड करनेवाले स्टाइलशीट यू.आर.आई. (URI) को निर्दिष्ट करता है ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7ScheduledProtocolCodeInOrder","एच.एल.७. (HL7) ऑर्डर में अनुसूचित प्रक्रिया कोड","प्राप्त हुए एच.एल.७. (HL7) ऑर्डर संदेश में पाए गए अनुसूचित प्रक्रिया कोड के पथ को निर्दिष्ट करता है । डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7ScheduledStationAETInOrder","एच.एल.७. (HL7) ऑर्डर में अनुसूचित स्टेशन ए.इ.टी. (AET)","प्राप्त हुए एच.एल.७. (HL7) ऑर्डर संदेश में पाए गए अनुसूचित स्टेशन ए.इ. (AE) के नाम के पथ को निर्दिष्ट करता है । एच.एल.७. (HL7) संस्करण २.५.१ (जिसमे आईपीसी सेगमेंट होता है) के लिए कॉन्फ़िगर ना करें. डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
"hl7LogFilePattern","एच.एल.७. (HL7) लॉग फाइल पैटर्न","एच.एल.७. (HL7) संदेशों का पथ जो उसी तरह सहेजे जाएंगे जिस तरह प्राप्त हुए थे ।अगर कॉन्फ़िगर न किया हो तो, लॉगिंग नहीं की जाएगी ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा उदाहरण के तौर पे: ${jboss.server.data.dir}/hl7/${date,yyyy/MM/dd}/${SerialNo}-${MSH-9}.hl7 ।"
"hl7ErrorLogFilePattern","एच.एल.७. (HL7) त्रुटि लॉग फाइल पैटर्न","एच.एल.७. (HL7) संदेशों का पथ जो उसी तरह सहेजे जाएंगे जिस तरह प्राप्त हुए थे, अगर एच.एल.७. (HL7) संदेशों की प्रक्रिया असफल हुई हो ।अगर कॉन्फ़िगर न किया हो तो, लॉगिंग नहीं की जाएगी ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा उदाहरण के तौर पे: ${jboss.server.data.dir}/hl7-error/${date,yyyy/MM/dd}/${SerialNo}-${MSH-9}.hl7 ।"
"hl7NoPatientCreateMessageType","एच.एल.७. (HL7) संदेश प्रकार - मरीज़ के रेकॉर्ड को निर्माण न करें","एच.एल.७. (HL7) संदेशों का संदेश प्रकार (संदेश प्रकार^ट्रिगर घटना) जिनपे सिर्फ तभी प्रक्रिया होगी अगर डेटाबेस में पहले से मरीज़ का रेकॉर्ड है, जिन मरीज़ों के आई.डी. उन मरीज़ों के आई.डी. जो एच.एल.७. (HL7) संदेश के पी.आई.डी. (PID) या एम्.आर.जी. (MRG) सेगमेंट से मेल खाते है । इस तरह निर्दिष्ट एच.एल.७. (HL7) संदेशों के प्रकारों के लिए कोई नया मरीज का रेकॉर्ड नहीं निर्माण किया जाएगा ।डिवाइस स्तर पे निर्दिष्ट किया गया मूल्य अधिलेखित होगा ।"
