"property","title","description"
"","आर्काइव नेटवर्क एइ","डाइकोम आर्काइव नेटवर्क एइ से सम्बंधित जानकारी ।"
"dcmObjectStorageID","Object स्टोरेज आई.डी.","ID of Storage System on which received डाइकोम composite objects are stored ।Multiple Storage Systems may be configured ।"
"dcmObjectStorageCount","Object Storage Count","Number of Storage Systems which are filled in parallel ।"
"dcmMetadataStorageID","मेटाडेटा स्टोरेज आई.डी.","ID of Storage on which Metadata is stored in JSON format - additionally to the complete डाइकोम composite object ।Multiple Storage Systems may be configured. If absent, metadata is not stored additionally ।"
"dcmBulkDataDescriptorID","अधिकांश डेटा वर्णनकर्ता की आई.डी.","संगृहीत दृष्टांतों के मेटाडेटा उपलब्ध करानेवाले सारे सेवाओं द्वारा लागू की गई अधिकांश डेटा वर्णनकर्ता की आई.डी. । अगर कॉन्फ़िगर न किया हो तो, सिर्फ वही गुण अधिकांश डेटा के तौर पे माने जाएंगे जो 'बिना अधिकांश डेटा के मिश्र दृष्टांत की प्राप्ति' सेवा क्लास द्वारा निर्दिष्ट किए है. डिवाइस स्तर पे निर्दिष्ट किए गए मूल्य अधिलेखित होंगे ।"
"dcmSeriesMetadataDelay","कुल सीरीज मेटाडेटा विलंभ","इस एइ से प्राप्त हुए ऑब्जेक्ट्स के कुल सीरीज मेटाडेटा को स्टोरेज पे सहेजने के लिए आई.एस.ओ.-८६०१ कलविधि फॉर्मेट PnDTnHnMnS में विलंभ ।डिवाइस स्तर पे निर्दिष्ट किए गए मूल्य अधिलेखित होंगे ।"
"dcmPurgeInstanceRecordsDelay","दृष्टांतों के रिकार्ड्स को निकालने का विलंभ","इस एइ से प्राप्त हुए दृष्टांतों के रेकॉर्ड्स को डेटाबेस से निकालने के लिए आई.एस.ओ.-८६०१ कलविधि फॉर्मेट PnDTnHnMnS में विलंभ ।डिवाइस स्तर पे निर्दिष्ट किए गए मूल्य अधिलेखित होंगे Only effective, if Purge Instance Records on Device Level = true ।"
"dcmStoreAccessControlID","Store Access Control ID","Access Control ID assigned to Studies received by this AE ।"
"dcmAccessControlID","Access Control ID","Access Control IDs assigned to Query/Retrieve requests received by this AE ।"
"dcmAcceptedMoveDestination","Accepted Move Destination","Accepted Move Destination in C-MOVE requests; any if absent ।"
