"property","title","description"
"","ऑडिट लॉगर","ऑडिट लॉगर से संबंधित जानकारी ।"
"cn","नाम","ऑडिट लॉगर का मनमाना सार्थक नाम ।"
"dicomNetworkConnectionReference","नेटवर्क संपर्क रेफेरेंस","इस ऑडिट लॉगर द्वारा इस्तमाल किए गए नेटवर्क संपर्क ऑब्जेक्ट के जेसन पॉइंटर्स ।"
"dcmAuditRecordRepositoryDeviceName","ऑडिट रेकॉर्ड रिपोसिटोरी डिवाइस का नाम","ऑडिट संदेशों को भेजे गए ऑडिट रेकॉर्ड रिपोसिटोरी डिवाइस ।"
"dcmAuditSourceID","स्रोत आई.डी.","आर.एफ.सी. ३८८१ ऑडिट स्रोत आई.डी.; अगर अनुपस्थित हो तो डिवाइस का नाम ।"
"dcmAuditEnterpriseSiteID","एंटरप्राइज साइट आई.डी.","आर.एफ.सी. ३८८१ ऑडिट एंटरप्राइज साइट आई.डी.; 'dicomInstitutionName' के मूल्य को डाइकोम डिवाइस के संस्था के नाम के साथ बदला जाएगा ।"
"dcmAuditSourceTypeCode","स्रोत प्रकार कोड","आर.एफ.सी. ३८८१ ऑडिट स्रोत प्रकार कोड; 'dicomPrimaryDeviceType' के मूल्य को डाइकोम डिवाइस के प्राथमिक प्रकार के साथ बदला जाएगा ।"
"dcmAuditFacility","सिसलॉग सुविधा","ऑडिट सन्देश का आर.एफ.सी. ५४२४ सिसलॉग सुविधा स्ट्रिंग मूल्य ।"
"dcmAuditSuccessSeverity","सिसलॉग सख्ती - सफलता","घटना परिणाम सूचक 0 (सफलता) के ऑडिट संदेश का आर.एफ.सी. ५४२४ सिसलॉग सख्ती स्ट्रिंग मूल्य ।"
"dcmAuditMinorFailureSeverity","सिसलॉग सख्ती - असफलता","घटना परिणाम सूचक ४ (मामूली असफलता) के ऑडिट संदेश का आर.एफ.सी. ५४२४ सिसलॉग सख्ती स्ट्रिंग मूल्य ।"
"dcmAuditSeriousFailureSeverity","सिसलॉग सख्ती - असफलता","घटना परिणाम सूचक ८ (गंभीर असफलता) के ऑडिट संदेश का आर.एफ.सी. ५४२४ सिसलॉग सख्ती स्ट्रिंग मूल्य ।"
"dcmAuditMajorFailureSeverity","सिसलॉग सख्ती - मुख्य असफलता","घटना परिणाम सूचक १२ (मुख्य असफलता) के ऑडिट संदेश का आर.एफ.सी. ५४२४ सिसलॉग सख्ती स्ट्रिंग मूल्य ।"
"dcmAuditApplicationName","सिसलॉग अनुप्रयोग का नाम","ऑडिट संदेश का आर.एफ.सी. ५४२४ सिसलॉग अनुप्रयोग का नाम; अनुपलभ्य हो तो ऑडिट स्रोत आई.डी. ।"
"dcmAuditMessageID","सिसलॉग संदेश आई.डी.","ऑडिट संदेश का आर.एफ.सी. ५४२४ सिसलॉग संदेश आई.डी. ।"
"dcmAuditMessageEncoding","संदेश एन्कोडिंग","ऑडिट संदेश के आर.एफ.सी. ५४२४ सिसलॉग संदेश का कॅरक्टर एन्कोडिंग ।"
"dcmAuditMessageBOM","संदेश बी.ओ.एम्.","ऑडिट संदेश के आर.एफ.सी. ५४२४ सिसलॉग संदेश का उपसर्ग यूनिकोड बी.ओ.एम्. द्वारा सक्षम या असक्षम करें; अनुपलभ्य हो तो बी.ओ.एम्. को शामिल करें ।"
"dcmAuditTimestampInUTC","यू.टी.सी में समय","आर.एफ.सी. ५४२४ सिसलॉग समय और ऑडिट संदेश के घटना तारीख तथा समय को कोऑर्डिनेटेड यूनिवर्सल समय में निर्दिष्ट करने को निर्दिष्ट करता है ।डिफ़ॉल्ट संकेत करता है की यह मूल्य स्थानीय समय कटिबंध में होगा ।"
"dcmAuditMessageFormatXML","संदेश फॉर्मेट एक्स.एम्.एल","ऑडिट संदेश एक्स.एम्.एल को लाइन फीड और इंडेंटेशन के साथ फॉर्मेट किया है या नहीं यह निर्दिष्ट करता है ।"
"dcmAuditMessageSchemaURI","संदेश स्कीमा यू.आर.आइ","ऑडिट संदेश में संदर्भित किए गए डाइकोम ऑडिट संदेश स्कीमा का यू.आर.आइ ।"
"dcmAuditIncludeInstanceUID","दृष्टांतों के यू.आई.डी. यों को शामिल करें","ऑडिट लॉग संदेशों में दृष्टांतों के यू.आई.डी. यों को इच्छानुसार शामिल करने का संकेत करता है ।"
"dcmAuditLoggerSpoolDirectoryURI","स्पूल निर्देशिका यू.आर.आइ","ऑडिट रेकॉर्ड रिपोसिटोरी पे न भेज पाए ऑडिट संदेशों को सहेजने के स्पूल निर्देशिका का यू.आर.आइ; अनुपलभ्य हो तो सिस्टम अस्थायी निर्देशिका का इस्तमाल करें ।"
"dcmAuditLoggerRetryInterval","पुनःपरीक्षण अंतराल","ऑडिट रेकॉर्ड रिपोसिटोरी पे फिरसे ऑडिट संदेशों को भेजने का सेकंडों में पुनःपरीक्षण अंतराल; अनुपलभ्य हो तो ऑडिट संदेशों को फिरसे भेजने का पुनःपरीक्षण ना करें ।"
"dicomInstalled","स्थापित","हाँ अगर यह ऑडिट लॉगर इस नेटवर्क पे स्थापित है ।अनुपलभ्य हो तो, ऑडिट लॉगर के स्थापित स्थिति की जानकारी डिवाइस से ली जाएगी ।"
"dcmAuditSuppressCriteria","ऑडिट अधीन मानदण्ड","ऑडिट अधीन मानदण्ड"
