"property","title","description"
"","डिवाइस एक्सटेंशन","डीसीएम्४ची मालिकाना डिवाइस के गुण ।"
"dcmRoleSelectionNegotiationLenient","भूमिका चयन का उदार व्यवहार","डिमसे अनुरोध के भेजे जाने पे अपेक्षित एस.सी.पी./एस.सी.यू. के भूमिका चयन के व्यवहार की जाँच असक्षम करें ।किसी नेटवर्क ए.इ. पे कॉन्फ़िगर किए गए मूल्यों से अधिलेखित किया जा सकता है ।"
"dcmLimitOpenAssociations","सहयोजन की सीमा","खुले डाइकोम संपर्कों की अधिकतम संख्या; सीमा पार हो जाए तो सहयोजन अनुरोध अस्वीकृत किए जाएंगे; ० = असीमित ।"
"dcmLimitAssociationsInitiatedBy","ए.इ. के लिए सहयोजन की सीमा","किसी विशिष्ट अनुप्रयोग तत्त्व (ए.इ.) द्वारा आरंभ किए हुए खुले डाइकोम संपर्कों की अधिकतम संख्या; इस फॉर्मेट में <ae-title>=<number>; सीमा पार हो जाए तो उस ए.इ. द्वारा सहयोजन अनुरोध अस्वीकृत किए जाएंगे ।"
"dcmTrustStoreURL","ट्रस्टस्टोर यू.आर.एल.","डाइकोम नोड्स को इस नोड के साथ संपर्क प्राधिकृत करनेवाला प्रमाणपत्र के साथ ट्रस्टस्टोर का यू.आर.एल.; dicomAuthorizedNodeCertificateReference अधिलेखित होगा ।"
"dcmTrustStoreType","ट्रस्टस्टोर प्रकार","ट्रस्टस्टोर यू.आर.एल. द्वारा निर्दिष्ट किए गए ट्रस्टस्टोर का कीस्टोर प्रकार ।"
"dcmTrustStorePin","ट्रस्टस्टोर पिन","ट्रस्टस्टोर यू.आर.एल. द्वारा निर्दिष्ट किए गए ट्रस्टस्टोर का कुंजी पासवर्ड ।"
"dcmTrustStorePinProperty","ट्रस्टस्टोर पिन गुण","ट्रस्टस्टोर यू.आर.एल द्वारा निर्दिष्ट किए गए ट्रस्टस्टोर के कुंजी पासवर्ड का सिस्टम गुण ।"
"dcmKeyStoreURL","कीस्टोर यू.आर.एल.","टी.एल.एस. संपर्कों में इस डाइकोम नोड की पहचान करनेवाला निजी कुंजी और प्रमाणपत्र के साथ कीस्टोर का यू.आर.एल. ।"
"dcmKeyStoreType","कीस्टोर प्रकार","कीस्टोर यू.आर.एल द्वारा निर्दिष्ट किए गए कीस्टोर का कीस्टोर प्रकार ।"
"dcmKeyStorePin","कीस्टोर पिन","कीस्टोर यू.आर.एल द्वारा निर्दिष्ट किए गए कीस्टोर के पासवर्ड को निर्दिष्ट करता है ।"
"dcmKeyStorePinProperty","कीस्टोर पिन गुण","कीस्टोर यू.आर.एल द्वारा निर्दिष्ट किए गए कीस्टोर के पासवर्ड के सिस्टम गुण को निर्दिष्ट करता है ।"
"dcmKeyStoreKeyPin","कीस्टोर की पिन","कीस्टोर यू.आर.एल द्वारा निर्दिष्ट किए गए कीस्टोर का कुंजी पासवर्ड ।"
"dcmKeyStoreKeyPinProperty","कीस्टोर की पिन गुण","कीस्टोर यू.आर.एल द्वारा निर्दिष्ट किए गए कीस्टोर के कुंजी पासवर्ड के सिस्टम गुण को निर्दिष्ट करता है ।"
"dcmTimeZoneOfDevice","डिवाइस का समय कटिबंध","डिवाइस का समय कटिबंध आई.डी.; जावा के समय कटिबंध आई.डी. के साथ मिलान होता है ।"
"dcmWebApp","वेब अनुप्रयोग","डिवाइस द्वारा उपलब्ध कराये गए वेब अनुप्रयोग ।"
"dcmKeycloakClient","कीक्लोक क्लाइंट","डिवाइस द्वारा उपलब्ध कराये गए कीक्लोक क्लाइंट ।"
"hl7Application","एचएल७ अनुप्रयोग","डिवाइस द्वारा उपलब्ध कराये गए एचएल७ अनुप्रयोग ।"
"dcmImageWriter","इमेज राइटर","डाइकोम दृष्टांतों के संपीडन में इस्तमाल किए जानेवाले लेखन मापदण्डों के साथ जावा इमेज आई.ओ. इमेज राइटर को निर्दिष्ट करता है ।"
"dcmImageReader","इमेज रीडर","संपीडित डाइकोम दृष्टांतों के असंपीडन में इस्तमाल किए जानेवाले जावा इमेज आई.ओ. इमेज रीडर को निर्दिष्ट करता है ।"
"dcmAuditLogger","ऑडिट लॉगर","ऑडिट लॉगर से संबंधित जानकारी ।"
"dcmAuditRecordRepository","ऑडिट रेकॉर्ड रिपोसिटोरी","ऑडिट रेकॉर्ड रिपोसिटोरी से संबंधित जानकारी ।"
"dcmArchiveDevice","आर्काइव डिवाइस","डाइकोम आर्काइव डिवाइस से सम्बंधित जानकारी ।"
"dcmuiConfig","यू.आई. विन्यास","यू.आई. विन्यास ।"
