"property","title","description"
"","डिवाइस","डाइकोम डिवाइस से संबंधित जानकारी ।"
"dicomDeviceName","डिवाइस का नाम","इस डिवाइस का अनन्य नाम ।"
"dicomDescription","डिवाइस का वर्णन","डिवाइस का स्वैच्छिक विषय वर्णन ।"
"dicomVendorData","वेंडर डिवाइस डेटा","डिवाइस से निर्दिष्ट वेंडर विन्यास जानकारी ।"
"dicomDeviceUID","डिवाइस यू.आई.डी.","डिवाइस का अनन्य पहचानकर्ता ।"
"dicomManufacturer","उत्पादक","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए उत्पादक (०००८,००७०) के मूल्य के सामान होना चाहीये ।"
"dicomManufacturerModelName","उत्पादक मॉडेल का नाम","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए उत्पादक मॉडेल का नाम (०००८,१०९०) के मूल्य के सामान होना चाहीये ।"
"dicomSoftwareVersion","सॉफ्टवेयर संस्करण","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए सॉफ्टवेयर संस्करण (००१८,१०२०) के मूल्य के सामान होना चाहीये ।"
"dicomStationName","स्टेशन का नाम","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए स्टेशन का नाम (०००८,१०१०) के मूल्य के सामान होना चाहीये ।"
"dicomDeviceSerialNumber","डिवाइस क्रमिक संख्या","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए डिवाइस क्रमिक संख्या (००१८,१०००) के मूल्य के सामान होना चाहीये ।"
"dicomPrimaryDeviceType","डिवाइस का प्राथमिक प्रकार","डिवाइस के प्रकार का प्रतिनिधित्व करता है और अभिग्रहण साधन के लिए सबसे अधिक लागू होता है ।"
"dicomInstitutionName","संस्था का नाम","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए संस्था का नाम (०००८,००८०) के मूल्य के सामान होना चाहीये ।"
"dicomInstitutionCode","संस्था का कोड","संस्था के कोड इस प्रारूप में (CV, CSD, ""CM"") ।"
"dicomInstitutionAddress","संस्था का पता","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए संस्था का पता (०००८,००८१) के मूल्य के सामान होना चाहीये ।"
"dicomInstitutionDepartmentName","संस्थागत विभाग का नाम","इस डिवाइस द्वारा निर्माण किए गए सोप दृष्टांतों में पाए गए संस्थागत विभाग का नाम (०००८,१०४०) के मूल्य के सामान होना चाहीये ।"
"dicomIssuerOfPatientID","मरीज़़ की आई.डी. का जारीकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में मरीज़़ की आई.डी. का जारीकर्ता (००१०,००२१), और इच्छानुसार मरीज़ के आई.डी. के जारीकर्ता क्रम (००१०,००२४) के आइटम के यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <Issuer of Patient ID>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomIssuerOfAccessionNumber","परिग्रहण संख्या का जारीकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में परिग्रहण संख्या का जारीकर्ता क्रम (०००८,००५१) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomOrderPlacerIdentifier","ऑर्डर प्लेसर पहचानकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में ऑर्डर प्लेसर पहचानकर्ता क्रम (००४०,००२६) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomOrderFillerIdentifier","ऑर्डर फिलर पहचानकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में ऑर्डर फिलर पहचानकर्ता क्रम (००४०,००२७) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomIssuerOfAdmissionID","प्रवेश आईडी का जारीकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में प्रवेश आई.डी. का जारीकर्ता क्रम (००३८,००१४) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomIssuerOfServiceEpisodeID","सर्विस एपिसोड आई.डी. का जारीकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में सर्विस एपिसोड आई.डी. का जारीकर्ता क्रम (००३८,००६४) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), the यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomIssuerOfContainerIdentifier","कंटेनर पहचानकर्ता का जारीकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में नमूना पहचानकर्ता का जारीकर्ता क्रम (००४०,०५१३) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomIssuerOfSpecimenIdentifier","नमूना पहचानकर्ता का जारीकर्ता","इस डिवाइस द्वारा निर्माण या प्राप्त किए गए सोप दृष्टांतों में नमूना पहचानकर्ता का जारीकर्ता क्रम (००४०,०५६२) के आइटम के स्थानीय नेमस्पेस एंटिटी आई.डी. (००४०,००३१), यूनिवर्सल एंटिटी आई.डी. (००४०,००३२) और यूनिवर्सल एंटिटी आई.डी. प्रकार (००४०,००३३) के डिफ़ॉल्ट मूल्य ।प्रारूप: <स्थानीय नेमस्पेस एंटिटी आई.डी.>['&'<यूनिवर्सल एंटिटी आई.डी.>'&'<यूनिवर्सल एंटिटी आई.डी. प्रकार>] ।"
"dicomAuthorizedNodeCertificateReference","अधिकृत नोड प्रमाण पत्र संदर्भ","नोड्स के प्रमाण पत्र के लिए प्रतिष्ठित नाम जो इस डिवाइस से जुड़ने के लिए अधिकृत हैं ।"
"dicomThisNodeCertificateReference","यह नोड प्रमाण पत्र संदर्भ","इस नोड के लिए सार्वजनिक प्रमाणपत्र के विशिष्ट नाम ।"
"dicomInstalled","स्थापित","यह डिवाइस इस समय नेटवर्क पे स्थापित है या नहीं संकेत करनेवाला बूलियन ।"
"dicomNetworkConnection","नेटवर्क कनेक्शन","इस डिवाइस के नेटवर्क कनेक्शन ।"
"dicomNetworkAE","नेटवर्क एइ","इस डिवाइस द्वारा उपलब्ध कराये गए अनुप्रयोग तत्त्व ।"
"dcmDevice","डिवाइस एक्सटेंशन","डीसीएम्४ची मालिकाना डिवाइस के गुण ।"
