"property","title","description"
"","एच.एल.७. (HL7) अनुप्रयोग","एच.एल.७. (HL7) अनुप्रयोग की जानकारी ।"
"hl7ApplicationName","एच.एल.७. (HL7) अनुप्रयोग का नाम","एच.एल.७. (HL7) अनुप्रयोग और सुविधा का नाम (अनुप्रयोग|सुविधा) ।"
"dicomNetworkConnectionReference","नेटवर्क संपर् संदर्भ","इस एच.एल.७. (HL7) अनुप्रयोग द्वारा इस्तमाल किए गए नेटवर्क संपर्क ऑब्जेक्ट के जेसन पॉइंटर्स ।"
"hl7AcceptedSendingApplication","स्वीकृत भेजनेवाला अनुप्रयोग","स्वीकृत भेजनेवाला अनुप्रयोग का अनुप्रयोग|सुविधा का नाम; यदि अनुपस्थित है, तो कोई भी मूल्य ।"
"hl7OtherApplicationName","अन्य एच.एल.७. (HL7) अनुप्रयोग का नाम","अधिक एच.एल.७. (HL7) अनुप्रयोग और सुविधा का नाम (अनुप्रयोग|सुविधा) - एच.एल.७. (HL7) संदेश, जिसमें ऐसे प्राप्ति अनुप्रयोग और सुविधा का नाम है, वे भी स्वीकार होंगे ।"
"hl7AcceptedMessageType","स्वीकृत संदेश का प्रकार","स्वीकार किए हुए संदेशों का प्रकार (MessageType^TriggerEvent) ।"
"hl7DefaultCharacterSet","डिफ़ॉल्ट कॅरक्टर सेट","एम्.एस.एच. सेगमेंट के अठरावे फील्ड में (MSH-18) में कॅरक्टर सेट निर्दिष्ट नहीं किया है, तो प्राप्त हुए संदेशों को डिकोड करने में उपयोग किया गया कॅरक्टर सेट ।"
"hl7SendingCharacterSet","भेजा गया कॅरक्टर सेट","आर्काइव से भेजे गए एच.एल.७. (HL7) संदेशों को एन्कोड करने के लिए उपयोग किया गया कॅरक्टर सेट ।"
"dicomDescription","एच.एल.७. (HL7) का वर्णन","एच.एल.७. (HL7) अनुप्रयोग का स्वैछिक विषय वर्णन ।"
"dicomApplicationCluster","अनुप्रयोग क्लस्टर","संबंधित अनुप्रयोगों के सबसेट के लिए स्थानीय रूप से परिभाषित नाम ।"
"dicomInstalled","स्थापित","'हाँ' अगर यह एच.एल.७. (HL7) अनुप्रयोग इस नेटवर्क पे स्थापित है ।अनुपलभ्य हो तो, एच.एल.७. (HL7) अनुप्रयोग के स्थापित स्थिति की जानकारी डिवाइस से ली जाएगी ।"
"dcmArchiveHL7Application","आर्काइव एच.एल.७. (HL7) अनुप्रयोग","डाइकोम (DICOM) आर्काइव एच.एल.७. (HL7) अनुप्रयोग से सम्बंधित जानकारी ।"
