"property","title","description"
"","एचएल७ Prefetch Rule","एचएल७ Prefetch Rule"
"cn","Name","Arbitrary/Meaningful का नाम the Prefetch Rule"
"dcmQueueName","Queue Name","का नाम JMS Queue used for scheduling retrieve tasks triggered by this Prefetch Rule"
"dicomAETitle","Archive AE title","AE Title of Archive Application Entity used for retrieving selected Studies from Prefetch C-Move SCP."
"dcmPrefetchCFindSCP","Prefetch C-Find SCP","AE Title of C-FIND SCP which is queried for Studies matching the specified Entity Selector."
"dcmPrefetchCMoveSCP","Prefetch C-Move SCP","AE Title of C-MOVE SCP from which selected Studies are retrieved."
"dcmPrefetchCStoreSCP","Prefetch C-Store SCP","AE Title of C-STORE SCP to which selected Studies are retrieved."
"dcmProperty","नियम","नियम इस फॉर्मेट में {SEG}-{Seq#}[.{Comp#}[.{SubComp#}]][!]={regEx}. उदाहरण के तौर पे: MSH-9=ORM\^O01"
"dcmEntitySelector","Entity Selector","निर्दिष्ट करता है matching keys used to select Studies to prefetch. Format: {key}={value}[&{key}={value)]..., with {key} = 'priors' | 'StudyAge' | {attributeID}. {value} in the format '$'{SEG}-{Seq#}[.{Comp#}[.{SubComp#}]] are replaced by the value of the specified एचएल७ field from the received एचएल७ message which triggered the prefetch. If no Entity Selector is specified, all Studies for the Patient will be pre-fetched. उदाहरण के तौर पे: 'priors=2&StudyAge=-5Y&ModalitiesInStudy=$OBR-24' => select at most 2 prior Studies not older than 5 years containing at least one Series with Modality from OBR-24."
"dcmNullifyIssuerOfPatientID","Ignore Assigning Authority of Patient ID","Conditionally ignore Assigning Authority of Patient ID (PID-3.4) in received एचएल७ message which triggered the prefetch for selecting Studies of the Patient."
"dcmIssuerOfPatientID","Assigning Authority of Patient ID","Assigning Authority of Patient ID against values in received एचएल७ message are matched, if Assigning Authority of Patient ID is set to MATCHING or NOT_MATCHING. Format: <Issuer of Patient ID> [& <Universal Entity ID> & <Universal Entity ID Type>]."
"dcmDuration","Suppress Duplicate Retrieve Interval","Suppress Retrieve of Studies already retrieved not earlier than the specified interval to avoid duplicate retrieves."
"dcmSchedule","Prefetch Schedule","Delay prefetch to specified time periods. If no Prefetch Schedule is specified, queue a Prefetch Task for the selected Studies of the Patient immediately. Format: 'hour=[0-23] dayOfWeek=[0-6]' (0=Sunday)"
