"property","title","description"
"","एच.एल.७. स्टडी धारण नीति","एच.एल.७. स्टडी धारण नीति ।"
"cn","नाम","एच.एल.७. स्टडी धारण नीति का मनमाना/सार्थक नाम ।"
"dicomAETitle","अनुप्रयोग तत्त्व (ए.इ.) का नाम","अनुप्रयोग तत्त्व (ए.इ.) का नाम ।"
"dcmRetentionPeriod","न्यूतनम स्टडी धारण कालावधि","आई.एस.ओ.-८६०१ कालावधि प्रारूप PnYnMnD या PnW में न्यूतनम स्टडी धारण कालावधि ।"
"dcmMaxRetentionPeriod","अधिकतम स्टडी धारण कालावधि","आई.एस.ओ.-८६०१ कालावधि प्रारूप PnYnMnD या PnW में अधिकतम स्टडी धारण कालावधि ।"
"dcmRulePriority","नियम प्राथमिकता","नियम प्राथमिकता ।"
"dcmProperty","नियम","नियम इस प्रारूप में {SEG}-{Seq#}[.{Comp#}[.{SubComp#}]][!]={regEx}. उदाहरण के तौर पे: MSH-4=FORWARD or MSH-9=ADT\^A28\^ADT_A05 ।"
"dcmStartRetentionPeriodOnStudyDate","धारण कालावधि को स्टडी के तारीख से आरंभ करें","धारण कालावधि को एच.एल.७. संदेश (जिससे यह नियम सक्रीय हुआ) के आर्काइव में पाए जाने के तारीख के बजाय प्रत्येक स्टडी के तारीख से आरंभ करने का संकेत करता है ।"
"dcmExporterID","समाप्ति तारीख से बीते हुए स्टडीज निर्यात करें","निर्दिष्ट किए हुए निर्यातक द्वारा समाप्ति तारीख से बीते हुए स्टडीज / सीरीज निर्यात करें ।"
"dcmFreezeExpirationDate","समाप्ति तारीख को स्थिर रखे","निम्नलिखित घटनाओं द्वारा समाप्ति तारीख में बदलाव असक्षम करने का संकेत करता है ।"
"dcmRevokeExpiration","समाप्ति तारीख को अभिशून्य करें","पहले सेट किए हुए समाप्ति तारीख को अभिशून्य करने का संकेत करता है ।"
