"property","title","description"
"","कीक्लोक सर्वर","कीक्लोक सर्वर ।"
"dcmKeycloakServerID","कीक्लोक सर्वर ID","इस कीक्लोक सर्वर का पहचानकर्ता ।"
"dcmURI","सर्वर URL","कीक्लोक सर्वर का आधार URL ।"
"dcmKeycloakRealm","कीक्लोक रियल्म","टोकन अनुरोधों में इस्तमाल किए जानेवाले रियल्म का नाम ।"
"dcmKeycloakClientID","OAuth 2.0 क्लाइंट ID","टोकन अनुरोधों में इस्तमाल किए जानेवाले क्लाइंट ID ।"
"dcmKeycloakGrantType","OAuth 2.0 अनुदान प्रकार","टोकन अनुरोधों में इस्तमाल किए जानेवाले OAuth 2.0 अनुदान प्रकार ।"
"dcmKeycloakClientSecret","OAuth क्लाइंट गुप्त","OAuth क्लाइंट गुप्त । ज़रूरी है यदि OAuth 2.0 अनुदान प्रकार को 'client_credentials' सेट किया है ।"
"dcmTLSAllowAnyHostname","TLS किसी भी मेज़बान को अनुमति दे","यदि अन्य सर्वर पे HTTPS ज़रूरी हो तो और इस कॉन्फिग विकल्प को 'हाँ' सेट किया हो तो, अन्य सर्वर के प्रमाणपत्र को ट्रस्टस्टोर द्वारा मान्य किया जाएगा, लेकिन मेज़बान के नाम की मान्यता नहीं की जाएगी ।"
"dcmTLSDisableTrustManager","TLS ट्रस्ट मैनेजर को असक्षम करें","यदि अन्य सर्वर पे HTTPS ज़रूरी हो तो और इस कॉन्फिग विकल्प को 'हाँ' सेट किया हो तो, ट्रस्टस्टोर को निर्दिष्ट करने की आवश्यकता नहीं है ।"
"uid","उपभोक्ता ID","उपभोक्ता ID । ज़रूरी है यदि OAuth 2.0 अनुदान प्रकार को 'password' सेट किया है ।"
"userPassword","उपभोक्ता पासवर्ड","उपभोक्ता पासवर्ड । ज़रूरी है यदि OAuth 2.0 अनुदान प्रकार को 'password' सेट किया है ।"
