"property","title","description"
"","स्टडी धारण नीति","स्टडी धारण नीति ।"
"cn","नाम","स्टडी धारण नीति का मनमाना/सार्थक नाम ।"
"dcmRetentionPeriod","स्टडी धारण कालावधि","आई.एस.ओ.-८६०१ कालावधि फॉर्मेट PnYnMnD या PnW में स्टडी धारण कालावधि ।"
"dcmRulePriority","नियम प्राथमिकता","नियम प्राथमिकता ।"
"dcmProperty","नियम","नियम इस फॉर्मेट में (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{attributeID})[!]={regEx} ।"
"dcmExpireSeriesIndividually","प्रत्येक सीरीज समाप्त करें","प्रत्येक सीरीज समाप्त करें या नहीं यह संकेत करता है ।"
"dcmStartRetentionPeriodOnStudyDate","धारण कालावधि को स्टडी के तारीख से आरंभ करें","धारण कालावधि को स्टडी के दृष्टांतों के आर्काइव में पाए जाने के तारीख के बजाय स्टडी के तारीख से आरंभ करने का संकेत करता है ।"
"dcmExporterID","समाप्ति तारीख से बीते हुए स्टडीज निर्यात करें","निर्दिष्ट किए हुए निर्यातक द्वारा समाप्ति तारीख से बीते हुए स्टडीज / सीरीज निर्यात करें ।"
"dcmFreezeExpirationDate","समाप्ति तारीख को स्थिर रखे","निम्नलिखित घटनाओं द्वारा समाप्ति तारीख में बदलाव असक्षम करने का संकेत करता है ।"
"dcmRevokeExpiration","समाप्ति तारीख को अभिशून्य करें","पहले सेट किए हुए समाप्ति तारीख को अभिशून्य करने का संकेत करता है ।"
