"property","title","description"
"","यू.आई. विन्यास","यू.आई. विन्यास"
"dcmuiConfigName","यू.आई. विन्यास का नाम","यू.आई. विन्यास का नाम"
"dcmuiModalities","स्टेटिस्टिक मोडेलिटीज़","पूर्व चुने हुए मोडेलिटीज़ जो स्टेटिस्टिक पेज में दिखने चाहिए"
"dcmuiLanguageConfig","भाषा विन्यास","यू.आई. के भाषाओं का विन्यास"
"dcmuiWidgetAets","विजेट ए.इ.टी.","उन ए.इ.टी. को चुने जो ए.इ.टी. विजेट में दिखने चाहिए, जिसमें कौनसे नए जोड़े गए ए.इ.टी. को स्वीकृत आह्वान ए.इ.टी. के रूप में इस्तमाल किया जाए, यह आप चुन सकते है ।"
"dcmuiXDSInterfaceURL","एक्स.डी.एस. इंटरफ़ेस का यू.आर.एल.","एक्स.डी.एस. सेवाओं के लिए इस्तमाल किया जानेवाला का आधार यू.आर.एल., उदाहरण के तौर पे http(s)://<xds-server-host>:<xds-server-port> ।"
"dcmuiBackgroundURL","पृष्ठभूमि का यू.आर.एल.","यू.आई. का पृष्ठभूमि बदलने के लिए पृष्ठभूमि का यू.आर.एल., यह सापेक्ष या निरपेक्ष यू.आर.एल. हो सकता है, छवि की चौड़ाई कम से कम १०२४px होनी चाहिए ।"
"dcmuiLogoURL","प्रतीक चिन्ह का यू.आर.एल.","यू.आई. का प्रतीक चिन्ह बदलने के लिए प्रतीक चिन्ह का यू.आर.एल., यह सापेक्ष या निरपेक्ष यू.आर.एल. हो सकता है, छवि की चौड़ाई १४०px होनी चाहिए और पारदर्शी पृष्ठभूमि के साथ png प्रारूप में होनी चाहिए ।"
"dcmuiDefaultWidgetAets","डिफ़ॉल्ट विजेट ए.इ.टी.","उन ए.इ.टी. का चयन करें, जिन्हें विजेट ए.इ.टी. पर पूर्व चुने जाने चाहिए ।"
"dcmuiAetConfig","ए.इ.टी. की सूची","यू.आई. में ए.इ.टी. की सूची के शीर्ष पर जो ए.इ.टी. दिखने चाहिए, परिभाषित करें ।"
"dcmuiWebAppConfig","वेब अनुप्रयोगों की सूची","यू.आई. में वेब अनुप्रयोगों की सूची के शीर्ष पर जो वेब अनुप्रयोग दिखने चाहिए, परिभाषित करें ।"
"dcmuiPermission","अनुमति","अनुमति ।"
"dcmuiFilterTemplateObject","यू.आई. फ़िल्टर फर्मा","परिभाषित फ़िल्टर फर्मा ।"
"dcmuiDiffConfig","स्टडी तुलना विन्यास","स्टडी तुलना विन्यास ।"
"dcmuiDashboardConfig","यू.आई. डैशबोर्ड विन्यास","यू.आई. डैशबोर्ड विन्यास ।"
"dcmuiStudyTableConfig","यू.आई. स्टडी सारिणी विन्यास","सारिणी का विन्यास ।"
"dcmuiElasticsearchConfig","यू.आई. इलास्टिकसर्च विन्यास","प्रो संस्करण के लिए इलास्टिकसर्च विन्यास ।"
"dcmuiDeviceURLObject","यू.आई. डिवाइस यू.आर.एल.","अन्य यू.आई. डिवाइस यू.आर.एल. ।"
"dcmuiDeviceClusterObject","यू.आई. क्लस्टर विन्यास","डिवाइसेस को क्लस्टर में समूहित करें ।"
