"property","title","description"
"","UI डैशबोर्ड विन्यास","UI डैशबोर्ड विन्यास ।"
"dcmuiDashboardConfigName","UI डैशबोर्ड विन्यास का नाम","UI डैशबोर्ड विन्यास का नाम ।"
"dcmuiShowStarBlock","स्टार ब्लॉक दिखाए","स्टार ब्लॉक दिखाए - परिभाषित डिवाइस के नाम के बिना कार्यों के लिए ।"
"dcmuiQueueName","कतार","कतार ब्लॉक में इस्तमाल किए जानेवाले UI डैशबोर्ड विन्यास के लिए कतार के नाम ।"
"dcmuiExportName","निर्यातक आई.डी.","कतार और तुलना ब्लॉक में इस्तमाल किए जानेवाले UI डैशबोर्ड विन्यास के लिए निर्यातक के आई.डी. ।"
"dicomuiDeviceName","डिवाइसेस के नाम","पुनःप्राप्ति और निर्यात ब्लॉक का निर्माण करने के लिए इस्तमाल किए जानेवाले UI डैशबोर्ड विन्यास के लिए डिवाइसेस के नाम ।"
"dicomuiIgnoreParams","ऑडिट घटनाएँ मापदण्ड नज़रअंदाज़ करें","ऑडिट घटनाओं में नज़रअंदाज़ किए जानेवाले इलास्टिकसर्च मापदण्डों को सेट करें, उदाहरण के तौर पे Source.UserID=TESTVALUE ।"
"dcmuiCountAET","गिनती वेब अनुप्रयोग","डैशबोर्ड में स्टडीज की गिनती प्राप्त करने के लिए चुने हुए वेब अनुप्रयोग का इस्तमाल होगा ।"
"dcmuiCompareSideObjects","पक्षों की तुलना करें","पक्षों की तुलना करें ।"
"dicomuiDockerContainer","आर्काइव डोकर कंटेनर","हार्डवेयर पेज में इस्तमाल किए जानेवाले आर्काइव डोकर कंटेनर के नाम ।"
