"property","title","description"
"","UI तुलना विन्यास","UI तुलना विन्यास ।"
"dcmuiDiffConfigName","UI तुलना विन्यास का नाम","UI तुलना विन्यास का नाम ।"
"dcmuiDiffCallingAET","तुलना आह्वान AET","तुलना आह्वान AET ।"
"dcmuiDiffPrimaryCFindSCP","UI तुलना प्राथमिक C-FIND SCP","UI तुलना प्राथमिक C-FIND SCP ।"
"dcmuiDiffPrimaryCMoveSCP","UI तुलना प्राथमिक C-MOVE SCP","UI तुलना प्राथमिक C-MOVE SCP ।"
"dcmuiDiffPrimaryCStoreSCP","UI तुलना प्राथमिक C-STORE SCP","UI तुलना प्राथमिक C-STORE SCP ।"
"dcmuiDiffSecondaryCFindSCP","UI तुलना द्वितीयक C-FIND SCP","UI तुलना द्वितीयक C-FIND SCP ।"
"dcmuiDiffSecondaryCMoveSCP","UI तुलना द्वितीयक C-MOVE SCP","UI तुलना द्वितीयक C-MOVE SCP ।"
"dcmuiDiffSecondaryCStoreSCP","UI तुलना द्वितीयक C-STORE SCP","UI तुलना द्वितीयक C-STORE SCP ।"
"dcmuiDiffCriteria","UI तुलना मानदण्ड","UI तुलना मानदण्ड ।"
