"property","title","description"
"","एच.एल.७. पे यू.पी.एस. नियम","एच.एल.७.v2 संदेश प्राप्त होने पे एकीकृत कार्यसूची में वर्क आइटम को निर्माण या अपडेट करें ।"
"hl7UPSOnHL7ID","एच.एल.७. पे यू.पी.एस. नियम की आई.डी.","एच.एल.७. पे यू.पी.एस. नियम की आई.डी. ।"
"dcmProperty","नियम","नियम इस प्रारूप में <SEG>-<Seq#>[.<Comp#>[.<SubComp#>]][!]=<regEx> ।उदाहरण के तौर पे: MSH-9=ORM\^O01 ।"
"dcmSchedule","समय नियम","सिर्फ निर्दिष्ट समय रेंजों में नियम को लागू करें ।"
"dcmUPSLabel","प्रक्रिया स्टेप लेबल","निर्माण किए गए यू.पी.एस. में प्रक्रिया स्टेप लेबल (००७४,१२०४) का मूल्य ।प्राप्त हुए एच.एल.७. संदेश में {<SEG>-<Seq#>[.<Comp#>[.<SubComp#>]]} गुण के मूल्य के साथ बदला जाएगा ।"
"dcmUPSWorklistLabel","कार्यसूची लेबल","निर्माण किए गए यू.पी.एस. में कार्यसूची लेबल (००७४,१२०२) का मूल्य ।प्राप्त हुए एच.एल.७. संदेश में {<SEG>-<Seq#>[.<Comp#>[.<SubComp#>]]} गुण के मूल्य के साथ बदला जाएगा । If absent or if value could not be found in एच.एल.७. Message, एच.एल.७. Application का नाम the receiving एच.एल.७. Application will be used."
"dcmUPSPriority","प्राथमिकता","निर्माण किए गए यू.पी.एस. में अनुसूचित प्रक्रिया स्टेप प्राथमिकता (००७४,१२००) का मूल्य ।प्रगणित मूल्य: HIGH, MEDIUM, LOW ।यदि निर्दिष्ट नहीं किया गया है, तो MEDIUM लागू होगा ।"
"dcmUPSInputReadinessState","इनपुट तत्परता स्थिति","निर्माण किए गए यू.पी.एस. में इनपुट तत्परता स्थिति (००४०,४०४१) का मूल्य ।"
"dcmUPSStartDateTimeDelay","अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए यू.पी.एस. में अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय (००४०,४००५) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS ।सिर्फ प्रभावशाली अगर, एच.एल.७. संदेश में अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय नहीं पाया गया ।"
"dcmUPSCompletionDateTimeDelay","अपेक्षित समाप्ति तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए यू.पी.एस. में अपेक्षित समाप्ति तारीख समय (००४०,४०११) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS ।यदि निर्दिष्ट नहीं किया गया है, तो कोई अपेक्षित समाप्ति तारीख समय लागू नहीं होगा ।"
