"property","title","description"
"","दृष्टांतों के सहेजने पे UPS नियम","दृष्टांतों के सहेजने पे एकीकृत कार्यसूची में वर्कआइटम को निर्माण या अपडेट करें ।"
"dcmUPSOnStoreID","दृष्टांतों के सहेजने पे UPS नियम की ID","दृष्टांतों के सहेजने पे UPS नियम की ID ।"
"dcmProperty","नियम","नियम इस प्रारूप में (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx} । किसी दिए गए विशेषता के लिए एक से अधिक मूल्य निर्दिष्ट करने के लिए उन्हें | प्रतीक के सहारे अलग किया जा सकता है । उदाहरण के तौर पे : SendingApplicationEntityTitle=FORWARD या Modality=MR|CT या ProcedureCodeSequence.CodeValue=MRProcedure या 00180015=KNEE या 00321034.00080100=RequestingServiceCode या ImageType[3]=LOCALIZER"
"dcmSchedule","समय नियम","सिर्फ निर्दिष्ट समय रेंजों में नियम को लागू करें ।"
"dcmUPSLabel","प्रक्रिया स्टेप लेबल","निर्माण किए गए UPS में प्रक्रिया स्टेप लेबल (००७४,१२०४) का मूल्य । प्राप्त हुए डेटासेट में {attributeID} गुण के मूल्य के साथ बदला जाएगा ।"
"dcmUPSWorklistLabel","कार्यसूची लेबल","निर्माण किए गए UPS में कार्यसूची लेबल (००७४,१२०२) का मूल्य । प्राप्त हुए डेटासेट में {attributeID} गुण के मूल्य के साथ बदला जाएगा ।"
"dcmUPSPriority","प्राथमिकता","निर्माण किए गए UPS में अनुसूचित प्रक्रिया स्टेप प्राथमिकता (००७४,१२००) का मूल्य । प्रगणित मूल्य: HIGH, MEDIUM, LOW । यदि निर्दिष्ट नहीं किया गया है, तो MEDIUM लागू होगा ।"
"dcmUPSInputReadinessState","इनपुट तत्परता स्थिति","निर्माण किए गए UPS में इनपुट तत्परता स्थिति (००४०,४०४१) का मूल्य ।"
"dcmUPSStartDateTimeDelay","अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए UPS में अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय (००४०,४००५) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS । यदि निर्दिष्ट नहीं किया गया है, तो कोई विलम्ब लागू नहीं होगा ।"
"dcmUPSCompletionDateTimeDelay","अपेक्षित समाप्ति तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए UPS में अपेक्षित समाप्ति तारीख समय (००४०,४०११) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS । यदि निर्दिष्ट नहीं किया गया है, तो कोई अपेक्षित समाप्ति तारीख समय लागू नहीं होगा ।"
"dcmUPSInstanceUIDBasedOnName","नाम पर आधारित UPS दृष्टांत UID","निर्माण किए गए UPS में नाम पर आधारित UPS SOP दृष्टांत UID (०००८,००१८) को मिर्माण करने का मूल्य । आम तौर पर, {StudyInstanceUID}, {SeriesInstanceUID} या {SOPInstanceUID} मूल्य होगा, ताकि प्रति स्टडी, सीरीज या दृष्टांत के प्राप्त होने पे अलग UPS रेकॉर्ड निर्माण हो । यदि निर्दिष्ट नहीं किया गया है, तो यादृच्छिक रूप से निर्माण किया गया SOP दृष्टांत UID (०००८,००१८) का उपयोग किया जाएगा ।"
