"property","title","description"
"","UPS समाप्ति पे फिरसे UPS रेकॉर्ड का निर्माण का नियम","पिछले UPS रेकॉर्ड के समाप्ति पे एकीकृत कार्यसूची में वर्क आइटम को निर्माण या अपडेट करें ।"
"dcmUPSOnUPSCompletedID","UPS समाप्ति पे फिरसे UPS रेकॉर्ड निर्माण के नियम का ID","UPS समाप्ति पे फिरसे UPS रेकॉर्ड निर्माण के नियम का ID"
"dcmUPSPerformedWorkitemCode","संपादित वर्क आइटम कोड","समाप्त हुए UPS का संपादित वर्क आइटम कोड क्रम (००४०,४०१९) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") जो इस नियम को सक्रीय करता है।"
"dcmUPSLabel","प्रक्रिया स्टेप लेबल","निर्माण किए गए UPS में प्रक्रिया स्टेप लेबल (००७४,१२०४) का मूल्य । पिछले UPS रेकॉर्ड के डेटासेट में {attributeID} गुण के मूल्य के साथ बदला जाएगा ।"
"dcmUPSWorklistLabel","कार्यसूची लेबल","निर्माण किए गए UPS में कार्यसूची लेबल (००७४,१२०२) का मूल्य । प्राप्त हुए डेटासेट में {attributeID} गुण के मूल्य के साथ बदला जाएगा ।"
"dcmUPSPriority","प्राथमिकता","निर्माण किए गए UPS में अनुसूचित प्रक्रिया स्टेप प्राथमिकता (००७४,१२००) का मूल्य । प्रगणित मूल्य: HIGH, MEDIUM, LOW । यदि निर्दिष्ट नहीं किया गया है, तो MEDIUM लागू होगा ।"
"dcmUPSInputReadinessState","इनपुट तत्परता स्थिति","निर्माण किए गए UPS में इनपुट तत्परता स्थिति (००४०,४०४१) का मूल्य ।"
"dcmUPSStartDateTimeDelay","अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए UPS में अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय (००४०,४००५) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS । यदि निर्दिष्ट नहीं किया गया है, तो कोई विलम्ब लागू नहीं होगा ।"
"dcmUPSCompletionDateTimeDelay","अपेक्षित समाप्ति तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए UPS में अपेक्षित समाप्ति तारीख समय (००४०,४०११) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS । यदि निर्दिष्ट नहीं किया गया है, तो कोई अपेक्षित समाप्ति तारीख समय लागू नहीं होगा ।"
"dcmDestinationAE","गंतव्य AE","DICOM अनुप्रयोग तत्त्व का नाम जिसपे दृष्टांत सहेजे जाएंगे ।"
"dcmEntity","संचय की गुंजाइश","संचय की गुंजाइश ।"
"dcmUPSScheduledWorkitemCode","अनुसूचित वर्क आइटम कोड","निर्माण किए गए UPS में अनुसूचित वर्क आइटम कोड क्रम (००४०,४०१८) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
