"property","title","description"
"","यू.पी.एस. (UPS) फर्मा","यू.पी.एस. (UPS) फर्मा"
"dcmUPSTemplateID","यू.पी.एस. (UPS) फर्मा का आई.डी. (ID)","यू.पी.एस. (UPS) फर्मा का आई.डी. (ID)"
"dicomDescription","यू.पी.एस. (UPS) फर्मा का वर्णन","यू.पी.एस. (UPS) फर्मा का स्वैच्छिक विषय वर्णन ।"
"dcmUPSLabel","प्रक्रिया स्टेप लेबल","निर्माण किए गए यू.पी.एस. (UPS) में प्रक्रिया स्टेप लेबल (००७४,१२०४) का मूल्य ।"
"dcmUPSWorklistLabel","कार्यसूची लेबल","निर्माण किए गए यू.पी.एस. (UPS) में कार्यसूची लेबल (००७४,१२०२) का मूल्य ।"
"dcmUPSPriority","प्राथमिकता","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित प्रक्रिया स्टेप प्राथमिकता (००७४,१२००) का मूल्य ।प्रगणित मूल्य: HIGH, MEDIUM, LOW ।यदि निर्दिष्ट नहीं किया गया है, तो MEDIUM लागू होगा ।"
"dcmUPSInputReadinessState","इनपुट तत्परता स्थिति","निर्माण किए गए यू.पी.एस. (UPS) में इनपुट तत्परता स्थिति (००४०,४०४१) का मूल्य ।"
"dcmUPSStartDateTimeDelay","अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय (००४०,४००५) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS ।यदि निर्दिष्ट नहीं किया गया है, तो कोई विलम्ब लागू नहीं होगा ।"
"dcmUPSCompletionDateTimeDelay","अपेक्षित समाप्ति तारीख समय विलम्ब","प्राप्त समय से निर्माण किए गए यू.पी.एस. (UPS) में अपेक्षित समाप्ति तारीख समय (००४०,४०११) का विलम्ब, इस प्रारूप में PnDTnHnMn.nS ।यदि निर्दिष्ट नहीं किया गया है, तो कोई अपेक्षित समाप्ति तारीख समय लागू नहीं होगा ।"
"dcmDestinationAE","गंतव्य ए.इ. (AE)","निर्माण किए गए यू.पी.एस. (UPS) में गंतव्य ए.इ. (AE) (२१००,०१४०) का नाम ।"
"dcmEntity","संचय की गुंजाइश","संचय की गुंजाइश ।"
"dcmUPSScheduledWorkitemCode","अनुसूचित वर्क आइटम कोड","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित वर्क आइटम कोड क्रम (००४०,४०१८) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSScheduledStationNameCode","अनुसूचित स्टेशन नाम कोड","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित स्टेशन नाम कोड क्रम (००४०,४०२५) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSScheduledStationClassCode","अनुसूचित स्टेशन वर्ग कोड","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित स्टेशन वर्ग कोड क्रम (००४०,४०२६) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSScheduledStationLocationCode","अनुसूचित स्टेशन भौगोलिक स्थान कोड","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित स्टेशन भौगोलिक स्थान कोड क्रम (००४०,४०२७) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSScheduledHumanPerformerCode","अनुसूचित मनुष्य कर्ता कोड","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित मनुष्य कर्ता कोड क्रम (००४०,४०३४) में मनुष्य कर्ता कोड क्रम (००४०,४००९) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSScheduledHumanPerformerName","अनुसूचित मनुष्य कर्ता का नाम","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित मनुष्य कर्ता कोड क्रम (००४०,४०३४) के आइटम में मनुष्य कर्ता का नाम (००४०,४०३७) ।"
"dcmUPSScheduledHumanPerformerOrganization","अनुसूचित मनुष्य कर्ता संस्था","निर्माण किए गए यू.पी.एस. (UPS) में अनुसूचित मनुष्य कर्ता कोड क्रम (००४०,४०३४) के आइटम में मनुष्य संस्था का नाम (००४०,४०३६) ।"
"dcmUPSIncludeStudyInstanceUID","स्टडी दृष्टांत यू.आई.डी. (UID) को समावेश करें","निर्माण किए गए यू.पी.एस. (UPS) में प्राप्त हुए दृष्टांत के स्टडी दृष्टांत यू.आई.डी. (UID) (००२०,०००डी) को समावेश करने का संकेत करता है ।"
