"property","title","description"
"","Audit Logger","Informazioni relative a Audit Logger"
"cn","Nome","Nome arbitrario/significativo per l'oggetto Audit Logger"
"dicomNetworkConnectionReference","Riferimento per la connessione di rete","I puntatori JSON agli oggetti di connessione di rete di questo repository di registrazioni di controllo"
"dcmAuditRecordRepositoryDeviceName","Audit Record Repository Device Name","Nome dispositivo del repository delle registrazioni di controllo a cui vengono inviati i messaggi di controllo"
"dcmAuditSourceID","ID Sorgente","ID controllo  Sorgente RFC 3881; nome del dispositivo se assente"
"dcmAuditEnterpriseSiteID","Enterprise Site ID","RFC 3881 Audit Enterprise Site ID; il valore ""dicomInstitutionName"" viene sostituito dal nome dell'istituto del dispositivo DICOM"
"dcmAuditSourceTypeCode","Codice del tipo di origine","RFC 3881 codice del tipo di origine di controllo; il valore ""dicomPrimaryDeviceType"" viene sostituito dal tipo principale del dispositivo DICOM"
"dcmAuditFacility","Syslog Facility","RFC 5424 Syslog Facility string value of audit message."
"dcmAuditSuccessSeverity","Syslog Severity - Success","RFC 5424 Syslog Severity string value di un messaggio di audit con un indicatore di evento di Outcome Indicator 0 (Successo)."
"dcmAuditMinorFailureSeverity","Gravità Syslog - Fallimento","RFC 5424 Syslog Severity string value di un messaggio di audit con un indicatore di evento di Outcome Indicator 4 (Fallimento minore)."
"dcmAuditSeriousFailureSeverity","Gravità Syslog - Fallimento","RFC 5424 Syslog Severity string value di un messaggio di audit con un indicatore di evento di Outcome Indicator 8 (Fallimento Serio)."
"dcmAuditMajorFailureSeverity","Gravità Syslog - Maggiore","RFC 5424 Syslog Severity string value di un messaggio di audit con un indicatore di evento di Outcome Indicator 12 (Fallimento Maggiore)."
"dcmAuditApplicationName","Nome applicazione Syslog","RFC 5424 Syslog APP-NAME del messaggio di controllo; Audit Source ID se assente"
"dcmAuditMessageID","Syslog Message ID","RFC 5424 Syslog MSGID del messaggio di controllo."
"dcmAuditMessageEncoding","Codifica dei messaggi","Codifica dei caratteri della parte RFC 5424 Syslog MSG del messaggio di controllo."
"dcmAuditMessageBOM","BOM Del messaggio","Abilita/disabilita il prefisso Unicode BOM della parte RFC 5424 Syslog MSG del messaggio di controllo; includere BOM se assente"
"dcmAuditTimestampInUTC","Timestamp in UTC","Specificare se RFC 5424 Syslog TIMESTAMP e la data/ora dell'evento del messaggio di controllo sono specificati in Coordinated Universal Time. L'impostazione predefinita indica che sarà nel fuso orario locale."
"dcmAuditMessageFormatXML","Formato messaggio XML","Specificare se il messaggio di controllo XML è formattato con avanzamenti riga e rientro."
"dcmAuditMessageSchemaURI","URI dello schema dei messaggi","URI dello schema dei messaggi di controllo DICOM a cui si fa riferimento nel messaggio di controllo"
"dcmAuditIncludeInstanceUID","Includi gli UID dell'istanza","Indica se il messaggio del registro di controllo deve contenere UID istanza facoltativi"
"dcmAuditLoggerSpoolDirectoryURI","URI della directory di spool","URI della directory di spool utilizzata per memorizzare i messaggi che non è stato possibile consegnare al repository di record; usa la directory temporanea di sistema se assente."
"dcmAuditLoggerRetryInterval","Intervallo di ripetizione","Intervallo di ripetizione in s per inviare nuovamente i messaggi che non è stato possibile recapitare al repository dei record; non riprovare a inviare nuovamente i messaggi se assenti"
"dicomInstalled","installato","Vero se Audit Logger è installato sulla rete. Se non presente, le informazioni sullo stato di installazione dell'ARR vengono ereditate dal dispositivo"
"dcmAuditSuppressCriteria","Criteri di soppressione dell'audit","Criteri di soppressione dell'audit"
