"property","title","description"
"","Criteri di soppressione dell'audit","Criteri di soppressione dell'audit"
"cn","Nome","Nome arbitrario/significativo dei criteri di soppressione dell'audit"
"dcmAuditEventID","ID evento di audit","Codice ID evento di controllo RFC 3881 e codeSystemName in formato (CV, CSD, ""CM"")"
"dcmAuditEventTypeCode","Codice del tipo di evento di controllo","Codice del tipo di evento di controllo RFC 3881 in formato (CV, CSD, ""CM"")"
"dcmAuditEventActionCode","Codice di Azione dell'evento","Codice tipo di azione evento di controllo RFC 3881."
"dcmAuditEventOutcomeIndicator","Indicatore del risultato dell'evento","Codice tipo di azione evento di controllo RFC 3881."
"dcmAuditUserID","ID Utente","ID utente di controllo del partecipante attivo RFC 3881 "
"dcmAuditAlternativeUserID","ID utente alternativo","RFC 3881  ID utente alternativo partecipante attivo di controllo"
"dcmAuditUserRoleIDCode","Codice ID ruolo utente","RFC 3881 ID utente di controllo del partecipante attivo RFC 3881 in formato (CV, CSD, ""CM"")"
"dcmAuditNetworkAccessPointID","ID punto di accesso alla rete","RFC 3881 Audit Active Participant Network Access Point ID"
"dcmAuditUserIsRequestor","L'utente è richiedente","Indica se il partecipante attivo è l'iniziatore/richiedente dell'evento di controllo come specificato da RFC 3881"
