"property","title","description"
"","Estensione del dispositivo","Attributi del dispositivo proprietari di dcm4che"
"dcmRoleSelectionNegotiationLenient","Negoziazione di selezione del ruolo clemente","Indica di disabilitare il controllo per la negoziazione della selezione del ruolo SCP/SCU richiesta sull'invio di DIMSE-RQ. Può essere sovrascritto dal valore configurato per particolari AE di rete."
"dcmLimitOpenAssociations","Limite di associazione","Numero massimo di connessioni DICOM aperte; rifiuta le richieste di associazione se il limite viene superato; 0 = illimitato."
"dcmLimitAssociationsInitiatedBy","Limite di associazione per AE","Numero massimo di connessioni DICOM aperte avviate da una particolare entità dell'applicazione (AE) nel formato <ae-title>=<number>; rifiuta le richieste di associazione da quell'AE se il limite viene superato."
"dcmTrustStoreURL","URL del Trust Store","URL di Trust Store con certificati per i nodi DICOM autorizzati a connettersi a questo nodo; sostituisce dicomAuthorizedNodeCertificateReference"
"dcmTrustStoreType","Tipo di archivio attendibile","Tipo Key Store di Trust Store specificato da dcmTrustStoreURL."
"dcmTrustStorePin","Pin del Trust Store","Key Store Password del Trust Store specificata dall'URL di Trust Store"
"dcmTrustStorePinProperty","Proprietà del Pin del Trust Store","Proprietà di sistema di Key Store Password di Trust Store specificata dall'URL di Trust Store"
"dcmKeyStoreURL","URL archivio chiavi","URL dell'archivio chiavi con chiave privata e certificato utilizzato per identificare questo nodo DICOM nelle connessioni TLS"
"dcmKeyStoreType","Tipo di archivio chiavi","Tipo di Archivio chiavi dell'archivio chiavi specificato dall'URL dell'archivio chiavi."
"dcmKeyStorePin","Pin del Archivio chiavi","Key Store Password dell'archivio chiavi specificata dall'URL dell'archivio chiavi"
"dcmKeyStorePinProperty","Proprietà del pin dell'archivio delle chiavi","Proprietà di sistema della password dell'archivio chiavi specificata dall'URL dell'archivio chiavi"
"dcmKeyStoreKeyPin","Pin del Archivio chiavi","Password chiave dell'archivio chiavi specificata dall'URL dell'archivio chiavi"
"dcmKeyStoreKeyPinProperty","Proprietà del pin dell'archivio delle chiavi","Proprietà di sistema della password dell'archivio chiavi specificata dall'URL dell'archivio chiavi"
"dcmTimeZoneOfDevice","Fuso orario del dispositivo","ID del fuso orario del dispositivo; corrisponde a Java TimeZone ID"
"dcmWebApp","Applicazioni web","Applicazioni Web fornite dal dispositivo"
"dcmKeycloakClient","Clienti Keycloak","Clienti Keycloak forniti dal dispositivo"
"hl7Application","Applicazioni HL7","Applicazioni HL7 fornite dal dispositivo"
"dcmImageWriter","Scrittori di immagini","Specifica gli scrittori java di immagini IO con parametri di scrittura utilizzati per la compressione delle immagini DICOM"
"dcmImageReader","Lettori di immagini","Specifica i lettori java di immagini utilizzati per decomprimere immagini DICOM compresse"
"dcmAuditLogger","Audit Logger","Informazioni relative a Audit Logger"
"dcmAuditRecordRepository","Archivio delle registrazioni di controllo","Informazioni relative all'archivio delle registrazioni di controllo"
"dcmArchiveDevice","Dispositivo di archiviazione","Informazioni relative al dispositivo di archiviazione DICOM"
"dcmuiConfig","Configurazione dell'interfaccia utente","Configurazione dell'interfaccia utente"
