"property","title","description"
"","Estensione della connessione di rete","Attributi di connessione di rete proprietari di dcm4che"
"dcmProtocol","Protocol","Protocollo di connessione di rete."
"dcmHTTPProxy","Proxy HTTP","Proxy HTTP: [user:password@]host:port"
"dcmTLSNeedClientAuth","TLS richiede autenticazione client","Indica se è richiesta l'autenticazione del client TLS."
"dcmTLSProtocol","Protocollo TLS","I protocolli TLS supportati."
"dcmTCPBacklog","TCP Backlog","Lunghezza massima della coda per le connessioni TCP in entrata."
"dcmTCPConnectTimeout","Timeout connessione TCP","Timeout connessione TCP in ms; nessun timeout se assente."
"dcmTCPCloseDelay","Ritardo chiusura TCP","Ritardo di chiusura del socket TCP in ms dopo l'invio di A-ASSOCIATE-RJ, A-RELEASE-RP o A-ABORT PDU."
"dcmTCPSendBufferSize","Dimensione buffer di invio TCP","Dimensione del buffer di invio TCP; usa i valori predefiniti del sistema se assenti"
"dcmTCPReceiveBufferSize","Dimensione buffer di ricezione TCP","Dimensione del buffer di ricezione TCP; usa i valori predefiniti del sistema se assenti"
"dcmTCPNoDelay","Nessun ritardo TCP","Abilita/disabilita TCP_NODELAY (disabilita/abilita l'algoritmo Nagle)."
"dcmBindAddress","Associa indirizzo","Indirizzo Bind del socket in ascolto; usa il nome host della connessione se assente"
"dcmClientBindAddress","Indirizzo di binding del client","Indirizzo di Bind delle connessioni in uscita; usa il nome host della connessione se assente"
"dcmBlacklistedHostname","Nome host nella lista nera","nomi host DNS inseriti nella lista nera"
"dcmSendPDULength","Lunghezza Invio PDU","Lunghezza massima delle PDU emesse."
"dcmReceivePDULength","Lunghezza Ricezione PDU","Lunghezza massima delle PDU ricevute."
"dcmMaxOpsPerformed","Operazioni massime eseguite","Numero massimo di operazioni da eseguire in modo asincrono; 0 = infinito."
"dcmMaxOpsInvoked","Operazioni massime invocate","Numero massimo di operazioni da richiamare in modo asincrono; 0 = infinito."
"dcmPackPDV","Pack PDV","Abilita/disabilita il Packing di comandi e dati PDV in una PDU P-DATA-TF."
"dcmAARQTimeout","AA-RQ Timeout","Timeout in ms per la ricezione della PDU A-ASSOCIATE-RQ dopo la connessione TCP; nessun timeout se assente"
"dcmAAACTimeout","AA-AC Timeout","Timeout in ms per la ricezione della PDU A-ASSOCIATE-AC dopo l'invio della PDU A-ASSOCIATE-RQ; nessun timeout se assente"
"dcmARRPTimeout","AR-RP Timeout","Timeout in ms per la ricezione della PDU A-RELEASE-RP dopo l'invio della PDU A-RELEASE-RQ; nessun timeout se assente"
"dcmSendTimeout","Timeout di Invio","Timeout in ms per l'invio di RQ DIMSE diversi da RQ di C-STORE; nessun timeout se assente"
"dcmStoreTimeout","Timeout di memorizzazione","Timeout in ms per l'invio di C-STORE RQ; nessun timeout se assente"
"dcmResponseTimeout","Timeout di risposta","Timeout in ms per la ricezione di altri RSP DIMSE in sospeso rispetto agli RSP C-MOVE o C-GET; nessun timeout se assente"
"dcmRetrieveTimeout","Timeout di recupero","Timeout in ms per la ricezione di RSP C-GET o C-MOVE in sospeso; nessun timeout se assente"
"dcmRetrieveTimeoutTotal","Timeout di recupero Totale","Indica se il timer con il timeout specificato per gli RSP C-GET e C-MOVE in sospeso deve essere riavviato alla ricezione di RSP in sospeso (= false) o no (= true)."
"dcmIdleTimeout","Timeout per inattività","Indica l'interruzione delle associazioni inattive dopo il timeout specificato in ms; nessun timeout se assente"
