"property","title","description"
"","Regola di esportazione","Regola di esportazione"
"cn","Nome","Nome arbitrario/significativo della regola di esportazione"
"dcmEntity","Entità di esportazione","Entità di esportazione"
"dcmExporterID","ID esportatore","ID esportatore"
"dicomDeviceName","Nome dispositivo esportatore","Specifica il dispositivo su cui devono essere pianificate le attività di esportazione. Se non specificato, le attività di esportazione sono pianificate sul dispositivo che ha ricevuto gli oggetti. Attenzione: il dispositivo specificato deve (anche) avere esportatori con gli ID specificati configurati!"
"dcmExportPreviousEntity","Esporta entità precedente","Specifica se deve essere esportata anche l'entità precedente di un'istanza sostituita."
"dcmProperty","Condizioni degli attributi","Condizioni attributo nel formato (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx}. More than one value can be specified for a given attribute by separating them with a | symbol. Examples: SendingApplicationEntityTitle=FORWARD or Modality=MR|CT or ProcedureCodeSequence.CodeValue=MRProcedure or 00180015=KNEE or 00321034.00080100=RequestingServiceCode or ImageType[3]=LOCALIZER."
"dcmSchedule","Condizioni dei tempi","Applica questa regola solo entro intervalli di tempo specificati."
"dcmDuration","Ritardo di esportazione","Ritarda l'esportazione di entità per accumulare più eventi di attivazione in un'unica attività di esportazione."
"dcmExportReoccurredInstances","Esporta istanze ricorrenti","Indica se l'entità deve essere esportata al successivo verificarsi delle istanze"
