"property","title","description"
"","Descrittore dell'esportatore","Descrittore dell'esportatore"
"dcmExporterID","ID esportatore","ID esportatore"
"dcmURI","URI","RFC2079: Uniform Resource Identifier"
"dcmQueueName","Nome coda","Nome coda JMS"
"dcmExportPriority","Priorità di esportazione","Livello di priorità JMS per l'elaborazione dell'attività di esportazione da 0 (il più basso) a 9 (il più alto)."
"dicomDescription","Descrizione dell'esportatore","Descrizione testuale libera dell'esportatore"
"dicomAETitle","Titolo dell'entità dell'applicazione di archiviazione (AE)","Titolo dell'entità dell'applicazione di archiviazione (AE)"
"dcmExportAsSourceAE","Esporta come entità applicazione di origine (AE)","Mascherare il titolo dell'entità dell'applicazione di archiviazione (AE) con il titolo dell'entità dell'applicazione (AE) da cui è stata ricevuta una serie al momento della costituzione dell'Associazione all'entità dell'applicazione di destinazione (AE)."
"dcmDeleteStudyFromStorageID","Elimina studio dall'ID di archiviazione","ID del sistema di archiviazione da cui verranno eliminati gli oggetti dello studio esportato. Efficace solo per attività di esportazione a livello di studio."
"dcmRejectForDataRetentionExpiry","Rifiuta entità per scadenza conservazione dati","Rifiuta entità per la scadenza della conservazione dei dati dopo l'esportazione al completamento dell'attività di esportazione."
"dcmStgCmtSCP","AE Title di Storage Commitment SCP","AE Titolo dell'impegno di archiviazione esterno SCP utilizzato per verificare l'esportazione in un altro archivio."
"dcmIanDestination","Destinazione IAN","Destinazione per inviare IAN N-CREATE RQ."
"dcmRetrieveAET","AE Title di recupero","Titolo AE associato al AE di rete"
"dcmRetrieveLocationUID","UID della posizione di recupero","UID della posizione di recupero."
"dcmInstanceAvailability","Disponibilità dell'istanza","Disponibilità dell'istanza."
"dcmSchedule","Programma di esportazione","Ritarda l'esportazione a periodi di tempo specificati. Se non viene specificata alcuna pianificazione di esportazione, mettere immediatamente in coda l'attività di esportazione per l'elaborazione. Formato: 'hour=[0-23] dayOfWeek=[0-6]' (0=Domenica)"
"dcmProperty","Proprietà","Proprietà nel formato <name>=<value> "
