"property","title","description"
"","Regola di esportazione HL7","Regola di esportazione HL7"
"cn","Nome","Nome arbitrario/significativo della regola di esportazione HL7"
"dcmExporterID","ID esportatore","ID esportatore"
"dcmProperty","Condizioni","Condizioni nel formato {SEG}-{Seq #}[.{Comp#}[.{SubComp#}]][!]={regEx}. Esempio: MSH-4=FORWARD o MSH-9=ORM\^O01 o PID-3[.3]=PIDIssuer o PID-3[.3[.2]]=PIDIssuerUniversalEntityIDType"
"dcmEntitySelector","Selettore entità","Specifica le chiavi di corrispondenza utilizzate per selezionare gli studi precedenti da esportare. Formato: {key}={value}[&{key}={value)]..., with {key} = 'StudyAge' | {attributeID}. {value} in the format '$'{SEG}-{Seq#}[.{Comp#}[.{SubComp#}]] vengono sostituiti dal valore del campo HL7 specificato dal messaggio HL7 ricevuto che ha attivato il prefetch. Se non viene specificato alcun selettore di entità, tutti gli studi per il paziente verranno esportati. Esempio: 'priors=2&StudyAge=-5Y&ModalitiesInStudy=CT' => seleziona al massimo 2 studi precedenti non più vecchi di 5 anni contenenti almeno una serie CT."
"dcmNullifyIssuerOfPatientID","Ignora l'assegnazione dell'autorità dell'ID paziente","Ignorare in modo condizionale l'autorità di assegnazione dell'ID paziente (PID-3.4) nel messaggio HL7 ricevuto che ha attivato il l'esportazione per la selezione degli studi del paziente."
"dcmIssuerOfPatientID","Assegnazione dell'autorità dell'ID paziente","Sono confrontati l'assegnazione dell'autorità dell'ID paziente con i valori nel messaggio HL7 ricevuto, se l'assegnazione dell'autorità dell'ID paziente è impostata su MATCHING o NOT_MATCHING. Formato: <Issuer of Patient ID> [& <Universal Entity ID> & <Universal Entity ID Type>]."
"dcmPrefetchForIssuerOfPatientID","Export for Assigning Authority of Patient ID","Assigning Authority of Patient ID in received HL7 message used to search qualified patient identifier in list of identifiers in PID-3. Studies matching the specified Entity Selector of this qualified patient identifier shall be queried. If absent, by default the first qualified patient identifier in PID-3 shall be used. Format: <Issuer of Patient ID> [& <Universal Entity ID> & <Universal Entity ID Type>]."
"dcmDuration","Sopprimi intervallo di esportazione duplicato","Sopprimere l'esportazione di studi già esportati non prima dell'intervallo specificato per evitare esportazioni duplicate."
"dcmHistorySize","Suppress Duplicate History Size","Maximum number of HL7 messages with distinct PID-3 triggering this rule to remember on the history list."
