"property","title","description"
"","Regole di Prefetch HL7","Regole di Prefetch HL7"
"cn","Nome","Nome arbitrario/significativo della regola di prefetch"
"dcmQueueName","Nome coda","Nome della coda JMS utilizzata per la pianificazione delle attività di recupero attivate da questa regola di prefetch"
"dcmPrefetchPriority","Prefetch Priority","JMS Priority Level for processing the retrieve tasks from 0 (lowest) to 9 (highest)."
"dicomAETitle","Titolo AE dell'archivio","Titolo AE dell'entità dell'applicazione di archiviazione utilizzato per recuperare studi selezionati da Prefetch C-Move SCP."
"dcmPrefetchCFindSCP","Prefetch C-Find SCP","Titolo AE di C-FIND SCP che viene richiesto per gli studi che corrispondono al selettore di entità specificato."
"dcmPrefetchCMoveSCP","Prefetch C-Move SCP","Titolo AE  di C-MOVE SCP da cui vengono recuperati gli studi selezionati."
"dcmPrefetchCStoreSCP","Prefetch C-Store SCP","Titolo AE di C-MOVE SCP da cui vengono recuperati gli studi selezionati."
"dicomDeviceName","Prefetch Device Name","Specifies Device on which the Retrieve Task(s) shall be scheduled. If not specified, the Retrieve Task(s) is/are scheduled on the Device which received the HL7 messages."
"dcmProperty","Condizioni","Condizioni nel formato {SEG}-{Seq #}[.{Comp#}[.{SubComp#}]][!]={regEx}. Esempio: MSH-4=FORWARD o MSH-9=ORM\^O01 o PID-3[.3]=PIDIssuer o PID-3[.3[.2]]=PIDIssuerUniversalEntityIDType"
"dcmEntitySelector","Selettore entità","Specifica le chiavi di corrispondenza utilizzate per selezionare gli studi da precaricare. Formato: {key}={value}[&{key}={value)]..., with {key} = 'priors' | 'StudyAge' | {attributeID}. {value} nel formato '$'{SEG}-{Seq#}[.{Comp#}[.{SubComp#}]] vengono sostituiti dal valore del campo HL7 specificato dal messaggio HL7 ricevuto che ha attivato il prefetch. Se non viene specificato alcun selettore di entità, tutti gli studi per il paziente verranno precaricati. Esempio: 'priors = 2 & StudyAge = -5Y & ModalityInStudy = $OBR-24' => seleziona al massimo 2 studi precedenti non più vecchi di 5 anni contenenti almeno una serie con modalità da OBR-24.>"
"dcmNullifyIssuerOfPatientID","Ignora l'assegnazione dell'autorità dell'ID paziente","Ignorare in modo condizionale l'autorità di assegnazione dell'ID paziente (PID-3.4) nel messaggio HL7 ricevuto che ha attivato il prefetch per la selezione degli studi del paziente."
"dcmIssuerOfPatientID","Assegnazione dell'autorità dell'ID paziente","Sono confrontati l'assegnazione dell'autorità dell'ID paziente con i valori nel messaggio HL7 ricevuto, se l'assegnazione dell'autorità dell'ID paziente è impostata su MATCHING o NOT_MATCHING. Formato: <Issuer of Patient ID> [& <Universal Entity ID> & <Universal Entity ID Type>]."
"dcmPrefetchForIssuerOfPatientID","Prefetch for Assigning Authority of Patient ID","Assigning Authority of Patient ID in received HL7 message used to search qualified patient identifier in list of identifiers in PID-3. Studies matching the specified Entity Selector of this qualified patient identifier shall be queried. If absent, by default the first qualified patient identifier in PID-3 shall be used. Format: <Issuer of Patient ID> [& <Universal Entity ID> & <Universal Entity ID Type>]."
"dcmDuration","Sopprimi intervallo di recupero duplicato","Sopprimere il recupero degli studi già recuperati non prima dell'intervallo specificato per evitare recuperi duplicati."
"dcmPrefetchDateTimeField","Prefetch Date Time Field","Delay retrieve of selected Studies to time from referred HL7 TS field in format {SEG}-{Seq#}[.{Comp#}]. Example: TQ1-7 or SCH-11.4. Schedule retrieve of selected Studies immediate if absent."
"dcmPrefetchInAdvance","Prefetch In Advance","Schedule retrieve of selected Studies given time span in ISO-8601 duration format PnDTnHnMn.nS in advance to the time from configured dcmPrefetchDateTimeField. Not effective, if dcmPrefetchDateTimeField is absent."
"dcmSchedule","Pianificazione di Prefetch","Ritarda il precaricamento a periodi di tempo specificati. Se non viene specificato alcun programma di precaricamento, mettere immediatamente in coda un'attività di prefetch per gli studi selezionati del paziente. Formato: 'hour=[0-23] dayOfWeek=[0-6]' (0=Domenica)"
