"property","title","description"
"","Criteri di Conservazione Studio HL7","Criteri di Conservazione Studio HL7"
"cn","Nome","Nome arbitrario/significativo della politica di conservazione dello studio HL7"
"dicomAETitle","Titolo dell'entità dell'applicazione (AE)","Titolo dell'entità dell'applicazione (AE)"
"dcmRetentionPeriod","Periodo di conservazione minimo dello studio","Periodo minimo di conservazione dello studio in formato periodo ISO-8601 PnYnMnD o PnW"
"dcmMaxRetentionPeriod","Periodo massimo di conservazione dello studio","Periodo massimo di conservazione dello studio in formato periodo ISO-8601 PnYnMnD o PnW"
"dcmRulePriority","Priorità delle regole","Priorità della regola."
"dcmProperty","Condizioni","Condizioni nel formato {SEG}-{Seq #}[.{Comp#}[.{SubComp#}]][!]={regEx}. Esempi: MSH-4=FORWARD o MSH-9=ADT\^A28\^ADT_A05 o PID-3[.3]=PIDIssuer o PID-3[.3[.2]]=PIDIssuerUniversalEntityIDType"
"dcmStartRetentionPeriodOnStudyDate","Inizia il Periodo di conservazione sulla data dello Studio","Indica se il periodo di conservazione deve essere avviato nelle singole Date di studio anziché alla ricezione del messaggio HL7 che attiva questa regola."
"dcmExporterID","Esporta studio scaduto","Esporta studi/serie scaduti utilizzando l'esportatore specificato"
"dcmFreezeExpirationDate","Congela la data di scadenza","Indica di disabilitare le modifiche della Data di Scadenza dagli eventi seguenti."
"dcmRevokeExpiration","Revoca data di scadenza","Indica i revocare una data di scadenza impostata in precedenza."
