"property","title","description"
"","Client Keycloak","Client Keycloak"
"dcmKeycloakClientID","ID client Keycloak","ID client utilizzato nelle richieste di token."
"dcmURI","Url del server","L'URL di base del server Keycloak."
"dcmKeycloakRealm","Keycloak Realm","Nome del realm nelle richieste di token."
"dcmKeycloakGrantType","Tipo di concessione di Keycloak","Tipo di concessione Keycloak utilizzato nelle richieste di token."
"dcmKeycloakClientSecret","Segreto del client Keycloak ","Segreto del client Keycloak. Obbligatorio se tipo di concessione = client_credentials."
"dcmTLSAllowAnyHostname","TLS Consente qualsiasi nome host","Se l'altro server richiede HTTPS e questa opzione di configurazione è impostata su true, il certificato dell'altro server viene convalidato tramite il truststore, ma la convalida del nome host non viene eseguita."
"dcmTLSDisableTrustManager","TLS Disabilita Trust Manager","Se l'altro server richiede HTTPS e questa opzione di configurazione è impostata su true, non è necessario specificare un truststore"
"uid","ID Utente","ID Utente. Obbligatorio se tipo di concessione = password."
"userPassword","Password utente","Password utente. Obbligatorio se tipo di concessione = password."
