"property","title","description"
"","Server Keycloak ","Server Keycloak "
"dcmKeycloakServerID","Keycloak Server ID","Identificatore per questo server Keycloak."
"dcmURI","Url del server","L'URL di base del server Keycloak."
"dcmKeycloakRealm","Keycloak Realm","Nome del realm nelle richieste di token."
"dcmKeycloakClientID","OAuth 2.0 Client ID","ID client utilizzato nelle richieste di token."
"dcmKeycloakGrantType","Tipo di concessione OAuth 2.0","Tipo di concessione OAuth 2.0 utilizzato nelle richieste di token."
"dcmKeycloakClientSecret","Segreto client OAuth","Segreto client OAuth. Obbligatorio se tipo di concessione = client_credentials."
"dcmTLSAllowAnyHostname","TLS Consente qualsiasi nome host","Se l'altro server richiede HTTPS e questa opzione di configurazione è impostata su true, il certificato dell'altro server viene convalidato tramite il truststore, ma la convalida del nome host non viene eseguita."
"dcmTLSDisableTrustManager","TLS Disabilita Trust Manager","Se l'altro server richiede HTTPS e questa opzione di configurazione è impostata su true, non è necessario specificare un truststore"
"uid","ID Utente","ID Utente. Obbligatorio se tipo di concessione = password."
"userPassword","Password utente","Password utente. Obbligatorio se tipo di concessione = password."
