"property","title","description"
"","AE di Rete","Entità dell'applicazione che fornisce servizi su una rete"
"dicomAETitle","Titolo AE","Titolo AE univoco per questo Network AE"
"dicomNetworkConnectionReference","Riferimento per la connessione di rete","Puntatori JSON agli oggetti di connessione di rete per questo AE"
"dicomAssociationInitiator","Iniziatore di associazione","Vero se l'AE di rete può avviare associazioni."
"dicomAssociationAcceptor","Accettatore di associazione","True if the Network AE can accept associations."
"dicomDescription","Descrizione AE","Descrizione di testo libera dell'entità dell'applicazione"
"dicomApplicationCluster","Cluster di applicazioni","Nomi definiti localmente per un sottoinsieme di applicazioni correlate"
"dicomPreferredCalledAETitle","Titolo AE Chiamato preferito","Titoli AE preferiti per l'avvio di associazioni"
"dicomPreferredCallingAETitle","Titolo AE di chiamata preferito","Titoli AE preferiti per accettare associazioni"
"dicomSupportedCharacterSet","Set di caratteri supportato","Set di caratteri supportati dal Network AE per i set di dati che esso riceve"
"dicomInstalled","installato","Vero se l'AE è installato sulla rete. Se non presente, le informazioni sullo stato di installazione dell'AE vengono ereditate dal dispositivo"
"dicomTransferCapability","Capacità di trasferimento","Funzionalità di trasferimento fornite dall'entità dell'applicazione"
"dcmNetworkAE","Estensione AE di rete","Attributi proprietari di Network AE di dcm4che"
