"property","title","description"
"","Politica di conservazione dello studio","Politica di conservazione dello studio"
"cn","Nome","Nome arbitrario/significativo della Politica di conservazione dello studio"
"dcmRetentionPeriod","Periodo di conservazione dello studio","Periodo di conservazione dello studio in formato periodo ISO-8601 PnYnMnD o PnW"
"dcmRulePriority","Priorità delle regole","Priorità della regola."
"dcmProperty","Condizioni","Condizioni nel formato (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx}. More than one value can be specified for a given attribute by separating them with a | symbol. Esempio: SendingApplicationEntityTitle=FORWARD o Modality=MR|CT o ProcedureCodeSequence.CodeValue=MRProcedure o 00180015=KNEE o 00321034.00080100=RequestingServiceCode o ImageType[3]=LOCALIZER"
"dcmExpireSeriesIndividually","Fa scadere le serie individualmente","Indica se le serie debbano scadere individualmente o no."
"dcmStartRetentionPeriodOnStudyDate","Inizia il Periodo di conservazione sulla data dello Studio","Indica se il periodo di conservazione deve essere avviato alla Data dello studio anziché al ricevimento di un oggetto dello studio"
"dcmExporterID","Esporta studio scaduto","Esporta studi/serie scaduti utilizzando l'esportatore specificato"
"dcmFreezeExpirationDate","Congela la data di scadenza","Indica di disabilitare le modifiche della Data di Scadenza dagli eventi seguenti."
"dcmRevokeExpiration","Revoca data di scadenza","Indica i revocare una data di scadenza impostata in precedenza."
