"property","title","description"
"","Configurazione dell'interfaccia utente","Configurazione dell'interfaccia utente"
"dcmuiConfigName","Nome configurazione interfaccia utente","Nome configurazione interfaccia utente"
"dcmuiModalities","Statistic Modalities","Modalità preselezionate che dovrebbero essere visualizzate nella pagina Statistiche"
"dcmuiLanguageConfig","Configurazione lingua","Configura le lingue dell'interfaccia utente"
"dcmuiWidgetAets","Widget AETs","Seleziona gli AET che non vuoi vedere nel widget AET, dove puoi selezionare in quale di essi l'AET appena aggiunto dovrebbe essere come `Titolo AE di chiamata accettato`"
"dcmuiBackgroundURL","URL in background","URL di sfondo per modificare lo sfondo dell'interfaccia utente, può essere un URL relativo o assoluto, l'immagine deve avere una larghezza di almeno 1024px "
"dcmuiLogoURL","URL logo","URL del logo per cambiare il logo dell'interfaccia utente, può essere un URL relativo o assoluto, l'immagine dovrebbe avere la larghezza di 140px e dovrebbe essere in formato png con sfondo trasparente"
"dcmuiDefaultWidgetAets","Default Widget AETs","Seleziona gli AET che dovrebbero essere preselezionati su Widget AETs"
"dcmuiAetConfig","Elenco a discesa AET","Definisci quali AET devono essere visibili negli elenchi a discesa dell'interfaccia utente"
"dcmuiWebAppConfig","Elenco a discesa delle app Web","Definisci quali WebApp devono essere visibili nella parte superiore dell'elenco a discesa nell'interfaccia utente"
"dcmuiPermission","Permission","Permission"
"dcmuiFilterTemplateObject","Modello di Filtro UI","Modello di filtro Definito"
"dcmuiDiffConfig","Configurazione confronto studio","Configurazione confronto studio"
"dcmuiDashboardConfig","Configurazione dashboard dell'interfaccia utente","Configurazione dashboard dell'interfaccia utente"
"dcmuiStudyTableConfig","Configurazione della tabella di studio dell'interfaccia utente","Configurazione della tabella"
"dcmuiElasticsearchConfig","Configurazione Elasticsearch dell'interfaccia utente","Configurazione di Elasticsearch per la versione pro"
"dcmuiDeviceURLObject","URL della interfaccia utente del dispositivo","Altri URL del dispositivo dell'interfaccia utente"
"dcmuiDeviceClusterObject","Configurazione cluster UI","Dispositivi di gruppo in cluster"
