"property","title","description"
"","Configurazione dashboard dell'interfaccia utente","Configurazione dashboard dell'interfaccia utente"
"dcmuiDashboardConfigName","Nome configurazione dashboard UI","Nome configurazione dashboard UI"
"dcmuiShowStarBlock","Mostra Star Block","Mostra Star Block - attività senza deviceName definito"
"dcmuiQueueName","Code","Nomi delle code per la configurazione del dashboard dell'interfaccia utente utilizzati nel blocco della coda"
"dcmuiExportName","IDs Esportatori","ID esportatori per la configurazione del dashboard dell'interfaccia utente utilizzati nel blocco della coda e del confronto"
"dicomuiDeviceName","Nomi dei dispositivi","Nomi dei dispositivi per la configurazione del dashboard dell'interfaccia utente utilizzati per generare il blocco Recupera ed esporta"
"dicomuiIgnoreParams","Parametri da ignorare negli eventi di controllo","Imposta i parametri Elasticsearch da ignorare negli eventi di controllo. Ad esempio Source.UserID = TESTVALUE"
"dcmuiCountAET","Conteggio Aet","L'Aet selezionato verrà utilizzato per ottenere il conteggio degli studi nella dashboard"
"dcmuiCompareSideObjects","Confronta i lati","Confronta i lati"
"dicomuiDockerContainer","Archivio Docker Containers","Nomi dei contenitori dei container docker di archivio utilizzati nella pagina hardware"
