"property","title","description"
"","UPS su UPS completato","Crea elemento di lavoro in una lista di lavoro unificata su UPS precedente completato"
"dcmUPSOnUPSCompletedID","UPS su ID regola UPS completato","ID dell'UPS sulla regola UPS completato"
"dcmUPSPerformedWorkitemCode","Codice elemento di lavoro precedente eseguito","Codice elemento di lavoro eseguito dell'UPS completato che attiva questa regola in formato (CV, CSD, ""CM"")."
"dcmUPSLabel","Etichetta del passo della procedura","Valore dell'etichetta del passaggio della procedura (0074,1204) nell'UPS creato. {attributeID} verrà sostituito dal valore di tale attributo nel set di dati UPS precedente."
"dcmUPSWorklistLabel","Etichetta lista di lavoro","Valore dell'etichetta della lista di lavoro (0074,1202) nell'UPS creato. {attributeID} verrà sostituito dal valore di tale attributo nel set di dati UPS precedente."
"dcmUPSPriority","Priorità","Valore della priorità del passo della procedura pianificata (0074,1200) nell'UPS creato. Valori enumerati: HIGH, MEDIUM, LOW. Se assente, verrà applicato MEDIO."
"dcmUPSInputReadinessState","Stato di disponibilità di ingresso","Valore dello stato di disponibilità dell'ingresso (0040,4041) nell'UPS creato"
"dcmUPSStartDateTimeDelay","Ritardo nell'Ora di inizio dello Scheduled Procedure Step","Ritardo del Scheduled Procedure Step Start DateTime (0040,4005) nell'UPS creato dall'ora di ricezione nel formato PnDTnHnMn.nS. Nessun ritardo se assente."
"dcmUPSCompletionDateTimeDelay","Ritardo previsto per data e ora di completamento","Ritardo della data di completamento prevista (0040,4011) nell'UPS creato dall'ora di ricezione nel formato PnDTnHnMn.nS. Se assente, non verrà impostata alcuna data e ora di completamento prevista."
"dcmDestinationAE","AE di Destinazione ","Titolo di un'entità dell'applicazione DICOM in cui verranno archiviate le istanze."
"dcmEntity","Ambito di accumulazione","Ambito di accumulazione"
"dcmUPSScheduledWorkitemCode","Codice dell'elemento di lavoro pianificato","Elemento della sequenza codice elemento lavoro programmato (0040,4018) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledStationNameCode","Codice nome stazione pianificata","Elemento della sequenza codice nome stazione pianificata (0040,4025) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledStationClassCode","Codice classe stazione pianificata","Elemento della sequenza codice classe stazione pianificata (0040,4026) nell'UPS creato in formato (CV, CSD, ""CM"")."
