"property","title","description"
"","Regola di elaborazione UPS","Elabora elementi di lavoro corrispondenti in una lista di lavoro unificata"
"dcmUPSProcessingRuleID","ID regola di elaborazione UPS","ID della regola di elaborazione UPS"
"dicomAETitle","Titolo dell'entità dell'applicazione (AE)","Titolo dell'entità dell'applicazione (AE)"
"dcmURI","URI del processore UPS","Identifica il processore UPS per l'elaborazione degli elementi di lavoro corrispondenti"
"dcmProperty","Processing Property","Proprietà dipendente dal processore UPS nel formato <name>=<value> "
"dcmSchedule","Calendario Lavorazioni","Ritarda l'elaborazione a periodi di tempo specificati. Se non viene specificata alcuna pianificazione di elaborazione, elaborare gli elementi di lavoro alla data di inizio del passaggio della procedura pianificata (0040,4005). Formato: 'hour=[0-23] dayOfWeek=[0-6]' (0=Domenica)"
"dcmMaxThreads","Numero massimo di thread","Numero massimo di thread utilizzati per l'elaborazione degli elementi di lavoro corrispondenti."
"dcmUPSInputReadinessState","Stato di disponibilità di ingresso","Elabora elementi di lavoro con stato di disponibilità input corrispondente (0040,4041)."
"dcmUPSPriority","Priorità","Elaborare elementi di lavoro con priorità del passaggio della procedura pianificata corrispondente (0074,1200). Se assente, elabora gli elementi di lavoro con qualsiasi priorità, ma ordina l'elaborazione in base alla loro priorità."
"dcmUPSLabel","Etichetta del passo della procedura","Elaborare elementi di lavoro con etichetta del passaggio della procedura corrispondente (0074,1204). Se assente, elaborare gli elementi di lavoro con qualsiasi etichetta del passaggio della procedura."
"dcmUPSWorklistLabel","Etichetta lista di lavoro","Elabora elementi di lavoro con l'etichetta della lista di lavoro corrispondente (0074,1202). Se assente, elaborare gli elementi di lavoro con qualsiasi etichetta della lista di lavoro."
"dcmUPSScheduledWorkitemCode","Codice dell'elemento di lavoro pianificato","Elaborare gli elementi di lavoro con il codice corrispondente nella sequenza di codici degli elementi di lavoro pianificati (0040,4018) in formato (CV, CSD, ""CM""). Se assente, elaborare gli elementi di lavoro con qualsiasi codice elemento di lavoro pianificato."
"dcmUPSScheduledStationNameCode","Codice nome stazione pianificata","Elaborare gli elementi di lavoro con il codice corrispondente nella sequenza di codici degli elementi di lavoro pianificati (0040,4025) in formato (CV, CSD, ""CM""). Se assente, elaborare gli elementi di lavoro con qualsiasi codice nome stazione pianificata."
"dcmUPSScheduledStationClassCode","Codice classe stazione pianificata","Elaborare gli elementi di lavoro con il codice corrispondente nella sequenza di codici degli elementi di lavoro pianificati (0040,4026) in formato (CV, CSD, ""CM""). Se assente, elaborare gli elementi di lavoro con qualsiasi codice nome stazione pianificata."
"dcmUPSScheduledStationLocationCode","Codice di posizione geografica della stazione pianificata","Elaborare gli elementi di lavoro con il codice corrispondente nella sequenza della classe di posizione geografica della stazione programmata (0040,4027) in formato (CV, CSD, ""CM""). Se assente, elaborare gli elementi di lavoro con qualsiasi codice di posizione geografica della stazione programmata."
"dcmUPSPerformedWorkitemCode","Codice dell'elemento di lavoro pianificato","Elemento della sequenza codice elemento lavoro programmato (0040,4019) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSPerformedStationNameCode","Codice nome stazione eseguito","Elemento della sequenza di codice nome stazione eseguita (0040,4028) nell'UPS elaborato in formato (CV, CSD, ""CM"")."
"dcmUPSIgnoreDiscontinuationReasonCode","Ignora codice motivo interruzione","Specifica il codice motivo dell'interruzione nel formato (CV, CSD, ""CM"") da ignorare e modificare lo stato dell'UPS in COMPLETED, anziché in CANCELED."
"dcmUPSRescheduleDiscontinuationReasonCode","Riprogramma codice motivo di interruzione","Specifica il codice motivo interruzione nel formato (CV, CSD, ""CM"") per riprogrammare l'UPS annullato. Se assente, UPS annullato con qualsiasi codice motivo interruzione verrà riprogrammato in base al numero massimo di riprogrammazioni specificato."
"dcmUPSTemplateID","Create UPS on Cancel","Specifies ID of UPS Template for creating an UPS if the processing failed and retry is not scheduled any more. If absent, no UPS will be created on failures."
"dcmMaxRetries","Numero massimo di riprogrammazioni","Il numero massimo di un elemento di lavoro la cui elaborazione non è riuscita viene riprogrammata."
"dcmRetryDelay","Ritardo di Riprogrammazione","Ritardo per riprogrammare un elemento di lavoro la cui elaborazione non è riuscita nel formato di durata ISO-8601 PnDTnHnMn.nS."
"dcmMaxRetryDelay","Ritardo massimo di riprogrammazione","Ritardo per riprogrammare un elemento di lavoro la cui elaborazione non è riuscita nel formato di durata ISO-8601 PnDTnHnMn.nS. Infinito se assente."
"dcmRetryDelayMultiplier","Moltiplicatore di ritardo di Riprogrammazione","Moltiplicatore in % che avrà effetto sul Ritardo di riprogrammazione con il massimo ritardo di riprogrammazione da prendere in considerazione."
