"property","title","description"
"","Modello UPS","Modello UPS"
"dcmUPSTemplateID","ID modello UPS","ID del modello UPS"
"dicomDescription","Descrizione del modello UPS","Descrizione testuale non vincolata del modello UPS"
"dcmUPSLabel","Etichetta del passo della procedura","Valore dell'etichetta del passo della procedura (0074,1204) nell'UPS creato."
"dcmUPSWorklistLabel","Etichetta lista di lavoro","Valore dell'etichetta della lista di lavoro (0074,1202) nell'UPS creato."
"dcmUPSPriority","Priorità","Valore della priorità del passo della procedura pianificata (0074,1200) nell'UPS creato. Valori enumerati: HIGH, MEDIUM, LOW. Se assente, verrà applicato MEDIO."
"dcmUPSInputReadinessState","Stato di disponibilità di ingresso","Valore dello stato di disponibilità dell'ingresso (0040,4041) nell'UPS creato"
"dcmUPSStartDateTimeDelay","Ritardo nell'Ora di inizio dello Scheduled Procedure Step","Ritardo del Scheduled Procedure Step Start DateTime (0040,4005) nell'UPS creato dall'ora di ricezione nel formato PnDTnHnMn.nS. Nessun ritardo se assente."
"dcmUPSCompletionDateTimeDelay","Ritardo previsto per data e ora di completamento","Ritardo della data di completamento prevista (0040,4011) nell'UPS creato dall'ora di ricezione nel formato PnDTnHnMn.nS. Se assente, non verrà impostata alcuna data e ora di completamento prevista."
"dcmDestinationAE","AE di Destinazione ","Valore dell'AE di destinazione (2100,0140) nell'UPS creato."
"dcmEntity","Ambito di accumulazione","Ambito di accumulazione"
"dcmUPSScheduledWorkitemCode","Codice dell'elemento di lavoro pianificato","Elemento della sequenza codice elemento lavoro programmato (0040,4018) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledStationNameCode","Codice nome stazione pianificata","Elemento della sequenza codice nome stazione pianificata (0040,4025) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledStationClassCode","Codice classe stazione pianificata","Elemento della sequenza codice classe stazione pianificata (0040,4026) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledStationLocationCode","Codice di posizione geografica della stazione pianificata","Elemento della sequenza del codice di posizione geografica della stazione pianificata (0040,4027) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledHumanPerformerCode","Codice pianificato di esecuzione umana ","Elemento della sequenza del codice degli esecutori umani (0040,4009) nell'elemento della sequenza degli esecutori umani pianificati (0040,4034) nell'UPS creato in formato (CV, CSD, ""CM"")."
"dcmUPSScheduledHumanPerformerName","Nome dell'attore umano pianificato","Valore del nome dell'attore umano (0040,4037) nell'elemento della sequenza pianificata di interpreti umani (0040,4034) nell'UPS creato."
"dcmUPSScheduledHumanPerformerOrganization","Organizzazione pianificata di interpreti umani","Valore dell'organizzazione dell'esecutore umano (0040,4036) nell'elemento della sequenza degli interpreti umani pianificata (0040,4034) nell'UPS creato."
"dcmUPSIncludeStudyInstanceUID","Includi l'UID dell'istanza di studio","Indica se l'UID dell'istanza di studio (0020,000D) deve essere incluso nell'UPS creato"
