"property","title","description"
"","Applicazione Web","Informazioni sull'applicazione Web"
"dcmWebAppName","Nome dell'applicazione web","Nome dell'applicazione Web"
"dicomNetworkConnectionReference","Connessione/i di rete dell'applicazione web","Connessioni di rete su cui sono disponibili i servizi dell'applicazione Web"
"dicomDescription","Descrizione dell'applicazione Web","Descrizione testuale libera dell'applicazione Web"
"dcmWebServicePath","Percorso del servizio Web","Path HTTP  dei servizi dell'applicazione Web"
"dcmWebServiceClass","Web Service Class","Classi di servizi Web fornite dall'applicazione Web"
"dcmKeycloakClientID","ID client Keycloak","ID client Keycloak per l'applicazione Web"
"dicomAETitle","Titolo AE","Titolo AE di Network AE associato a questa applicazione web"
"dicomApplicationCluster","Cluster di applicazioni","Nomi definiti localmente per un sottoinsieme di applicazioni correlate"
"dcmProperty","Proprietà","Proprietà nel formato <name>=<value> Ad esempio: roles=<accepted-user-role>[,...], IID_PATIENT_URL=http(s)://<viewer-host>:<viewer-port>/IHEInvokeImageDisplay?requestType=PATIENT&patientID={{patientID}} o IID_STUDY_URL=http(s)://<viewer-host>:<viewer-port>/IHEInvokeImageDisplay?requestType = STUDY &{{studyUID}}studyUID =, (Altri parametri validi sono: 'PatientBirthDate' e 'accessionNumber'), puoi definire il target dell'Url impostandolo sul parametro 'IID_URL_TARGET = _blank|_self'"
"dicomInstalled","installato","Vero se l'applicazione HL7 è installata sulla rete. Se non presenti, le informazioni sullo stato di installazione dell'applicazione HL7 vengono ereditate dal dispositivo"
