"property","title","description"
"","アーカイブ ネットワーク AE","DICOM アーカイブ ネットワーク AE 関連 情報"
"dcmObjectStorageID","オブジェクト 格納 ID","受信した DICOM 複合 オブジェクトが 保存されて いる 格納 システムの ID。 複数の 格納 システムを 構成できます。"
"dcmObjectStorageCount","オブジェクト 格納 カウント","並列に 入力される 格納 システムの 数。"
"dcmMetadataStorageID","メタデータ 格納 ID","メタデータが JSON 形式で 保存される 格納の ID - 完全な DICOM 複合 オブジェクトに 加えて。 複数の 格納 システムを 構成できます。 存在しない 場合、 メタデータは 追加で 保存されません。"
"dcmBulkDataDescriptorID","バルクデータ 記述子 ID","アーカイブされた インスタンスの メタデータを 提供 する この アーカイブ ネットワーク AE すべての サービスに よって 適用される バルクデータ 記述子の ID。 デバイス レベルで 指定された 値を 上書きします。"
"dcmSeriesMetadataDelay","集約 シリーズ メタデータの 遅延","この アーカイブ ネットワーク AEに よって 保存された オブジェクトの 集約 シリーズ メタデータを 格納に 保存 する ために ISO-8601 期間 PnDTnHnMnS 形式で 遅延。 デバイス レベルで 指定された 値を 上書きします。"
"dcmPurgeInstanceRecordsDelay","インスタン スレコーを パージ する 遅延","この アーカイブ ネットワーク AEに よって 受信した インスタンス レコードを DBから パージ する ための ISO-8601 期間 PnDTnHnMnS 形式で 遅延。 デバイス レベルで 指定された 値を 上書きします。 デバイス レベルで「パージ インスタンス レコード」 = 「真」の 場合 のみ 有効です。"
"dcmStoreAccessControlID","保存 アクセス 制御 ID","この AEが 受け取った 検査に 割り当てられた アクセス 制御 ID"
"dcmAccessControlID","アクセス 制御 ID","この AEが 受信した クエリ / 読み出し 要求に 割り当てられた アクセス 制御 ID。"
"dcmAcceptedMoveDestination","承認された 移動先","C-MOVE 要求で 受け入れられた 移動先; 存在しない 場合、任意の 移動先。"
"dcmOverwritePolicy","上書き ポリシー","この アーカイブ ネットワーク AEに よって 受信した オブジェクトの 上書き ポリシー。 デバイス レベルで 指定された 値を 上書きします。"
"dcmRecordAttributeModification","属性 変更の 記録","この AEに よって 格納された オブジェクトの 属性の 変更が 元の 属性 シーケンスの アイテムに 記録されるか どうかを 示します。 デバイス レベルで 指定された 値を 上書きします。"
"dcmAcceptMissingPatientID","見つからない 患者 IDを 受け入れる","患者 IDの ない インスタンスを 受け入れるか どうか、 および 患者 IDを 作成するか どうかを 示します。 デバイス レベルで 指定された 値を 上書きします。"
"dcmAcceptConflictingPatientID","矛盾 する 患者 IDを 受け入れる","以前に 受信した 検査の オブジェクトの 患者 IDと 異なる 患者 IDを 持つ オブジェクトを 受け入れるか どうかを 示します。 デバイス レベルで 指定された 値を 上書きします。"
"dcmQueryRetrieveViewID","クエリ / 読み出し ビュー ID","クエリ / 読み出し ビュー 識別名。"
"dcmBulkDataSpoolDirectory","バルクデータ スプール ディレクトリ","バルクデータ スプール ディレクトリへの パス。 デバイス レベルで 指定された 値を 上書きします。"
"dcmHideSPSWithStatusFromMWL","SPS ステータスを 非表示 する","MWL SCPに よって 返されない MWL アイテムの 予定された 手順 ステップ ステータス コード。 デバイス レベルで 指定された 値を 上書きします。"
"dcmValidateCallingAEHostname","呼びかけて いる AE ホスト名を 検証 する","この AEの ために 関連付け 要求の 呼びかけて いる AE ホスト名 または IP アドレスを 検証します。 デバイス レベルで 指定された 値を 上書きします。"
"dcmUserIdentityNegotiation","ユーザー 身元 ネゴシエーション","1つの オプションを 指定 する - NOT_SUPPORTED (= アソシエーション 要求の ユーザー 身元 ネゴシエーション サブアイテムを 無視 する) または SUPPORTS (= 渡された ユーザー名と パスワード または JSON Web トークンが キークローク サーバーに 対しての もので ある ことを 確認 する) または REQUIRED (= 有効な ユーザー名と パスワード または JSON Web トークンなしで 身元 ネゴシエーション サブアイテムの アソシエーション 要求 を 拒否 する)。 デバイス レベルで 指定された 値を 上書きします。"
"dcmUserIdentityNegotiationRole","ユーザー 身元 ネゴシエーション 役割","受け入れられた ユーザー ID ネゴシエーション 要求を、 指定された 役割を 持つ ユーザーに 制限します。 存在しない 場合は、 渡された ユーザー名と パスワード または JSON Web トークン のみを 確認して ください。 デバイス レベルで 指定された 値を 上書きします。"
