"property","title","description"
"","監査 ロガー","監査 ロガー 関連 情報"
"cn","名前","監査 ロガー オブジェクトの 任意 / 意味の ある 名前"
"dicomNetworkConnectionReference","ネットワーク 接続 リファレンス","この 監査 ロガーに よって 使用される ネットワーク 接続 オブジェクトへの JSON ポインター"
"dcmAuditRecordRepositoryDeviceName","監査 レコード リポジトリの デバイス名","監査 メッセージの 送信先の 監査 レコード リポジトリの デバイス名"
"dcmAuditSourceID","ソース ID","RFC 3881 監査 ソース ID; 存在しない 場合は デバイス名"
"dcmAuditEnterpriseSiteID","エンタープライズ サイト ID","RFC 3881 監査 エンタープライズ サイト ID; 「dicomInstitutionName」の 値は DICOM デバイスの 機関名に 置き換えられます"
"dcmAuditSourceTypeCode","ソース タイプ コード","RFC 3881 監査 ソース タイプ コード; 「dicomPrimaryDeviceType」の 値は DICOM デバイスの プライマリ タイプに 置き換えられます"
"dcmAuditFacility","シスログ 施設","監査 メッセージの RFC 5424 シスログ 施設の 文字列値。"
"dcmAuditSuccessSeverity","シスログ 厳しさ - 成功","RFC 5424 イベント 結果 指標 0（成功）の 監査 メッセージの シスログ 厳しさ 文字列値。"
"dcmAuditMinorFailureSeverity","シスログ 厳しさ - 軽微な 失敗","RFC 5424 イベント 結果 指標 4 (軽微な 失敗) の 監査 メッセージの シスログ 厳しさ 文字列値。"
"dcmAuditSeriousFailureSeverity","シスログ 厳しさ - 重大な 失敗","RFC 5424 イベント 結果 指標 8 (重大な 失敗) の 監査 メッセージの シスログ 厳しさ 文字列値。"
"dcmAuditMajorFailureSeverity","シスログ 厳しさ - 主要な 失敗","RFC 5424 イベント 結果 指標 12 (主要な 失敗) の 監査 メッセージの シスログ 厳しさ 文字列値。"
"dcmAuditApplicationName","シスログ アプリケーション名","監査 メッセージの RFC 5424 シスログ アプリケーション名。 存在しない 場合は 監査 ソース ID。"
"dcmAuditMessageID","シスログ メッセージ ID","監査 メッセージの RFC 5424 シスログ メッセージ ID。"
"dcmAuditMessageEncoding","メッセージ エンコーディング","監査 メッセージの RFC 5424 シスログ メッセージ 部分の 文字 エンコーディング。"
"dcmAuditMessageBOM","メッセージ BOM","監査 メッセージの RFC 5424 Syslog MSG 部分の Unicode BOM 接頭辞を 有効 / 無効に します。存在しない 場合は BOMを 含める"
"dcmAuditTimestampInUTC","UTCで タイムスタンプ","RFC5424 シスログ タイムスタンプと 監査 メッセージの イベント 日付 / 時刻が 協定世界時で 指定されて いるか どうかを 指定します。 デフォルトは、現地 時間帯に なる ことを 示します。"
"dcmAuditMessageFormatXML","メッセージ 形式 XML","XML 監査 メッセージが 改行と インデントで 形式されるか どうかを 指定します。"
"dcmAuditMessageSchemaURI","メッセージ スキーマ URI","監査 メッセージで 参照される DICOM 監査 メッセージ スキーマの URI"
"dcmAuditIncludeInstanceUID","インスタンス UIDを 含める","監査 ログ メッセージに 随意な インスタンス UIDを 含めるか どうかを 示します"
"dcmAuditLoggerSpoolDirectoryURI","スプール ディレクトリ URI","レコード リポジトリに 配信できなかった メッセージを 格納 する ために 使用される スプール ディレクトリの URI。 存在しない 場合は、 システムの 一時 ディレクトリを 使用します。"
"dcmAuditLoggerRetryInterval","再試行 間隔","レコード リポジトリに 配信できなかった メッセージを 再送信 する ための 秒単位の 再試行 間隔。 存在しない 場合、 メッセージの 再送信を 再試行しない"
"dicomInstalled","インストール済み","監査 ロガーが ネットワークに インストールされて いる 場合は 「真」です。 存在しない 場合、 監査 ロガーの インストール ステータスに 関する 情報は デバイスから 継承されます"
"dcmAuditSuppressCriteria","監査 抑制 基準","監査 抑制 基準"
