"property","title","description"
"","監査 抑制 基準","監査 抑制 基準"
"cn","名前","監査 抑制 基準の 任意 / 意味の ある 名前"
"dcmAuditEventID","監査 イベント ID","RFC 3881 (CV, CSD, ""CM"") 形式で 監査 イベント ID コードと コード システム名"
"dcmAuditEventTypeCode","監査 イベント タイプ コード","RFC 3881 (CV, CSD, ""CM"") 形式で 監査 イベント タイプ コード"
"dcmAuditEventActionCode","イベント アクション コード","RFC 3881 監査 イベント アクション タイプ コード。"
"dcmAuditEventOutcomeIndicator","イベント 結果 指示","RFC 3881 監査 イベント 結果 指示。"
"dcmAuditUserID","ユーザー ID","RFC 3881 監査 アクティブな 参加者 ユーザー ID"
"dcmAuditAlternativeUserID","代替 ユーザー ID","RFC 3881 監査 アクティブな 参加者 代替 ユーザー ID"
"dcmAuditUserRoleIDCode","ユーザー 役割 ID コード","RFC 3881 (CV, CSD, ""CM"") 形式で 監査 アクティブな 参加者 ユーザー 役割 ID コード"
"dcmAuditNetworkAccessPointID","ネットワーク アクセス ポイント ID","RFC 3881 監査 アクティブな 参加者 ネットワーク アクセス ポイント ID"
"dcmAuditUserIsRequestor","ユーザーが 要求者です","アクティブな 参加者が RFC 3881で 指定されて いる 監査 イベントの 起動側 / 要求者で あるか どうかを 示します"
