"property","title","description"
"","デバイス 拡張","デバイス 属性の「dcm4che」 独自 属性"
"dcmRoleSelectionNegotiationLenient","役割 選択 ネゴシエーション 寛容","DIMSE-RQの 送信時に 必要な SCP / SCU 役割 選択 ネゴシエーションの チェックを 無効に する ことを 示します。 特定の ネットワーク AEの 構成された 値によって 上書きされる 場合が あります。"
"dcmLimitOpenAssociations","関連付け 制限","開いて いる DICOM 接続の 最大数; 制限を 超えた 場合、 関連付け 要求 を 拒否します; 0 = 無制限。"
"dcmLimitAssociationsInitiatedBy","AEの 関連付け 制限","<ae-title>=<number> 形式で 特定の アプリケーション エンティティ (AE)に よって 開始された 開いて いる DICOM 接続の 最大数; 制限を 超えた 場合、 その AEからの関連付け 要求を 拒否します。"
"dcmTrustStoreURL","トラストストア URL","この ノードへの 接続が 許可されて いる DICOM ノードの 証明書を 含む トラストストア URL; 「dicomAuthorizedNodeCertificateReference」を 上書きします。"
"dcmTrustStoreType","トラストストア タイプ","トラストストア URLで 指定された トラストストアの キーストア タイプ。 列挙値 : JKS, PKCS12."
"dcmTrustStorePin","トラストストア ピン","トラストストア URLで 指定された トラストストアの キーストア パスワード"
"dcmTrustStorePinProperty","トラストストア ピン 属性","トラストストア URLで 指定された トラストストアの キーストア パスワードの システム 属性"
"dcmKeyStoreURL","キーストア URL","TLS 接続で この DICOM ノードを 識別するために 使用される 秘密鍵と 証明書を 含む キーストア URL"
"dcmKeyStoreType","キーストア タイプ","キーストア URLで 指定された キーストアの タイプ。 列挙値 : JKS, PKCS12."
"dcmKeyStorePin","キーストア ピン","キーストア URLで 指定された キーストアの キーストア パスワード"
"dcmKeyStorePinProperty","キーストア ピン 属性","キーストア URLで 指定された キーストアの キーストア パスワードの システム 属性"
"dcmKeyStoreKeyPin","キーストアの キー ピン","キーストア URLで 指定された キーストアの キー パスワード"
"dcmKeyStoreKeyPinProperty","キーストアの キーピンの 属性","キーストア URLで 指定された キーストアの キー パスワードの システム 属性"
"dcmTimeZoneOfDevice","デバイスの タイムゾーン","デバイスの タイムゾーン ID; Java タイムゾーン IDに 一致 する"
"dcmWebApp","ウェブ アプリケーション","デバイスに よって 提供される ウェブ アプリケーション"
"dcmKeycloakClient","キークローク クライアント","デバイスに よって 提供される キークローク クライアント"
"hl7Application","HL7 アプリケーション","デバイスに よって 提供される HL7 アプリケーション"
"dcmImageWriter","画像 ライター","DICOM 画像の 圧縮に 使用される 書き込み パラメーターを 持つ Java 画像 IO 画像 ライターを 指定します"
"dcmImageReader","画像 リーダー","圧縮された DICOM 画像の 解凍に 使用される Java 画像 IO 画像 リーダーを 指定します"
"dcmAuditLogger","監査 ロガー","監査 ロガー 関連 情報"
"dcmAuditRecordRepository","監査 記録 リポジトリ","監査 記録 リポジトリ 関連 情報"
"dcmArchiveDevice","アーカイブ デバイス","DICOM アーカイブ デバイス 関連 情報"
"dcmuiConfig","UI 構成","UI 構成"
