"property","title","description"
"","ネットワーク 接続 拡張","ネットワーク 接続の 「dcm4che」 独自 属性"
"dcmProtocol","プロトコル","ネットワーク 接続の プロトコル。"
"dcmHTTPProxy","HTTP プロキシ","HTTP プロキシ: [user:password@]host:port"
"dcmTLSNeedClientAuth","TLSには クライアント 認証が 必要","TLS クライアント 認証が 必要か どうかを 示します。"
"dcmTLSProtocol","TLS プロトコル","支持されて いる TLS プロトコル。"
"dcmTCPBacklog","TCP バックログ","着信 TCP 接続の 最大 キュー長。"
"dcmTCPConnectTimeout","TCP 接続 タイムアウト","ミリ秒 単位の TCP 接続 タイムアウト in ms; 存在しない 場合、 タイムアウトが ありません。"
"dcmTCPCloseDelay","TCP クローズ 遅延","A-ASSOCIATE-RJ, A-RELEASE-RP または A-ABORT PDUの 送信後の TCP ソケット クローズ 遅延 (ミリ秒)。"
"dcmTCPSendBufferSize","TCP 送信 バッファー サイズ","TCP 送信 バッファー サイズ; 存在しない 場合は システム デフォルトを 使用 する。"
"dcmTCPReceiveBufferSize","TCP 受信 バッファー サイズ","TCP 受信 バッファー サイズ; 存在しない 場合は システム デフォルトを 使用 する。"
"dcmTCPNoDelay","TCP 遅延なし","TCP_NODELAYを 有効 / 無効に します (Nagle アルゴリズムを 無効 / 有効に します)。"
"dcmBindAddress","バインド アドレス","リスニング ソケットの バインド アドレス。 存在しない 場合は 接続の ホスト名を 使用 する。"
"dcmClientBindAddress","クライアント バインド アドレス","発信 接続の バインド アドレス。 存在しない 場合は 接続の ホスト名を 使用 する。"
"dcmBlacklistedHostname","ブラックリストの ホスト名","ブラックリストの DNS ホスト名"
"dcmSendPDULength","送信 PDU長","送信された PDUの 最大長。"
"dcmReceivePDULength","受信 PDU長","受信した PDUの 最大長。"
"dcmMaxOpsPerformed","実行された 最大 操作数","非同期で 実行 する 操作の 最大数。 0 = 無限。"
"dcmMaxOpsInvoked","呼び出された 最大 操作数","非同期で 呼び出された 操作の 最大数。 0 = 無限。"
"dcmPackPDV","PDVを パック","コマンドと データの PDVの パッキングを 1つの P-DATA-TF PDUに 有効 / 無効に します。"
"dcmAARQTimeout","AA-RQ タイムアウト","TCP 接続後の A-ASSOCIATE-RQ PDUの 受信の タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmAAACTimeout","AA-AC タイムアウト","A-ASSOCIATE-RQ PDUの 送信後の A-ASSOCIATE-AC PDUの 受信の タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmARRPTimeout","AR-RP タイムアウト","A-RELEASE-RQ PDUの 送信後の A-RELEASE-RP PDUの 受信の タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmSendTimeout","送信 タイムアウト","C-STORE RQs 以外の DIMSE RQsを 送信 する ための タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmStoreTimeout","ストア タイムアウト","C-STORE RQを 送信 する ための タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmResponseTimeout","応答 タイムアウト","C-MOVE または C-GET RSPs 以外の 未解決の DIMSE RSPの 受信の タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmRetrieveTimeout","読み出し タイムアウト","未解決の C-GET または C-MOVE RSPの 受信の タイムアウト (ミリ秒); 存在しない 場合、 タイムアウトが ありません。"
"dcmRetrieveTimeoutTotal","読み出し 合計 タイムアウト","保留中の RSPの 受信時に 未解決の C-GET と C-MOVE RSPの 指定された タイムアウトを 持つ タイマーを、再起動 するか (=false) 、再起動しないか (=true)を 示します。"
"dcmIdleTimeout","アイドル タイムアウト","ミリ秒 単位で 指定された タイムアウト後に アイドル アソシエーションが 中止される ことを 示します。 存在しない 場合、 タイムアウトが ありません。"
