"property","title","description"
"","デバイス","DICOM デバイス 関連 情報"
"dicomDeviceName","デバイス名","この デバイスの 一意の 名前"
"dicomDescription","デバイスの 説明","デバイスの 制約のない テキスト 説明"
"dicomVendorData","ベンダー デバイス データ","デバイス 固有の ベンダー 構成 情報"
"dicomDeviceUID","デバイス UID","デバイスの 一意の 識別子"
"dicomManufacturer","製造元","この デバイスに よって 作成された SOP インスタンスの 製造元 (0008,0070) 属性の 値と 同じで ある 必要が あります"
"dicomManufacturerModelName","製造元 モデル名","この デバイスに よって 作成された SOP インスタンスの 製造元 モデル名 (0008,1090) 属性の 値と 同じで ある 必要が あります"
"dicomSoftwareVersion","ソフトウェア版","この デバイスに よって 作成された SOP インスタンスの ソフトウェア版 (0018,1020) 属性の 値と 同じで ある 必要が あります"
"dicomStationName","ステーション名","この デバイスに よって 作成された SOP インスタンスの ステーション名 (0018,1010) 属性の 値と 同じで ある 必要が あります"
"dicomDeviceSerialNumber","デバイスの シリアル 番号","この デバイスに よって 作成された SOP インスタンスの デバイスの シリアル 番号 (0018,1000) 属性の 値と 同じで ある 必要が あります"
"dicomPrimaryDeviceType","プライマリ デバイス タイプ","デバイスの 種類を 表し、取得 モダリティに 最も 適しています"
"dicomInstitutionName","機関名","この デバイスに よって 作成された SOP インスタンスの 機関名 (0008,0080) 属性の 値と 同じで ある 必要が あります"
"dicomInstitutionCode","機関 コード","(CV, CSD, ""CM"") 形式で 機関 コード"
"dicomInstitutionAddress","機関 住所","この デバイスに よって 作成された SOP インスタンスの 機関の 住所 (0008,0081) 属性の 値と 同じで ある 必要が あります"
"dicomInstitutionDepartmentName","機関 部門名","この デバイスに よって 作成された SOP インスタンスの 機関 部門名 (0008,1040) 属性の 値と 同じで ある 必要が あります"
"dicomIssuerOfPatientID","患者 IDの 発行者","この デバイスに よって 作成された または クエリされた SOP インスタンスの 中で、 「患者 IDの 発行者 (0010,0021)」 と 「患者 IDの 発行者 シーケンス (0010,0024)」 アイテムの 中で 「ユニバーサル エンティティ ID (0040,0032)」 と 「ユニバーサル エンティティ ID タイプ (0040,0033)」 の デフォルト値。 形式 : <Issuer of Patient ID>['&'<Universal Entity ID>'&'<Universal Entity ID Type>]"
"dicomIssuerOfAccessionNumber","アクセッション 番号の 発行者","この デバイスに よって 作成された または クエリされた SOP インスタンスの 中で、 「アクセッション 番号の 発行者 シーケンス (0008,0051)」 アイテムの 中で 「ローカル 名前空間 エンティティ ID (0040,0031)」、 「ユニバーサル エンティティ ID (0040,0032)」 と 「ユニバーサル エンティティ ID タイプ (0040,0033)」 の デフォルト値。 形式 : <Local Namespace Entity ID>['&'<Universal Entity ID>'&'<Universal Entity ID Type>]"
"dicomOrderPlacerIdentifier","オーダー プレーサー 識別子","この デバイスに よって 作成された または クエリされた SOP インスタンスの 中で、 「オーダー プレーサー 識別子 シーケンス (0040,0026)」 アイテムの 中で 「ローカル 名前空間 エンティティ ID (0040,0031)」、 「ユニバーサル エンティティ ID (0040,0032)」 と 「ユニバーサル エンティティ ID タイプ (0040,0033)」 の デフォルト値。 形式 : <Local Namespace Entity ID>['&'<Universal Entity ID>'&'<Universal Entity ID Type>]"
