"property","title","description"
"","エクスポーター 記述子","エクスポーター 記述子"
"dcmExporterID","エクスポーター ID","エクスポーター ID"
"dcmURI","URI","RFC2079: ユニフォーム リソース 識別子"
"dcmQueueName","キュー名","JMS キュー名"
"dcmExportPriority","書き出し 優先度","書き出し タスクを 処理 する ための JMS 優先度 レベル。 0 (最低) から 9 (最高)。"
"dicomDescription","エクスポーターの 説明","エクスポーターの 制約のない テキスト 説明"
"dicomAETitle","アーカイブ アプリケーション エンティティ (AE) タイトル","アーカイブ アプリケーション エンティティ (AE) タイトル"
"dcmExportAsSourceAE","ソース アプリケーション エンティティ (AE) として 書き出す","アーカイブ アプリケーション エンティティ (AE)の タイトルを、 シリーズを 送信した アプリケーション エンティティ (AE)の タイトルで、 宛先 アプリケーション エンティティ (AE)への 関連付けを 確立 する 際に マスク する。"
"dcmDeleteStudyFromStorageID","格納 IDから 検査を 削除","格納 システム IDから 書き出された 検査の オブジェクトを 削除 する。 検査 レベルの 書き出し タスクにのみ 有効です。"
"dcmRejectForDataRetentionExpiry","データ 保持 期限切れの ために エンティティを 拒否 する","書き出し タスクの 完了後に データ 保持 期限切れの ために エンティティを 拒否します。"
"dcmStgCmtSCP","格納 コミットメント SCP AE タイトル","別の アーカイブへの 書き出しを 確認 する ために 使用される 外部 格納 コミットメント SCPの AE タイトル。"
"dcmIanDestination","IAN 宛先","IAN N-CREATE RQを 送信 する ために 宛先"
"dcmRetrieveAET","読み出し AE タイトル","ネットワーク AEに 関連付けられた AE タイトル"
"dcmRetrieveLocationUID","読み出し ロケーション UID","読み出し ロケーション UID"
"dcmInstanceAvailability","インスタンスの 可用性","インスタンスの 可用性。"
"dcmSchedule","書き出し 予定","指定した 期間に 書き出しを 遅延 する。 書き出し 予定が 指定されて いない 場合、 すぐに 処理 する ために 書き出し タスクを キューに 入れます。 形式: 'hour=[0-23] dayOfWeek=[0-6]' (0=日曜日)"
"dcmProperty","属性","<name>=<value> 形式で 属性"
