"property","title","description"
"","HL7 アプリケーション","HL7 アプリケーション 情報"
"hl7ApplicationName","HL7 アプリケーション名","HL7 アプリケーションと 施設名 (アプリケーション|施設)"
"dicomNetworkConnectionReference","ネットワーク 接続  レファレンス","この HL7 アプリケーションの ネットワーク 接続 オブジェクトへの JSON ポインター"
"hl7AcceptedSendingApplication","受け入れられた 送信 アプリケーション","受け入れられた 送信 アプリケーションの アプリケーション|施設名; 存在しない 場合、任意の 値"
"hl7OtherApplicationName","その 他の HL7 アプリケーション名","追加の HL7 アプリケーションと ファシ施設 (アプリケーション|施設) - この ような 受信 アプリケーションと 施設名を 含む HL7 メッセージも 受け入れます"
"hl7AcceptedMessageType","受け入れられた メッセージ タイプ","受け入れられた メッセージの メッセージ タイプ (MessageType^TriggerEvent)"
"hl7DefaultCharacterSet","デフォルト 文字 セット","MSH-18で 指定されていない 場合、 受信した メッセージの デコードに 使用される 文字 セット。"
"hl7SendingCharacterSet","送信 文字 セット","アーカイブから 送信される HL7 メッセージの エンコードに 使用される 文字 セット。"
"dicomDescription","HL7 説明","HL7 アプリケーションの 制約のない テキスト 説明"
"dicomApplicationCluster","アプリケーション クラスタ","局所的で 定義された、 関連する アプリケーションの サブセットの 名前"
"dicomInstalled","インストール済み","HL7 アプリケーションが ネットワークに インストールされて いる 場合は 「真」です。 存在しない 場合、 HL7 アプリケーションの インストール ステータスに 関する 情報は デバイスから 継承されます"
"dcmArchiveHL7Application","アーカイブ HL7 アプリケーション","DICOM アーカイブ HL7 アプリケーション 関連 情報"
