"property","title","description"
"","キークローク サーバー","キークローク サーバー"
"dcmKeycloakServerID","キークローク サーバー ID","この キークローク サーバーの 識別名。"
"dcmURI","サーバー URL","キークローク サーバーの ベース URL。"
"dcmKeycloakRealm","キークローク レルム","トークン 要求内の レルムの 名前。"
"dcmKeycloakClientID","OAuth 2.0 クライアント ID","トークン 要求で 使用される クライアント ID。"
"dcmKeycloakGrantType","OAuth 2.0 付与 タイプ","トークン 要求で 使用される OAuth 2.0 付与 タイプ。"
"dcmKeycloakClientSecret","OAuth クライアント シークレット","OAuth クライアント シークレット。 'OAuth 2.0 付与 タイプ'が 'クライアント'として 場合は 必要です。"
"dcmTLSAllowAnyHostname","TLS 任意の ホスト名を 許可 する","他の サーバーが HTTPSを 必要とし、 この 構成 オプションが '真'に 設定されて いる 場合、 他の サーバーの 証明書は トラストストアを 介して 検証されますが、 ホスト名の 検証は 行われません。"
"dcmTLSDisableTrustManager","TLS トラストマネージャーを 無効 する","他の サーバーが HTTPSを 必要とし、 この 構成 オプションが '真'に 設定されて いる 場合、 トラストストアを 指定する 必要は ありません。"
"uid","ユーザー ID","ユーザー ID。 'OAuth 2.0 付与 タイプ'が 'パスワード'として 場合は 必要です。"
"userPassword","ユーザー パスワード","ユーザー パスワード。 'OAuth 2.0 付与 タイプ'が 'パスワード'として 場合は 必要です。"
