"property","title","description"
"","ネットワーク AE","ネットワーク上で サービスを 提供 する アプリケーション エンティティ"
"dicomAETitle","AE タイトル","この ネットワーク AEの 一意の AE タイトル"
"dicomNetworkConnectionReference","ネットワーク 接続 参照","この AEの ネットワーク 接続 オブジェクトへの JSON ポインター"
"dicomAssociationInitiator","関連付け 起動側","ネットワーク AEが 関連付けを 開始 できる 場合は 「真」です。"
"dicomAssociationAcceptor","関連付け 受諾側","ネットワーク AEが 関連付けを 受け入れる ことが できる 場合は 「真」です。"
"dicomDescription","AE 説明","アプリケーション エンティティの 制約のない テキスト 説明"
"dicomApplicationCluster","アプリケーション クラスタ","局所的で 定義された、関連 する アプリケーションの サブセットの 名前"
"dicomPreferredCalledAETitle","好ましい 呼び出された AE タイトル","アソシエーションの 開始に 推奨される AE タイトル"
"dicomPreferredCallingAETitle","好ましい 呼びかけている AE タイトル","関連付けの 受け入れに 好ましい AE タイトル"
"dicomSupportedCharacterSet","支持された 文字 セット","ネットワーク AEが 受信 する データセットの ネットワーク AEで 支持されて いる 文字 セット"
"dicomInstalled","インストール済み","AEが ネットワークに インストールされて いる 場合は 「真」です。 存在しない 場合、 AEの インストール ステータスに 関する 情報は デバイスから 継承されます"
"dicomTransferCapability","転送 機能","アプリケーション エンティティに よって 提供される 転送 機能"
"dcmNetworkAE","ネットワーク AE 拡張","ネットワーク AEの 「dcm4che」 独自 属性"
