"property","title","description"
"","キュー","管理された JMS キュー"
"dcmQueueName","キュー名","JMS キュー名"
"dcmJndiName","JNDI名","JNDI名"
"dicomDescription","DICOM 説明","DICOM エンティティの テキストに よる 説明"
"dcmMaxRetries","最大 再試行 回数","特定の キューで 予定された タスクを 処理 する 最大 再試行 回数。"
"dcmRetryDelay","再試行 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 特定の キューに 予定された タスクの 処理を 再試行 する ための 遅延。"
"dcmMaxRetryDelay","最大 再試行 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 特定の キューに 予定された タスクの 処理を 再試行 する ための 最大 遅延。 存在しない 場合は 無限です。"
"dcmRetryDelayMultiplier","再試行 遅延 乗数","「最大 再試行 遅延」が 考慮される 「再試行 遅延」の 上に 有効に なる 乗数 (%)"
"dcmRetryOnWarning","警告時に 再試行","失敗時だけでなく、 特定の キューの 警告 結果 ステータスでも タスクを 再試行できるように します。"
"dcmRetryInProcessOnStartup","起動時に IN PROCESSを 再試行します","システムの 起動時に ステータスが IN PROCESSの ままに なって いる タスクを 再試行 する ことを 示します。"
"dcmPurgeQueueMessageCompletedDelay","完了した キュー メッセージを パージ するための 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 遅延した後、 完了した キュー メッセージが パージされます。 存在しない 場合、 その 特定の キューの 削除は ありません。"
"dcmPurgeQueueMessageFailedDelay","失敗した キュー メッセージを パージ するための 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 遅延した後、 失敗した キュー メッセージが パージされます。 存在しない 場合、 その 特定の キューの 削除は ありません。"
"dcmPurgeQueueMessageWarningDelay","警告 キュー メッセージを パージ するための 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 遅延した後、 警告 キュー メッセージが パージされます。 存在しない 場合、 その 特定の キューの 削除は ありません。"
"dcmPurgeQueueMessageCanceledDelay","キャンセルされた キュー メッセージを パージ するための 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 遅延した後、 キャンセルされた キュー メッセージが パージされます。 存在しない 場合、 その 特定の キューの 削除は ありません。"
"dcmMaxQueueSize","最大 キュー サイズ","キュー内の 予定された タスクの 最大数。 予定された タスクの 数が 制限に 達すると、 別の タスクを 予定しようとしても 失敗します。 0 = 制限なし。"
"dcmSchedule","予定を 制限 する","指定した 時間 範囲に 予定を 制限します。 指定された 時間 範囲内で 処理される タスクの 最大数を 制御するには、 「最大 キュー サイズ」を 使用します。 'TO SCHEDULE' (= 予定 する ために) 読み出し タスクの 予定にのみ 有効です。"
