"property","title","description"
"","検査 保持 ポリシー","検査 保持 ポリシー"
"cn","名前","検査 保持 ポリシーの 任意 / 意味の ある 名前"
"dcmRetentionPeriod","検査 保持 期間","ISO-8601 期間 PnYnMnD または PnW 形式で 検査 保持 期間"
"dcmRulePriority","規則の 優先度","規則の 優先度。"
"dcmProperty","条件","(SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx} 形式で 条件。 「|」 シンボルで 区切る ことに より、 特定の 属性に 複数の 値を 指定できます。 例 : SendingApplicationEntityTitle=FORWARD または Modality=MR|CT または ProcedureCodeSequence.CodeValue=MRProcedure または 00180015=KNEE または 00321034.00080100=RequestingServiceCode または ImageType[3]=LOCALIZER"
"dcmExpireSeriesIndividually","シリーズを 個別に 期限切れに する","シリーズを 個別に 期限切れに するか どうかを 示します。"
"dcmStartRetentionPeriodOnStudyDate","検査日に 保存 期間を 開始します","検査の オブジェクトを 受信したときではなく、 検査日に 保存 期間を 開始するか どうかを 示します"
"dcmExporterID","期限切れの 検査を 書き出す","指定された エクスポーターを 使用した 期限切れの 検査 / シリーズを 書き出す"
"dcmFreezeExpirationDate","失効日を 凍結 する","つぎの イベントに 従うことに よる 失効日の 変更を 無効に する ことを 示します。"
"dcmRevokeExpiration","失効日を 取り消す","以前に 設定された 失効日を 取り消す ことを 示します。"
