"property","title","description"
"","UI 構成","UI 構成"
"dcmuiConfigName","UI 構成名","UI 構成名"
"dcmuiModalities","統計 モダリティ","統計 ページに 表示される 事前選択された モダリティ"
"dcmuiLanguageConfig","言語 構成","UIの 言語の 構成"
"dcmuiWidgetAets","ウィジェット AETs","AET ウィジェットに 表示したく AETを 選択します。ここで、新しく 追加された AETを 'Accepted Calling AE Title' として 選択する ことが できます。"
"dcmuiBackgroundURL","背景 URL","UIの 背景を 変更するための 背景 URL。相対 URL または 絶対 URLに する ことが できます、画像の 幅は 少なくとも 1024pxで ある 必要が あります。"
"dcmuiLogoURL","ロゴ URL","UIの ロゴを 変更するための ロゴ URL、相対 URL または 絶対 URLに する ことが できます, 画像の 幅は 140pxで、png 形式で あり、背景は 透明で ある 必要が あります。"
"dcmuiDefaultWidgetAets","デフォルトの ウィジェット AETs","ウィジェット AETで 事前 選択する 必要が ある AETを 選択 します。"
"dcmuiAetConfig","AET ドロップダウン リスト","UIの ドロップダウン リストに 表示する AETを 定義 します。"
"dcmuiWebAppConfig","ウェブ アプリケーション ドロップダウン リスト","UIの ドロップダウン リストの 一番上に 表示する ウェブ アプリケーションを 定義 します"
"dcmuiPermission","許可","許可"
"dcmuiFilterTemplateObject","UI フィルター テンプレート","定義済み フィルター テンプレート"
"dcmuiDiffConfig","検査 違い 構成","検査 違い 構成"
"dcmuiDashboardConfig","UI ダッシュボード 構成","UI ダッシュボード 構成"
"dcmuiStudyTableConfig","UI 検査 テーブル 構成","テーブルの 構成"
"dcmuiElasticsearchConfig","UI エラスティクサーチ 構成","プロ版の エラスティクサーチ 構成"
"dcmuiDeviceURLObject","UI デバイス URLs","その他の UI デバイス URLs"
"dcmuiDeviceClusterObject","UI クラスター 構成","クラスター 内の デバイスの グループ化。"
