"property","title","description"
"","UI ダッシュボード 構成","UI ダッシュボード 構成"
"dcmuiDashboardConfigName","UI ダッシュボード 構成名","UI ダッシュボード 構成名"
"dcmuiShowStarBlock","スター ブロックを 表示","スター ブロックを 表示 - デバイス名が 定義されていない タスク。"
"dcmuiQueueName","キュー","UI ダッシュボード 構成ために キュー ブロックで 使用される キュー名。"
"dcmuiExportName","書き出す ことの IDs","UI ダッシュボード 構成ために キューと 比較 ブロックで 使用される 書き出すの IDs。"
"dicomuiDeviceName","デバイス名","読み出す ことと 書き出す ことの ブロックの 生成に 使用される UI ダッシュボード 構成の デバイス名"
"dicomuiIgnoreParams","監査 イベント パラメーターを 無視する","監査 イベントで 無視する 必要が ある エラスティクサーチ パラメーターを 設定します。例えば : Source.UserID=TESTVALUE"
"dcmuiCountAET","カウント ウェブ アプリケーション","選択された ウェブ アプリケーションは、ダッシュボードに 検査の カウントを 取得する ために 使用されます。"
"dcmuiCompareSideObjects","側面を 比較 する","側面を 比較 する"
"dicomuiDockerContainer","アーカイブ ドカー コンテナー","ハードウェア ページで 使用される アーカイブ ドカー コンテナーの 名前"
