"property","title","description"
"","UI アーカイブの 比較 構成","UI アーカイブの 比較 構成"
"dcmuiDiffConfigName","UI アーカイブの 比較 構成名","UI アーカイブの 比較 構成名"
"dcmuiDiffCallingAET","アーカイブの 比較 呼びかけている AET","アーカイブの 比較 呼びかけている AET"
"dcmuiDiffPrimaryCFindSCP","UI アーカイブの 比較 一次 C-FIND SCP","UI アーカイブの 比較 一次 C-FIND SCP"
"dcmuiDiffPrimaryCMoveSCP","UI アーカイブの 比較 一次 C-MOVE SCP","UI アーカイブの 比較 一次 C-MOVE SCP"
"dcmuiDiffPrimaryCStoreSCP","UI アーカイブの 比較 一次 C-STORE SCP","UI アーカイブの 比較 一次 C-STORE SCP"
"dcmuiDiffSecondaryCFindSCP","UI アーカイブの 比較 二次 C-FIND SCP","UI アーカイブの 比較 二次 C-FIND SCP"
"dcmuiDiffSecondaryCMoveSCP","UI アーカイブの 比較 二次 C-MOVE SCP","UI アーカイブの 比較 二次 C-MOVE SCP"
"dcmuiDiffSecondaryCStoreSCP","UI アーカイブの 比較 二次 C-STORE SCP","UI アーカイブの 比較 二次 C-STORE SCP"
"dcmuiDiffCriteria","UI アーカイブの 比較 基準","UI アーカイブの 比較 基準"
