"property","title","description"
"","格納に よって 作成された UPS","DICOM インスタンスの 受信時に 統合 ワークリストで 作業項目を 作成 または 更新 する。"
"dcmUPSOnStoreID","格納に よって 作成された UPSの ID","格納に よって 作成された UPS 規則の ID"
"dcmProperty","条件","(SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx} 形式で 条件。 「|」 シンボルで 区切る ことに より、 特定の 属性に 複数の 値を 指定できます。 例 : SendingApplicationEntityTitle=FORWARD または Modality=MR|CT または ProcedureCodeSequence.CodeValue=MRProcedure または 00180015=KNEE または 00321034.00080100=RequestingServiceCode または ImageType[3]=LOCALIZER"
"dcmSchedule","時間 条件","指定された 時間 範囲内で のみ この 規則を 適用 する。"
"dcmUPSLabel","手順 ステップ ラベル","作成された UPSの 中で 手順 ステップ ラベルの 値 (0074,1204)。 {attributeID}は、受信した データセット 内の その 属性の 値に 置き換えられます。 例 : {StudyDescription}。"
"dcmUPSWorklistLabel","ワークリスト ラベル","作成された UPSの 中で ワークリスト ラベルの 値 (0074,1202)。 {attributeID}は、受信した データセット 内の その 属性の 値に 置き換えられます。 例 : {StudyDescription}。"
"dcmUPSPriority","優先度","作成された UPSの 中で 予定 手順 ステップの 優先度の 値 (0074,1200)。 列挙値: HIGH, MEDIUM, LOW。存在しない 場合、MEDIUMが 適用されます。"
"dcmUPSInputReadinessState","入力 覚悟 状態","作成された UPSの 中で 入力 覚悟 状態の 値 (0040,4041)"
"dcmUPSStartDateTimeDelay","予定された 手順 ステップ 開始 日時の 遅延","作成された UPSの 中で  PnDTnHnMn.nS 形式で 予定 手順 ステップ 開始 日時の 受信 時刻からの 遅延 (0040,4005)。 存在しない 場合、遅延はありません。"
"dcmUPSCompletionDateTimeDelay","予期される 完了 日時の 遅延","作成された UPSの 中で PnDTnHnMn.nS 形式で 予期される 完了 日時の 受信 時刻からの 遅延 (0040,4011)。存在しない 場合、完了 予期 日時は 設定されません。"
"dcmUPSInstanceUIDBasedOnName","名前に 基づく UPS インスタンス UID","作成された UPSの 中で 名前に 基づく SOP インスタンス UIDを（0008,0018）生成する ために 使用される 値。通常、値には {StudyInstanceUID}、{SeriesInstanceUID}、または{SOPInstanceUID}が 含まれ、受信した 検査、シリーズ、または インスタンス ごとに 異なる UPSを 作成します。 存在しない 場合、ランダムに 生成された SOP インスタンス UIDが（0008,0018）使用されます。"
"dcmUPSIncludeInputInformation","入力 情報を 含める","作成された UPSの 中で 入力 情報 シーケンス（0040,4021）の 中で 受信した オブジェクトを 参照する 必要が あるか どうかを 示します。 SINGLE (= 既存の UPSを 更新しない), APPEND (= 状態が SCHEDULEDの 既存の UPSを 更新 する), SINGLE_OR_CREATE (= UPSが すでに 存在する 場合、派生 UIDを 使用して 新しい UPSを 作成する), APPEND_OR_CREATE (= 既存の UPSが 状態 SCHEDULEDでなくなった 場合、派生 UIDで 新しい UPSを 作成します)."
"dcmUPSCreatePatient","UPS 患者の 情報を 含める","受信した オブジェクトの 患者 属性を 使用して 患者（作成された UPSに 関連付けられて いる）を 作成する 必要が あるか どうかを 示します。 存在しない 場合、「STUDY_PAT_ATTRS」が 適用に なります。"
"dcmDestinationAE","宛先 AE","インスタンスが 格納される DICOM アプリケーション エンティティの タイトル。"
"dcmEntity","累積の 範囲","累積の 範囲"
"dcmUPSScheduledWorkitemCode","予定された 作業項目 コード","作成された UPSの 中で 予定された 作業項目 コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4018)。"
"dcmUPSScheduledStationNameCode","予定された ステーション名 コード","作成された UPSの 中で 予定された ステーション名 コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4025)。"
"dcmUPSScheduledStationClassCode","予定された ステーション クラス コード","作成された UPSの 中で 予定された ステーション クラス コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4026)。"
"dcmUPSScheduledStationLocationCode","予定された ステーション 地理的 ロケーション コード","作成された UPSの 中で 予定された ステーション 地理的 ロケーション コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4027)。"
"dcmUPSScheduledHumanPerformerCode","予定された 人間の 実行者 コード","作成された UPSの 中で 予定された 人間の 実行者の シーケンスの（0040,4034）アイテムに おける 人間の 実行者 コードの (CV, CSD, ""CM"") 形式で 値（0040,4009）。"
"dcmUPSScheduledHumanPerformerName","予定された 人間の 実行者名","作成された UPSの 中で 予定された 人間の 実行者の シーケンスの（0040,4034）アイテムに おける 人間の 実行者名の 値（0040,4037）。{attributeID}は、受信した データセット 内の その 属性の 値に 置き換えられます。 例 : {PerformingPhysicianName}。"
"dcmUPSScheduledHumanPerformerOrganization","予定された 人間の 実行者の 組織","作成された UPSの 中で 予定された 人間の 実行者の シーケンスの（0040,4034）アイテムに おける 人間の 実行者の 組織の 値（0040,4036）。{attributeID}は、受信した データセット 内の その 属性の 値に 置き換えられます。 例 : {ResponsibleOrganization}。"
"dcmAdmissionID","アドミッション 番号","作成された UPSの 中で アドミッション 番号 (0038,0010) の 値。 {attributeID}は、受信した データセット 内の その 属性の 値に 置き換えられます。 例 : {AdmissionID}。"
"dicomIssuerOfAdmissionID","アドミッション 番号の 発行者","作成された UPSの 中で 「アドミッション 番号の 発行者 シーケンス (0038,0014)」アイテムの  中で「ローカル 名前空間 エンティティ ID (0040,0031)」、「ユニバーサル エンティティ ID (0040,0032)」と 「ユニバーサル エンティティ ID タイプ (0040,0033)」の 値。 形式 : <Local Namespace Entity ID>['&'<Universal Entity ID>'&'<Universal Entity ID Type>]"
