"property","title","description"
"","以前の UPSの 完了に よって 作成された UPS","以前の UPSの 完了に よって ワークリストで 作業項目を 作成 する。"
"dcmUPSOnUPSCompletedID","以前の UPSの 完了に よって 作成された UPSの ID","以前の UPSの 完了に よって 作成された UPS 規則の ID"
"dcmUPSLabel","手順 ステップ ラベル","作成された UPSの 中で 手順 ステップ ラベルの 値 (0074,1204)。 {attributeID}は、以前の UPSの データセット 内の その 属性の 値に 置き換えられます。 例 : {StudyDescription}。"
"dcmUPSWorklistLabel","ワークリスト ラベル","作成された UPSの 中で ワークリスト ラベルの 値 (0074,1202)。 {attributeID}は、以前の UPSの データセット 内の その 属性の 値に 置き換えられます。 例 : {StudyDescription}。"
"dcmUPSPriority","優先度","作成された UPSの 中で 予定 手順 ステップの 優先度の 値 (0074,1200)。 列挙値: HIGH, MEDIUM, LOW。存在しない 場合、MEDIUMが 適用されます。"
"dcmUPSInputReadinessState","入力 覚悟 状態","作成された UPSの 中で 入力 覚悟 状態の 値 (0040,4041)"
"dcmUPSStartDateTimeDelay","予定された 手順 ステップ 開始 日時の 遅延","作成された UPSの 中で  PnDTnHnMn.nS 形式で 予定 手順 ステップ 開始 日時の 受信 時刻からの 遅延 (0040,4005)。 存在しない 場合、遅延はありません。"
"dcmUPSCompletionDateTimeDelay","予期される 完了 日時の 遅延","作成された UPSの 中で PnDTnHnMn.nS 形式で 予期される 完了 日時の 受信 時刻からの 遅延 (0040,4011)。存在しない 場合、完了 予期 日時は 設定されません。"
"dcmDestinationAE","宛先 AE","インスタンスが 格納される DICOM アプリケーション エンティティの タイトル。"
"dcmEntity","累積の 範囲","累積の 範囲"
"dcmUPSScheduledWorkitemCode","予定された 作業項目 コード","作成された UPSの 中で 予定された 作業項目 コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4018)。"
"dcmUPSScheduledStationNameCode","予定された ステーション名 コード","作成された UPSの 中で 予定された ステーション名 コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4025)。"
"dcmUPSScheduledStationClassCode","予定された ステーション クラス コード","作成された UPSの 中で 予定された ステーション クラス コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4026)。"
"dcmUPSScheduledStationLocationCode","予定された ステーション 地理的 ロケーション コード","作成された UPSの 中で 予定された ステーション 地理的 ロケーション コード シーケンスの (CV, CSD, ""CM"") 形式で アイテム (0040,4027)。"
"dcmUPSScheduledHumanPerformerCode","予定された 人間の 実行者 コード","作成された UPSの 中で 予定された 人間の 実行者の シーケンスの（0040,4034）アイテムに おける 人間の 実行者 コードの (CV, CSD, ""CM"") 形式で 値（0040,4009）。"
"dcmUPSScheduledHumanPerformerName","予定された 人間の 実行者名","作成された UPSの 中で 予定された 人間の 実行者の シーケンスの（0040,4034）アイテムに おける 人間の 実行者名の 値（0040,4037）。{attributeID}は、以前の UPSの データセット 内の その 属性の 値に 置き換えられます。例 : {PerformingPhysicianName}。"
"dcmUPSScheduledHumanPerformerOrganization","予定された 人間の 実行者の 組織","作成された UPSの 中で 予定された 人間の 実行者の シーケンスの（0040,4034）アイテムに おける 人間の 実行者の 組織の 値（0040,4036）。{attributeID}は、以前の UPSの データセット 内の その 属性の 値に 置き換えられます。 例 : {ResponsibleOrganization}。"
