"property","title","description"
"","संग्रहण विशेषता बळजबरी","प्राप्त झालेल्या / पाठवलेल्या DIMSE चा संग्रहण विशेषता बळजबरी."
"cn","नाव","संग्रहण विशेषता बळजबरीचे अनियंत्रित / अर्थपूर्ण नाव."
"dcmRulePriority","नियम प्राधान्य","नियम प्राधान्य."
"dcmDIMSE","DIMSE","DICOM संदेश घटक ज्यावर हे विशेषता लागू केले जाईल."
"dicomTransferRole","DICOM ट्रान्सफर रोल","समान स्थितीत DICOM AE चे DICOM हस्तांतरण भूमिका."
"dcmSOPClass","SOP वर्ग UID","SOP क्लासचे UID ज्यासाठी हे संग्रहण विशेषता बळजबरी लागू केली जाईल. अनुपस्थित असल्यास कोणत्याही SOP वर्गावर लागू होईल."
"dcmProperty","अटी","या प्रारूपात अटी (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx}. कुठल्याही दिलेल्या विशेषतासाठी एकापेक्षा अधिक मूल्य निर्दिष्ट करण्यासाठी त्यांना | प्रतीकेचा वापर करून वेगळे केले जाऊ शकते. उदाहरण : SendingApplicationEntityTitle=FORWARD किंवा Modality=MR|CT किंवा ProcedureCodeSequence.CodeValue=MRProcedure किंवा 00180015=KNEE किंवा 00321034.00080100=RequestingServiceCode किंवा ImageType[3]=LOCALIZER"
"dcmRetrieveAsReceived","प्राप्त झालेल्या स्वरूपात पुनर्प्राप्त करा","प्राप्त झालेल्या ऑब्जेक्ट्स परत करून, पुनर्प्राप्त झालेल्या संमिश्र ऑब्जेक्टमध्ये डेटाबेस मधील माहिती विलीनीकरण अक्षम करते. केवळ प्रभावी जेव्हा DIMSE ला C_STORE_RQ विनंती संच केले आहे आणि DICOM हस्तांतरण भूमिका SCP आहे."
"dcmDeIdentification","ओळख हटवा","DICOM PS 3.15 मध्ये निर्दिष्ट केलेल्या मूलभूत अनुप्रयोग स्तरावरील गोपनीयता प्रोफाइलनुसार ऑब्जेक्ट्सची ओळख हटवा. कोणताही पर्याय निवडताना ध्वन्यर्थाने मूळ अनुप्रयोग स्तर गोपनीयता प्रोफाइल नेहमी समाविष्ट होईल."
"dcmURI","XSL स्टाइलशीट URI","विशेषता बळजबरीचे XSL स्टाइलशीट URI निर्दिष्ट करते."
"dcmNoKeywords","विशेषता कीवर्ड नाही","विशेषता कीवर्ड (ज्यांना XSLT मध्ये पाठवले जाते) DICOM XML मधून हटवण्याचे सूचित करते."
"dcmMergeMWLMatchingKey","MWL जुळणारे की विलीन करा","विनंती विशेषतांचे बळजबरी करण्यासाठी प्राप्त झालेल्या दृष्टांताचे निर्दिष्ट केलेले विशेषता ज्याला डेटाबेसमध्ये MWL आयटम शोधण्यासाठी वापर केले जातील. अनुपस्थित असल्यास, प्राप्त झालेल्या दृष्टांताचे विनंती विशेषतांचे बळजबरी केली जाणार नाही."
"dcmMergeMWLTemplateURI","MWL साचा URI विलीन करा","DICOM MWL आयटम्सशी जुळणार्‍या प्राप्त झालेल्या दृष्टांताचे विनंती विशेषतांचे बळजबरी करण्यासाठी वापर केलेला स्टाइलशीट URI निर्दिष्ट करते. फक्त प्रभावी, जर 'MWL जुळणारे की विलीन करा' सुद्धा निर्दिष्ट केले आहे."
"dcmLeadingCFindSCP","अग्रगण्य C-FIND SCP","बाह्य C-FIND SCP AE पासून मिळविलेले रुग्ण आणि अभ्यास विशेषतांचे वापर करून विशेषता बळजबरी करा. C-FIND SCP साठी कोणतेही विशिष्ट विशेषता सेट न केल्यास, रुग्ण आणि अभ्यास विशेषता फिल्टरवर कॉन्फीगर केलेले सर्व विशेषता प्राप्त केले जातील."
"dcmAttributeUpdatePolicy","विशेषता अद्यतन धोरण","अग्रगण्य C-FIND SCP मधून प्राप्त केलेल्या विशेषतांसह विशेषता कसे अद्ययावत केले जातील ते निर्दिष्ट करते. PRESERVE (= मूळ डेटासेटमध्ये नसलेल्या विशेषता नवीन डेटासेटमध्ये विशेषता रद्द करा), SUPPLEMENT (= मूळ डेटासेटमध्ये नसलेल्या विशेषता को पूरक होतील), MERGE (= विशेषता मूल्ये नवीन डेटासेटमधून लिहिले जातील), OVERWRITE (= नवीन डेटासेटमध्ये विशेषता मूल्य नसल्यास मूळ डेटासेटमध्ये ते विशेषता अमान्य होतील)."
"dcmTrimISO2022CharacterSet","ट्रिम ISO 2022 कॅरेक्टर सेट","कोड विस्तारसह असलेले एकल-बाइट कॅरेक्टर सेट्सच्या एकल कोड्सना कोड-विस्तारांशिवाय असलेले एकल-बाइट कॅरेक्टर सेट्स च्या एकल कोड्सने बदला. केवळ प्रभावी जर 'DIMSE = C_STORE_RQ' आणि 'DICOM स्थानांतरण भूमिका = SCU' असेल."
"dcmUseCallingAETitleAs","बोलावणारा AE चे शीर्षक म्हणून वापरा","विशेषता अनुपस्थित किंवा रिक्त असल्यास बोलावणारा AET च्या मूल्याचा वापर होईल. ScheduledStationAETitle (= अनुसूचित प्रक्रिया स्टेप क्रम (००४०,०१००) च्या आयटममध्ये अनुसूचित स्टेशन AE चे नाव (००४०,०००१)), SendingApplicationEntityTitleOfSeries (= मालिका पाठवणाऱ्या अनुप्रयोग घटकाचे नाव (७७७७,xx३७))."
"dcmNullifyTag","विशेषता टॅग अमान्य करा","हेक्स स्ट्रिंग म्हणून विशेषताचे DICOM टॅग जे अमान्य होईल."
"dcmMergeAttribute","विशेषता विलीन करा","DICOM विशेषतांना या प्रारूपात {attributeID}={value} विलीन करा. {value} च्या आतील {attributeID} ला मूळ डेटासेटमध्ये असलेल्या विशेषतांच्या मूल्याने बदलले जातील. उदाहरण : InstitutionName=RegionalHospital किंवा 00081040=XRay."
"dcmNullifyIssuerOfPatientID","रुग्णाच्या ID चा जारीकर्ता अमान्य करा","प्राप्त झालेल्या दृष्टांतांमध्ये रुग्णाच्या ID चा जारीकर्ता (००१०,००२१) आणि रुग्णाच्या ID चा जारीकर्ता क्वालीफायर क्रम (००१०,००२४) सशर्तपणे अमान्य करा."
"dcmIssuerOfPatientID","रुग्णाच्या ID चा जारीकर्ता","रुग्णाच्या ID चा जारीकर्ता (००१०,००२१), आणि इचछेनुसार रुग्णाच्या ID चा जारीकर्ता क्वालीफ़ायर क्रम (००१०,००२४) च्या आयटमचे युनिव्हर्सल एंटिटी ID (००४०,००३२) आणि युनिव्हर्सल एंटिटी ID प्रकार (००४०,००३३) च्या मूल्यांनासुद्धा प्राप्त झालेल्या दृष्टांतांमधल्या विशेषतांबरोबर जुळवले जातील, केवळ लागू होईल जर 'रुग्णाच्या ID चा जारीकर्ता अमान्य करा' ला MATCHING किंवा NOT_MATCHING कॉन्फीगर केलेले आहे. प्रारूप: <रुग्णाच्या ID चा जारीकर्ता> [& <युनिव्हर्सल एंटिटी ID> & <युनिव्हर्सल एंटिटी ID प्रकार>]."
"dcmIssuerOfPatientIDFormat","रुग्णाच्या ID चा जारीकर्ताचे प्रारूप","इतर विशेषतांमधून साधित केलेले रुग्णाच्या ID चा जारीकर्ता (००१०,००२१) चे प्रारूप. उदाहरण : ""{00100010,hash}-{00100030}"": ""-"" ने विभक्त केलेल्या रुग्णाचे नाव आणि जन्मतारखेचे हॅश मूल्य वापरा. प्राप्त झालेल्या दृष्टांतांमध्ये विद्यमान रुग्णाच्या ID चा जारीकर्ताचे मूल्यांचा बळजबरी करण्यासाठी 'रुग्णाच्या ID चा जारीकर्ता अमान्य करा' च्या मूल्यांनासुद्धा संच करणे आवश्यक आहे."
"dcmSupplementFromDeviceName","डिव्हाइसमधून पूरक करा","डिव्हाइसचे नाव ज्यातून असाइनिंग ऑथॉरिटीज आणि इतर माहिती प्राप्त झालेल्या संमिश्र दृष्टांते आणि MPPS पूरक करण्यासाठी घेतली जाते."
