"property","title","description"
"","आर्काइव्ह HL7 अनुप्रयोग","DICOM आर्काइव्ह HL7 अनुप्रयोगाशी संबंधित माहिती."
"dicomAETitle","AE चे शीर्षक","या HL7 अनुप्रयोगाशी संबंधित आर्काइव्ह AE चे शीर्षक."
"dcmRecordAttributeModification","विशेषतांचे बदलाव रेकॉर्ड करा","या HL7 अनुप्रयोगाद्वारे साठवलेल्या ऑब्जेक्ट्सच्या विशेषतांच्या बदलावांमध्ये मूळ विशेषता क्रमच्या आयटममध्ये रेकॉर्ड करण्याचे सूचित करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ORUAction","HL7 ORU क्रिया","HL7 ORU^R01 संदेश प्राप्त झाल्यावर केलेली क्रिया निर्दिष्ट करते : IMPORT_REPORT (= प्राप्त झालेल्या HL7 ORU^R01 ला DICOM SR मध्ये ट्रांसकोड करा), MWL_COMPLETED (= जुळणाऱ्या MWL आयटम्सच्या स्थितीला 'पूर्ण' म्हणून संच करा). डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7PatientUpdateTemplateURI","HL7 रुग्णाचा रेकॉर्ड अद्यतन सेवा साचा URI","HL7 आवृत्ती २ रुग्णाचा रेकॉर्ड अद्यतन सेवाद्वारे वापरल्या जाणार्‍या स्टाइलशीट URI निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ImportReportTemplateURI","HL7 आयात अहवाल साचा URI","प्राप्त झालेल्या HL7 ORU^R01 संदेशांना DICOM SR मध्ये ट्रांसकोड करणाऱ्या स्टाइलशीट URI ला निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ImportReportTemplateParam","HL7 आयात अहवाल साचा मापदंड","HL7 आयात अहवाल साचा URI द्वारे निर्दिष्ट केलेल्या स्टाइलशीटला पाठवलेले XSLT मापदंड. प्रारूप: {नाव}={मूल्य}. उदाहरण : 'langCodeValue=et', 'langCodingSchemeDesignator=RFC5646', 'langCodeMeaning=Estonian'. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ScheduleProcedureTemplateURI","HL7 अनुसूचित प्रक्रिया साचा URI","प्राप्त झालेल्या HL7 ORM^O01, OMI^O23, OMG^O19 संदेशांना DICOM MWL आयटम्समध्ये ट्रांसकोड करणाऱ्या स्टाइलशीट URI ला निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ScheduledProtocolCodeInOrder","HL7 ऑर्डरमध्ये अनुसूचित प्रोटोकॉल कोड","प्राप्त झालेल्या HL7 ऑर्डर संदेशामध्ये असलेले अनुसूचित प्रोटोकॉल कोड पथ निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ScheduledStationAETInOrder","HL7 ऑर्डरमध्ये अनुसूचित स्टेशन AET","प्राप्त झालेल्या HL7 ऑर्डर संदेशामध्ये असलेले अनुसूचित स्टेशन AE चे शीर्षकाचे पथ निर्दिष्ट करते. HL7 आवृत्ती २.५.१ (ज्यामध्ये IPC सेगमेंट असते) साठी कॉन्फीगर करू नका. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7LogFilePattern","HL7 लॉग फाइल पॅटर्न","HL7 संदेशांचे पथ जे प्राप्त झाल्याप्रमाणे साठवले जातील. अनुपस्थित असल्यास, लॉगिंग होणार नाही. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील. उदाहरण: ${jboss.server.data.dir}/hl7/${date,yyyy/MM/dd}/${SerialNo}-${MSH-9}.hl7."
"hl7ErrorLogFilePattern","HL7 त्रुटी लॉग फाइल पॅटर्न","HL7 संदेशांचे पथ जे प्राप्त झाल्याप्रमाणे साठवले जातील, जर HL7 संदेशांची प्रक्रिया अपयशी झाले असतील. अनुपस्थित असल्यास, लॉगिंग होणार नाही. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील उदाहरण: ${jboss.server.data.dir}/hl7-error/${date,yyyy/MM/dd}/${SerialNo}-${MSH-9}.hl7."
"hl7NoPatientCreateMessageType","HL7 संदेश प्रकार - रुग्णाचा रेकॉर्ड निर्माण करू नका","HL7 संदेशांचा प्रकार (MessageType^TriggerEvent) ज्यांच्यावर केवळ तेव्हा प्रक्रिया केले जातील, जेव्हा डेटाबेसमध्ये आधीच रुग्णाचा रेकॉर्ड आहे, ज्या रुग्णांचे ID HL7 संदेशाचा PID किंवा MRG सेगमेंटच्या रुग्णाच्या ID शी जुळतात. अशा प्रकारे निर्दिष्ट केलेल्या HL7 संदेशांचे प्रकारांसाठी कोणतेही नवीन रुग्णाचा रेकॉर्ड निर्माण होणार नाही. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7PatientArrivalMessageType","HL7 रुग्ण आगमन संदेश प्रकार","रुग्णांच्या रेकॉर्डस्शी संबंधित अनुसूचित प्रक्रिया स्टेप्स च्या स्थितीला अनुसूचित (SCHEDULED) पासून आगमन (ARRIVED) मध्ये बदलणारे HL7 संदेश प्रकार. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7UseNullValue","HL7 अनुपस्थित मूल्य वापरा","HL7 आवृत्ती २ अनुपस्थित मूल्यांना (सेगमेंट फील्डमध्ये |""""| या प्रकारे निर्दिष्ट होतील) पाठवलेल्या HL7 संदेशांमध्ये अनुपस्थित किंवा रिक्त घटक विशेषतांसाठी वापरण्याचे निर्दिष्ट करते. बाह्य HL7 अनुप्रयोगांवर संच असलेल्या घटक विशेषतांना संच न करण्यासाठी आवश्यक आहे. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7VeterinaryUsePatientName","HL7 पशुवैद्यकीय - रुग्णाचे नाव वापरा","HL7 PID फिल्ड्समधून DICOM विशेषतांच्या मॅपिंगमध्ये रुग्णांच्या नावांना पशुवैद्यकीय वापर म्हणून सक्ती करण्याचे संकेत करते : DICOM रुग्णाच्या नावासाठी PID सेगमेंटचे पाचवे फील्ड (PID.5) चे फक्त पहिले २ कॉम्पोनन्टचा वापर करा; जर PID सेगमेंटच्या पाचव्या फील्ड (PID.5) मध्ये फक्त १ कॉम्पोनन्ट असलयास त्या मूल्याचा वापर दिलेल्या नावासाठी करा, और PID सेगमेंटच्या नौव्या फील्ड (PID.9) च्या पहिले कॉम्पोनन्टला आडनाव म्हणून वापरा. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7OrderMissingStudyIUIDPolicy","HL7 ऑर्डर - गहाळ अभ्यास दृष्टांत UID धोरण","येणार्‍या HL7 ऑर्डर संदेशांमध्ये गहाळ अभ्यास दृष्टांत UID धोरण निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ImportReportMissingStudyIUIDPolicy","HL7 आयात अहवाल गहाळ अभ्यास दृष्टांत UID धोरण","येणार्‍या HL7 आयात अहवाल (ORU) संदेशांमध्ये गहाळ अभ्यास दृष्टांत UID धोरण निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7ReferredMergedPatientPolicy","HL7 संदर्भित विलीन संविलीन रुग्ण धोरण","येणार्‍या HL7 संदेशांवर धोरण निर्दिष्ट करते जे आधीपासूनच विलीन झालेल्या रुग्णाला संदर्भित करते. REJECT: अशा कोणत्याही HL7 संदेश अस्वीकार करा, IGNORE: अशा कोणत्याही HL7 संदेश दुर्लक्ष करा, IGNORE_DUPLICATE_MERGE: फक्त पुन्हा प्राप्त झालेल्या HL7 विलीन संविलीन संदेश दुर्लक्ष करा, इतर अशा कोणत्याही संदेश अस्वीकार करा. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"hl7DicomCharacterSet","HL7 DICOM कॅरेक्टर सेट","स्पेसिफिक कॅरेक्टर सेट (०००८,०००५) मूल्य प्राप्त झालेल्या HL7 संदेशांमधून ट्रान्सकोड केलेल्या डेटा सेट्समध्ये वापरण्यासाठी निर्दिष्ट करते. अनुपस्थित असल्यास, HL7 संदेशामधील MSH-18 सेगमेंटमधल्या कॅरेक्टर सेट मूल्याचा वापर होईल."
"hl7ForwardRule","HL7 फॉरवर्ड नियम","HL7 फॉरवर्ड नियम. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य पूरक होतील."
"hl7ExportRule","HL7 निर्यात नियम","निर्यात नियम जे या HL7 अनुप्रयोगावरून प्राप्त झालेले  HL7 संदेशांवर लागू होतील. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य पूरक होतील."
"hl7UPSOnHL7","HL7 वर UPS नियम","HL7 वर UPS नियम जे या HL7 अनुप्रयोगावरून प्राप्त झालेले  HL7 संदेशांवर लागू होतील. डिव्हाइस स्तरावर निर्दिष्ट केलेले HL7 वर UPS नियम पूरक होतील."
"hl7PrefetchRule","HL7 प्रीफेच नियम","प्रीफेच नियम जे या HL7 अनुप्रयोगावरून प्राप्त झालेले  HL7 संदेशांवर लागू होतील. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य पूरक होतील."
"hl7StudyRetentionPolicy","HL7 अभ्यास धारणा धोरण","HL7 अभ्यास धारणा धोरणा जे या HL7 अनुप्रयोगावरून प्राप्त झालेले HL7 संदेशांवर लागू होतील. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य पूरक होतील."
"hl7OrderScheduledStation","HL7 ऑर्डरसाठी अनुसूचित स्टेशन","निवडलेल्या MWL HL7 ऑर्डर फीडसाठी अनुसूचित स्टेशन. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य पूरक होतील."
"hl7OrderSPSStatus","HL7 ऑर्डरसाठी SPS स्थिती","प्राप्त झालेल्या HL7 ORM^O01, OMI^O23, OMG^O19 संदेशांवर निर्माण केलेल्या किंवा अपडेट झालेल्या DICOM MWL आयटम्सचे SPS स्थिती निर्दिष्ट करते. डिव्हाइस स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
