"property","title","description"
"","डिव्हाइस विस्तार","DCM4CHE मालकीचे डिव्हाइस विशेषता."
"dcmRoleSelectionNegotiationLenient","भूमिका निवड उदार वाटाघाटी","DIMSE विनंती पाठविण्याबाबत आवश्यक SCP/SCU भूमिका निवड वाटाघाटीसाठी तपासणी अक्षम करण्यासाठी सूचित करते. विशिष्ट नेटवर्क AE वर कॉन्फिगर केलेल्या मूल्यांनी अधिलिखित होतील."
"dcmLimitOpenAssociations","असोसिएशन मर्यादा","उघडे DICOM संपर्काची कमाल संख्या; मर्यादा ओलांडल्यास असोसिएशनच्या विनंत्यांना अस्वीकार करा; ० = अमर्यादित."
"dcmLimitAssociationsInitiatedBy","AE साठी असोसिएशन मर्यादा","विशिष्ट अनुप्रयोग तत्त्व (AE) द्वारे सुरू केलेल्या उघडे DICOM संपर्काची कमाल संख्या; इस प्रारूप में <ae-title>=<number>; मर्यादा ओलांडल्यास त्या AE द्वारे असोसिएशनच्या विनंत्यांना अस्वीकार करा."
"dcmTrustStoreURL","ट्रस्ट स्टोअर URL","DICOM नोड्स या नोडशी संपर्क अधिकृत करणाऱ्या प्रमाणपत्राबरोबर ट्रस्ट स्टोअरचे URL; डिव्हाइस पातळीवर 'अधिकृत नोड प्रमाण पत्र संदर्भ' चे मूल्य अधिलिखित होतील."
"dcmTrustStoreType","ट्रस्ट स्टोअर प्रकार","ट्रस्ट स्टोअर URL द्वारे निर्दिष्ट ट्रस्ट स्टोअरचे की स्टोअर प्रकार."
"dcmTrustStorePin","ट्रस्ट स्टोअर पिन","ट्रस्ट स्टोअर URL द्वारे निर्दिष्ट ट्रस्ट स्टोअरचे की संकेतशब्द."
"dcmTrustStorePinProperty","ट्रस्ट स्टोअर पिन विशेषता","ट्रस्ट स्टोअर URL द्वारे निर्दिष्ट ट्रस्ट स्टोअरचे संकेतशब्दाची सिस्टम विशेषता."
"dcmKeyStoreURL","की स्टोअर URL","TLS संपर्कामध्ये या DICOM नोडची ओळख करण्यासाठी खासगी की आणि प्रमाणपत्राचे की स्टोअर URL."
"dcmKeyStoreType","की स्टोअर प्रकार","की स्टोअर URL द्वारे निर्दिष्ट की स्टोअर प्रकार."
"dcmKeyStorePin","की स्टोअर पिन","की स्टोअर URL  द्वारे निर्दिष्ट की स्टोअर संकेतशब्द."
"dcmKeyStorePinProperty","की स्टोअर पिन विशेषता","की स्टोअर URL द्वारे निर्दिष्ट की स्टोअर संकेतशब्दाची सिस्टम विशेषता."
"dcmKeyStoreKeyPin","की स्टोअर की पिन","की स्टोअर URL द्वारे निर्दिष्ट की स्टोअरचा की संकेतशब्द."
"dcmKeyStoreKeyPinProperty","की स्टोअर की पिन विशेषता","की स्टोअर URL द्वारे निर्दिष्ट की स्टोअरच्या की संकेतशब्दाची सिस्टम विशेषता."
"dcmTimeZoneOfDevice","डिव्हाइसचा वेळ क्षेत्र","डिव्हाइसचा वेळ क्षेत्र ID; जावा च्या वेळ क्षेत्र ID शी जुळते."
"dcmWebApp","वेब अनुप्रयोग","डिव्हाइसद्वारे प्रदान केलेले वेब अनुप्रयोग."
"dcmKeycloakClient","कीक्लोक क्लाइंट","डिव्हाइसद्वारे प्रदान केलेले कीक्लोक क्लायंट."
"hl7Application","एच.एल.७. अनुप्रयोग","डिव्हाइसद्वारे प्रदान केलेले HL7 अनुप्रयोग."
"dcmImageWriter","प्रतिमा लेखक","DICOM दृष्टांते संकुचित करण्यात वापरलेले जावा प्रतिमा IO प्रतिमा लेखक व लेखन मापदंड निर्दिष्ट करते."
"dcmImageReader","प्रतिमा वाचक","संकुचित DICOM दृष्टांते असंकुचित करण्यात वापरलेले जावा प्रतिमा IO प्रतिमा वाचक निर्दिष्ट करते."
"dcmAuditLogger","ऑडिट लॉगर","ऑडिट लॉगर संबंधित माहिती."
"dcmAuditRecordRepository","ऑडिट रेकॉर्ड रेपॉजिटरी","ऑडिट रेकॉर्ड रेपॉजिटरी संबंधित माहिती."
"dcmArchiveDevice","आर्काइव्ह डिव्हाइस","DICOM आर्काइव्ह डिव्हाइस संबंधित माहिती."
"dcmuiConfig","UI कॉन्फिगरेशन","UI कॉन्फिगरेशन."
